"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
425.4,162.7,124.4,87,82.5,60.2,111.9,341.6,-49.9,24.8,0.1,-1034.9,3.5,0.2,0,99.8,32.3,28.7,"Hip.","01","SF","Térreo","AFN","L","Dorm. N","Curitiba"
427.1,206,62.7,34.4,62.5,74,82.4,253.3,-56.1,26.1,0.1,-938.5,3.3,0,0.3,99.6,30,27.3,"Hip.","01","SF","Térreo","AFN","L","Dorm. S","Curitiba"
752.3,124.3,171.7,62.5,72,70.1,151.7,356.3,-109.7,32.8,0,-1307.4,3.1,26.4,0,73.6,32.7,28.6,"Hip.","01","SF","Térreo","AFN","L","Sala","Curitiba"
436.3,233.5,199.9,168.7,130.8,96.1,104.7,500.3,-65,31.6,0,-1341.6,3.4,0.2,0,99.8,32.3,28.7,"Hip.","01","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
436.9,239.2,203,130.7,160.3,67.7,179.4,538,-61.9,31.9,0.1,-1394.4,3.6,0.2,0,99.8,32.2,28.6,"Hip.","01","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
777.8,188.8,341.2,208.5,0,114.7,141.8,609.8,-123.5,57.7,0,-1850.6,3.3,31.9,0,68.1,32.1,28.1,"Hip.","01","SF","Térreo","AFN","NE","Sala","Curitiba"
436.3,233.6,200.1,168.9,106.4,96.2,127.9,499.4,-65,32.6,0,-1342.6,3.4,0.2,0,99.8,32.2,28.7,"Hip.","01","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
436.9,239,203,130.7,184,67.7,156.1,538.5,-61.9,31.8,0.1,-1394.7,3.6,0.2,0,99.8,32.2,28.6,"Hip.","01","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
777.7,188.7,341.4,208.7,146.4,114.8,0,611.3,-123.5,57.2,0,-1851.7,3.3,31.9,0,68.1,32.1,28.1,"Hip.","01","SF","Térreo","AFN","NO","Sala","Curitiba"
438.5,302.6,96.9,57.8,96.2,126.7,79.5,360.1,-70.3,23.9,0.1,-1163.9,3.2,0,0,99.9,29.6,26.7,"Hip.","01","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
439,308,100.9,40.7,118.3,98.9,133,390.8,-67.4,24.8,0.2,-1210.1,3.3,0,0,100,29.4,26.6,"Hip.","01","SF","Térreo","AFN","SE","Dorm. 2","Curitiba"
793.8,261.6,137.6,45.2,0,125.6,81.5,335.8,-144.9,27.9,0.1,-1398.1,2.9,17.3,0,82.7,30.5,26.7,"Hip.","01","SF","Térreo","AFN","SE","Sala","Curitiba"
438.5,302.4,97.6,58.1,80,127.2,96.6,362,-70.3,24,0.1,-1166.4,3.2,0,0.1,99.9,29.6,26.7,"Hip.","01","SF","Térreo","AFN","SO","Dorm. 1","Curitiba"
439,308.1,101,40.8,133.4,98.9,118,391.1,-67.4,24.9,0.2,-1210.4,3.3,0,0,100,29.4,26.6,"Hip.","01","SF","Térreo","AFN","SO","Dorm. 2","Curitiba"
793.7,261.6,138,45.5,82.5,125.9,0,336.8,-144.8,27.9,0.1,-1399.6,2.9,17.3,0,82.7,30.6,26.7,"Hip.","01","SF","Térreo","AFN","SO","Sala","Curitiba"
424.9,158.8,130.4,89.5,117.1,61.3,87,354.8,-50.5,26.6,0.1,-1052.7,3.5,0.3,0,99.7,33,29,"Hip.","01","SF","Térreo","AFN","O","Dorm. N","Curitiba"
426.6,203.5,67,36,84.9,77.1,71.9,270,-56.6,28.2,0,-958.6,3.3,0.1,0.3,99.6,31.3,27.5,"Hip.","01","SF","Térreo","AFN","O","Dorm. S","Curitiba"
738,142.8,233.5,87.1,217.7,93.7,125.6,524.1,-97.7,43,0.1,-1566.6,3.3,38.6,0,61.4,34.7,28,"Hip.","01","SF","Térreo","AFN","O","Sala","Curitiba"
315.9,171.8,136.9,96.3,104.4,71.4,125.3,397.4,-43.8,27.8,0,-1005.5,4,70.9,0,29.1,38.7,35,"Hip.","01","SF","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
320.7,227.2,66.1,45.5,85.3,84.2,92.4,307.5,-46.6,30.4,0,-927.8,3.9,63.5,0,36.5,36.8,33.3,"Hip.","01","SF","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
594.5,138.2,224.8,78.1,108.5,86.7,196.7,469.9,-90.2,40.6,0,-1354.3,3.2,92.6,0,7.4,39,35.1,"Hip.","01","SF","Térreo","AFN","L","Sala","Rio de Janeiro"
326.9,249.8,215.6,181.4,140.8,111.1,113.5,546.8,-56.4,34,0,-1313.8,3.9,72.9,0,27.1,38.9,35,"Hip.","01","SF","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
328.4,257.8,217.3,140,170.7,78.1,196.5,585.3,-53.2,33.3,0,-1368.3,4.2,72.7,0,27.3,38.9,34.9,"Hip.","01","SF","Térreo","AFN","NE","Dorm. 2","Rio de Janeiro"
622.1,231,381.1,236.6,0,139.3,164.8,705.7,-99.9,67.7,0,-1916,3.4,94.1,0,5.9,39,34,"Hip.","01","SF","Térreo","AFN","NE","Sala","Rio de Janeiro"
327,250.3,215.3,181.3,113.3,111.1,140.2,545.9,-56.2,34.2,0,-1313.5,3.9,72.9,0,27.1,38.9,35,"Hip.","01","SF","Térreo","AFN","NO","Dorm. 1","Rio de Janeiro"
328.4,257.8,217.3,140,196.6,78.1,170.8,585.5,-53.2,33.2,0,-1368.3,4.2,72.7,0,27.3,38.9,35,"Hip.","01","SF","Térreo","AFN","NO","Dorm. 2","Rio de Janeiro"
622,231.3,381.1,236.8,167.6,139.4,0,706.8,-99.9,67.4,0,-1917.1,3.4,94.1,0,5.9,39,34,"Hip.","01","SF","Térreo","AFN","NO","Sala","Rio de Janeiro"
333.9,343.5,96.1,71.8,105.8,138.3,86.8,402.7,-56,25.6,0,-1150.9,3.8,62.6,0,37.4,36,32.7,"Hip.","01","SF","Térreo","AFN","SE","Dorm. 1","Rio de Janeiro"
335.2,352.4,98.7,50.4,128.1,107.1,144.9,430.5,-53.2,26.6,0,-1197.7,4,62.3,0,37.7,35.8,32.6,"Hip.","01","SF","Térreo","AFN","SE","Dorm. 2","Rio de Janeiro"
642.7,326,152.1,62.7,0,142.9,94.3,395.9,-118.8,33.1,0,-1416.9,3.1,86,0,14,36.7,32.3,"Hip.","01","SF","Térreo","AFN","SE","Sala","Rio de Janeiro"
333.9,344.2,95.8,71.9,86.7,138.3,105.4,402.3,-55.9,25.6,0,-1151.1,3.8,62.6,0,37.4,35.9,32.7,"Hip.","01","SF","Térreo","AFN","SO","Dorm. 1","Rio de Janeiro"
335.2,352.4,98.6,50.4,144.7,107.1,128.3,430.5,-53.2,26.6,0,-1197.7,4,62.3,0,37.7,35.8,32.6,"Hip.","01","SF","Térreo","AFN","SO","Dorm. 2","Rio de Janeiro"
642.6,326.4,152.1,62.9,95.1,143.1,0,396.5,-118.8,33.1,0,-1418,3.1,86,0,14,36.7,32.3,"Hip.","01","SF","Térreo","AFN","SO","Sala","Rio de Janeiro"
315.7,175.6,139.6,95.5,126.7,72.5,101.5,396.2,-43.1,27.2,0,-1008.9,4,71,0,29,38.9,35,"Hip.","01","SF","Térreo","AFN","O","Dorm. N","Rio de Janeiro"
320.5,233.2,68,46.5,93.6,83.8,84.3,308.2,-45.8,29.6,0,-931.7,3.9,63.7,0,36.3,37.2,33.3,"Hip.","01","SF","Térreo","AFN","O","Dorm. S","Rio de Janeiro"
580.9,190,245.7,99.4,247,107.8,151.2,605.5,-78.9,51.1,0,-1582.9,3.4,93.8,0,6.2,39.6,33.2,"Hip.","01","SF","Térreo","AFN","O","Sala","Rio de Janeiro"
386.6,159,132.6,92.2,93.7,64.8,118.5,369.3,-46.3,26.9,0.1,-1036.1,3.9,16.7,0,83.3,36.2,31.6,"Hip.","01","SF","Térreo","AFN","L","Dorm. N","São Paulo"
390,210.7,69.4,41.3,76.3,81.3,89.6,288.4,-49.5,29.1,0.1,-954.4,3.8,14.6,0,85.4,32.5,30.1,"Hip.","01","SF","Térreo","AFN","L","Dorm. S","São Paulo"
687.5,109.8,203.5,68.7,87.7,76,172.9,405.3,-100,34.8,0,-1313,3.2,58.8,0,41.2,35.3,31.7,"Hip.","01","SF","Térreo","AFN","L","Sala","São Paulo"
398.1,235.2,209,175,135.7,102.6,109.8,523,-59.3,33.4,0,-1339.4,3.9,16.6,0,83.4,36.9,31.5,"Hip.","01","SF","Térreo","AFN","NE","Dorm. 1","São Paulo"
