"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.5,-2.1,2,0,0,2.5,1.6,0,0,NA,3.3,0,-0.6,0,3.5,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
0,-0.9,0,0,0,0,0,-1.4,0,0,NA,16.7,0,-0.4,0,1.8,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
0,1,-1.3,1.3,2.2,1.2,18.8,7.5,0,-28.4,NA,25,NA,-1,NA,3.3,"Hip.","01","SF","Cobertura","HVAC","L","Sala","Curitiba"
-0.3,4.4,-8.3,26.7,1.4,6.1,4,10.9,-2.9,0,NA,36,NA,-6,NA,9.6,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.3,4.3,-8.3,25.4,3.8,4.2,4,8.8,-1.9,0,NA,34.8,NA,-5.1,NA,11,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
-0.3,2.3,0,22.4,NA,3.5,2.8,8.9,-1.6,-21.2,-100,33.3,NA,-2.4,NA,2.2,"Hip.","01","SF","Cobertura","HVAC","NE","Sala","Curitiba"
-0.3,4.4,-8.3,26.7,3.9,6.1,2.9,11.4,-2.9,0,NA,36,NA,-5.8,NA,9.5,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.3,4.3,-8.3,25.4,3.9,4.2,2.6,8.8,-1.9,0,NA,34.8,NA,-5.2,NA,11,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
-0.3,2.3,0,22.4,2.7,3.5,NA,8.9,-1.6,-21.5,-100,33.3,NA,-2.4,NA,2.1,"Hip.","01","SF","Cobertura","HVAC","NO","Sala","Curitiba"
0,-0.8,-4.2,-100,0,0,-3.6,-2.5,-1,0,NA,40,0,-0.2,0,-2.1,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
-0.3,-0.8,-4.2,-100,-2.4,2.5,-1.8,-1.4,-1,0,NA,42.1,-25,-0.4,-25,-2.1,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
0,-1.4,0,-2.3,NA,9.4,-1.5,2.7,0,-31,NA,38.5,NA,1.1,NA,-2.2,"Hip.","01","SF","Cobertura","HVAC","SE","Sala","Curitiba"
0,0,-8.7,-100,-3.4,0,-2.5,-2.5,-1,0,NA,40,0,-0.2,0,0,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
-0.3,-0.8,-4.2,-100,-1.8,2.5,-2.4,-1.4,-1,0,NA,42.1,-25,-0.4,-25,-2.1,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
0,-1.4,0,-2.3,0,9.4,NA,2.3,0,-31,NA,38.5,NA,1.2,NA,-2.2,"Hip.","01","SF","Cobertura","HVAC","SO","Sala","Curitiba"
0,0.4,0,1.9,2.3,0,0,1,-1,0,NA,-3.3,0,-0.3,0,3,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. N","Curitiba"
0,0,0,0,0,0,0,1.2,0,0,NA,-8,0,0.2,0,3,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. S","Curitiba"
0,1,0.9,1,20.4,1,1.5,8.2,0,-30.1,0,15.4,NA,-1,NA,1.7,"Hip.","01","SF","Cobertura","HVAC","O","Sala","Curitiba"
0,0,0,-0.6,-0.5,0,0,0,-4.8,-2.6,100,-11.1,NA,-0.1,NA,0.3,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
0,-0.4,-0.6,0,0,0,0,-0.4,0,0,0,-10.3,NA,0.3,NA,-0.2,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
0,0.8,0,0,0,0,13.6,4.6,0,-32.3,0,33.3,NA,1.2,NA,-1.2,"Hip.","01","SF","Cobertura","HVAC","L","Sala","Rio de Janeiro"
