"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
427.1,145.4,72.2,85.1,4,41.4,114.2,244.7,-34.3,18.3,0.3,-877.4,3.2,0.1,4.3,95.6,30.1,27.1,"Hip.","02","C10","Térreo","AFN","L","Dorm. N","Curitiba"
428.5,172,52.8,-54.2,19.4,94,78.4,137.6,-44.4,18.4,0.1,-775.8,2.9,0,6.4,93.6,29.1,26.5,"Hip.","02","C10","Térreo","AFN","L","Dorm. S","Curitiba"
768.7,131,82.4,20.9,-39.4,51.3,79.4,112.2,-80.7,33.8,0.1,-1029.1,2.7,12.8,0,87.2,29.3,26.6,"Hip.","02","C10","Térreo","AFN","L","Sala","Curitiba"
437.7,206.6,128.2,152.2,126,70.9,117.3,466.4,-41.7,26.6,0.4,-1225.4,3.3,0,0.2,99.8,29.2,26.3,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
438.1,210.8,138.3,121.3,175.4,52.9,189.5,539.1,-38.6,27.4,0.5,-1316.5,3.5,0,0.3,99.7,28.8,26,"Hip.","02","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
794.6,169,165.3,90.1,0,55,98,330.7,-89.3,53.9,0.5,-1418.9,2.9,11.2,0,88.8,29.5,26.2,"Hip.","02","C10","Térreo","AFN","NE","Sala","Curitiba"
437.5,205.8,129.2,152.5,117.4,70.9,135.3,476.1,-41.7,27.8,0.4,-1235.8,3.3,0,0.2,99.8,29.2,26.2,"Hip.","02","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
438.1,211,138.3,121.4,190.7,53,174.1,539.2,-38.6,27.3,0.5,-1316.5,3.5,0,0.3,99.7,28.8,26,"Hip.","02","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
794.6,168.8,165.2,90,97.8,54.9,0,330.1,-89.3,53.5,0.5,-1417.6,2.9,11.2,0,88.8,29.5,26.2,"Hip.","02","C10","Térreo","AFN","NO","Sala","Curitiba"
439.3,246.2,97.9,-53.4,98.7,168.4,93.3,306.9,-53.3,20.3,0.2,-1063.1,3,0,1.4,98.6,27.6,25.4,"Hip.","02","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
