"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.400000000000034,11.1,-3.09999999999999,4.7,1.3,0.4,5.29999999999998,11.8,-0.299999999999997,0.899999999999999,0,-18.9,0,0.1,-0.4,0.299999999999997,0,0,"Hip.","02","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.300000000000011,-4.40000000000001,8.4,1.5,1.8,4.40000000000001,5.09999999999999,12.9,-0.0999999999999943,1,0,-16.5,0,0,-0.800000000000001,0.699999999999989,-0.100000000000001,0,"Hip.","02","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-1,17.8,2.2,0.9,-2,0.199999999999996,8.69999999999999,7.7,-1.7,1.7,0,-24.3999999999999,0,0.699999999999999,-0.5,-0.300000000000011,0.100000000000001,0,"Hip.","02","C10","Intermediário","AFN","L","Sala","Curitiba"
-0.5,24.5,1.5,11.5,2.40000000000001,-0.799999999999999,6,19.2,-1,1.4,0,-40.5999999999999,0.1,0.1,-0.6,0.599999999999994,0,0.100000000000001,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.600000000000023,25.8,6.20000000000002,8.5,8.5,-0.9,7.80000000000001,24.1,-1.1,1.4,-0.1,-51.2,0,0.1,-0.3,0.299999999999997,0.100000000000001,0.200000000000003,"Hip.","02","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.5,58.6999999999999,-7.19999999999999,6.59999999999999,0,-6,2.30000000000001,5,-3.8,1.59999999999999,0,-51,0,1.1,0,-1.09999999999999,0,0.100000000000001,"Hip.","02","C10","Intermediário","AFN","NE","Sala","Curitiba"
-0.5,24.4,1.69999999999999,11.2,5.89999999999998,-1.2,2.19999999999999,18.2,-1.1,1.3,0,-40.4000000000001,0,0.1,-0.7,0.599999999999994,0,0.199999999999999,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.600000000000023,26,6.30000000000001,8.69999999999999,8,-0.800000000000001,8.5,24.5,-1.1,1.4,-0.1,-51.6999999999998,0,0.1,-0.3,0.299999999999997,0.100000000000001,0.200000000000003,"Hip.","02","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.5,58.6999999999999,-7.19999999999999,6.7,2.3,-6.1,0,5.10000000000002,-3.80000000000001,1.7,0,-51.2,0,1.1,0,-1.09999999999999,0,0.100000000000001,"Hip.","02","C10","Intermediário","AFN","NO","Sala","Curitiba"
-0.399999999999977,-1,11.8,2.3,2.89999999999999,11.2,5,21.3,-0.5,1.2,0,-30.0999999999999,0,0,-0.7,0.700000000000003,-0.199999999999999,0.100000000000001,"Hip.","02","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
