"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
44.5,13.3,-1.3,2.2,-14.7,-8.2,9,-11.8,-7.3,0.6,0.1,-1.9,5.1,-39.8,5.1,4.3,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. N","Curitiba"
45.1,5.4,-1.2,-14.8,-11,4.6,2.9,-18.2,-7.5,0.7,0,-1.6,8.2,-31,8.2,2.8,"Hip.","03","C10","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.5,20.9,8,3.5,-2.9,6.7,11.9,19.2,-5.7,2.8,0,-1.8,0.2,-95.8,0.2,65.8,"Hip.","03","C10","Cobertura","HVAC","L","Sala","Curitiba"
33.6,17.4,-0.8,8.3,3.9,-9.5,4.7,7.4,-7.9,1.2,0,-1.2,2,-50.9,2,5.1,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.4,18.4,-0.7,7.3,6.7,-7.2,10.1,16.9,-8,1.1,0,-1.2,1,-59.9,1,5.4,"Hip.","03","C10","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.5,30.3,9.3,12.2,0,0.4,9.9,31.1,-5.6,3.6,0,-0.8,0,-108.3,0,66.3,"Hip.","03","C10","Cobertura","HVAC","NE","Sala","Curitiba"
33.6,17.6,-0.7,8.4,4.8,-9.5,4.6,8.3,-7.9,1.3,0,-1.2,2,-52,2,5.5,"Hip.","03","C10","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.4,18.4,-0.7,7.3,10.2,-7.2,6.6,16.8,-8,1.1,0,-1.2,1,-59.8,1,5.4,"Hip.","03","C10","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.5,30.3,9.3,12.2,9.9,0.4,0,31.1,-5.6,3.6,0,-0.8,0,-108.3,0,66.3,"Hip.","03","C10","Cobertura","HVAC","NO","Sala","Curitiba"
34.4,7,-0.3,-14.3,2.6,4.1,2.6,-5,-7.4,0.5,0,-0.9,5.3,-33.5,5.3,2.4,"Hip.","03","C10","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
34.2,7.8,-0.5,-10.6,3.3,3.8,5,1.4,-7.6,0.5,0,-0.9,3.7,-38.3,3.7,2.5,"Hip.","03","C10","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
40,13.3,7.1,-6.1,0,6.2,5,9.2,-6.1,1.7,0,-0.7,0.5,-65.5,0.5,36.7,"Hip.","03","C10","Cobertura","HVAC","SE","Sala","Curitiba"
34.4,7.1,-0.3,-14.4,2.6,4.2,3.3,-4.2,-7.4,0.5,0,-0.9,5.2,-34.2,5.2,2.6,"Hip.","03","C10","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
34.2,7.8,-0.5,-10.6,5,3.8,3.3,1.4,-7.6,0.5,0,-0.9,3.7,-38.3,3.7,2.5,"Hip.","03","C10","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
40,13.4,7.1,-6.1,5,6.2,0,9.3,-6.1,1.7,0,-0.7,0.5,-65.6,0.5,36.7,"Hip.","03","C10","Cobertura","HVAC","SO","Sala","Curitiba"
44.3,14.9,-1,3.7,9.4,-8.4,-9.6,-4.9,-7.4,0.9,0.1,-2.2,4.8,-47.9,4.8,8.1,"Hip.","03","C10","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.9,6.7,-1,-15,2.9,6.1,-5.4,-11.5,-7.7,1,0,-2.1,7.4,-37.6,7.4,6,"Hip.","03","C10","Cobertura","HVAC","O","Dorm. S","Curitiba"
