"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.5,21.3,4.5,9.80000000000001,7.59999999999999,6,11.5,35,-0.800000000000004,4.1,0,-64.6000000000001,0.2,0.5,-0.3,-0.0999999999999943,0,0.100000000000001,"Hip.","03","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.900000000000034,-1.09999999999999,11.1,2.8,3.5,6.2,3.59999999999999,16.1,-0.600000000000001,3.7,0,-31.3000000000001,0,0.2,-1.1,0.899999999999991,0.100000000000001,0.100000000000001,"Hip.","03","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-6.89999999999998,43.5,15.5,6.39999999999999,10.1,6.8,57.9,81,-8.49999999999999,-18.8,0,-105.4,0.0999999999999996,4.7,0,-4.7,1.1,0.699999999999999,"Hip.","03","SF","Intermediário","AFN","L","Sala","Curitiba"
-2.10000000000002,46.5,12.7,28.2,14.3,12.8,15.2,70.6,-3.5,5.9,-0.1,-127.6,0.1,1.5,-0.2,-1.3,1,0.399999999999999,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-2.09999999999997,44.9,16.8,22.5,23,9.10000000000001,22.7,77.4,-3,6.1,-0.2,-135.1,0.1,1.3,0,-1.40000000000001,1,0.5,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-7.5,113.1,20.8,87.4,0,13.9,16.1,140.5,-16.8,-18.7,-0.1,-218.8,0.1,4.6,0,-4.6,2.3,0.799999999999997,"Hip.","03","SF","Intermediário","AFN","NE","Sala","Curitiba"
-2.09999999999997,46.6,12.8,28.3,15.3,12.7,14.2,70.5,-3.40000000000001,5.9,-0.2,-127.4,0.1,1.5,-0.2,-1.3,1,0.5,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-2.09999999999997,44.8,16.8,22.6,22.9,9.10000000000001,22.9,77.3,-3,6.1,-0.2,-135.2,0.1,1.3,0,-1.40000000000001,0.899999999999999,0.399999999999999,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-7.5,113,20.8,87.4,16.2,14,0,140.6,-16.8,-18.7,-0.1,-218.9,0.1,4.6,0,-4.6,2.3,0.799999999999997,"Hip.","03","SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.199999999999989,-8.40000000000001,8.80000000000001,1,2,-14.4,1.7,-9.90000000000003,0.799999999999997,1.2,0,14.0999999999999,-0.1,0,-0.7,0.600000000000009,0.0999999999999979,0,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.200000000000045,-7.09999999999999,9.8,1.2,3.2,-10.3,2.30000000000001,-3.5,0.700000000000003,1.2,0.1,5.79999999999995,0,0,-0.5,0.5,0,0.0999999999999979,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-1.70000000000005,9.30000000000001,23.9,5.6,0,24.8,5.10000000000001,40.1,-0.900000000000006,-19.7,0,-31,0,1.7,0,-1.7,0.399999999999999,0.299999999999997,"Hip.","03","SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.0999999999999659,-9,8.7,0.700000000000003,1.39999999999999,-14.5,1.8,-10.6,0.700000000000003,1.1,0,15.5999999999999,-0.1,0,-0.7,0.700000000000003,0.0999999999999979,0,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.200000000000045,-7,9.90000000000001,1.2,2.29999999999998,-10.3,3.10000000000001,-3.60000000000002,0.700000000000003,1.2,0.1,5.70000000000005,0,0,-0.4,0.399999999999991,0,0.0999999999999979,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-1.60000000000002,8.90000000000003,23.7,5.5,4.89999999999999,24.7,0,39.6,-0.900000000000006,-19.8,0,-30.3,0,1.6,0,-1.60000000000001,0.399999999999999,0.299999999999997,"Hip.","03","SF","Intermediário","AFN","SO","Sala","Curitiba"
-1.5,20.9,4.39999999999999,10.6,12.1,6.40000000000001,8.10000000000001,37.3,-0.799999999999997,4.5,0,-66.5,0.1,0.6,-0.4,-0.200000000000003,0.100000000000001,0,"Hip.","03","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.900000000000034,-1.59999999999999,11.4,2.90000000000001,3.8,6.8,3.59999999999999,16.9,-0.700000000000003,4.2,0,-31.8000000000001,0.1,0.2,-1.2,1,0.200000000000003,0.199999999999999,"Hip.","03","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-6.69999999999993,75.2,10.1,7.2,78.7,7.59999999999999,11.7,105.3,-10.1,-23.8,-0.1,-138.8,0.1,3.3,0,-3.3,0.899999999999999,0.800000000000001,"Hip.","03","SF","Intermediário","AFN","O","Sala","Curitiba"
-4.10000000000002,27,4,10,7.60000000000001,6.09999999999999,12.1,35.9,-1.90000000000001,4.2,0,-70.0999999999999,0.0999999999999996,3,0,-3,0.0999999999999943,0.0999999999999943,"Hip.","03","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-1.89999999999998,-2.69999999999999,10,2.4,3.09999999999999,6.2,2.39999999999999,14,-0.799999999999997,4.2,0,-30.5,0,1.2,0,-1.2,0.200000000000003,0.200000000000003,"Hip.","03","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-7.20000000000005,71.9,13,9.10000000000001,14.3,9.90000000000001,79.9,113.3,-9.5,-22.2,0,-145,0.2,0.299999999999997,0,-0.3,1.6,0.800000000000004,"Hip.","03","SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-5.60000000000002,54.4,10.6,30.9,14,12.5,14.4,71.9,-5.90000000000001,5.1,0,-132,0.0999999999999996,4.30000000000001,0,-4.3,0.800000000000004,0.700000000000003,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-5.5,50.4,14.4,23.8,21.4,8.59999999999999,22.2,76.1,-5.5,5.2,0,-137.2,0.100000000000001,4.30000000000001,0,-4.3,0.700000000000003,0.700000000000003,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-7.80000000000007,124.9,14.1,93.3,0,15,18.1,151.3,-16.4,-20.3,0,-244,0.1,0.799999999999997,0,-0.8,1.6,0.900000000000006,"Hip.","03","SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-5.60000000000002,54,10.5,30.6,14.3,12.3,13.4,70.6,-5.8,5.1,0,-130.3,0.0999999999999996,4.2,0,-4.2,0.800000000000004,0.699999999999996,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-5.5,50.4,14.3,23.8,22.3,8.59999999999999,21.3,76,-5.5,5.2,0,-137.2,0.100000000000001,4.2,0,-4.2,0.700000000000003,0.700000000000003,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-7.80000000000007,124.8,14.1,93.2,18.2,15,0,151.2,-16.4,-20.4,0,-243.6,0.1,0.799999999999997,0,-0.8,1.6,0.900000000000006,"Hip.","03","SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
