"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
418.2,277.5,117,110.9,99.3,73,142.3,425.4,-64.7,32.9,0.1,-1220.4,3.7,3.4,0.6,96,35.3,30.6,"Hip.","03","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
423.7,150.8,72.3,34.1,61.3,81.4,82.3,259.1,-61.4,33.7,0.1,-917.6,3.1,1.3,2.9,95.8,32.9,28.6,"Hip.","03","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
730.5,370.4,176.2,86.3,109.2,99.7,218.3,513.4,-131.7,41.9,0,-1653.4,3.3,44.3,0,55.7,36.6,30.5,"Hip.","03","SF","Intermediário","AFN","L","Sala","Curitiba"
428.4,426.6,193.7,219.7,166.3,121.9,138.9,646.9,-87.5,44,0,-1662.5,3.7,4.6,0,95.4,37.1,31,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
429.1,433.5,202.2,171,211.8,85.9,233.8,702.5,-84,44.6,0,-1740,3.9,4.4,0,95.5,37,31,"Hip.","03","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
750.4,728.2,326.8,299.5,0,158.1,198.7,859.2,-170.3,75.6,0,-2559,3.6,52.6,0,47.4,37,29.9,"Hip.","03","SF","Intermediário","AFN","NE","Sala","Curitiba"
428.3,426.7,194,219.9,140.7,122,163.8,646.4,-87.4,45,0,-1663.5,3.7,4.6,0,95.4,36.9,31,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
429.1,433.7,202.3,171.1,238.7,85.9,207.7,703.3,-84,44.5,0,-1740.9,3.9,4.4,0,95.5,37,31,"Hip.","03","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
750.4,728.4,326.9,299.6,203.7,158.2,0,860.6,-170.3,75.1,0,-2560.1,3.6,52.6,0,47.4,37,29.9,"Hip.","03","SF","Intermediário","AFN","NO","Sala","Curitiba"
436.3,210.6,112.9,56.8,96.5,125.2,81.3,359.7,-74,26.5,0.1,-1086.9,2.9,0.7,1.6,97.7,31.9,27.7,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
436.9,218.8,118.3,40.7,121.3,98.5,132.4,392.9,-70.8,27.4,0.2,-1138.5,3.1,0.6,1.3,98.1,31.7,27.7,"Hip.","03","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
784,320.5,167.8,62.5,0,155.9,98.2,417.8,-153,30.9,0.1,-1546.4,2.9,27.7,0,72.3,32.8,27.9,"Hip.","03","SF","Intermediário","AFN","SE","Sala","Curitiba"
436.3,211.2,113.3,57,81.8,125.7,97.2,361.7,-74.1,26.5,0.1,-1089.7,2.9,0.7,1.5,97.8,31.9,27.7,"Hip.","03","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
