"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.2,5,3.5,3.1,-6,-2.9,6.1,0.2,-7.7,0.7,0,-1.4,0,-42.3,0,0.2,"Hip.","03","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
43.5,7.9,1.7,-9.2,-6.2,3.2,3.2,-9.1,-8.7,0.8,0,-1.2,0,-34.5,0,0.1,"Hip.","03","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
50.9,11.9,8.1,4.2,1.3,5.5,10.7,21.7,-6.7,2.5,0,-1.3,0,-87.4,0,27.5,"Hip.","03","TV","Térreo","HVAC","L","Sala","Curitiba"
33,4.1,5.5,6.8,4.7,-2,3.8,13.3,-7.8,1,0,-1.4,0,-47,0,0.1,"Hip.","03","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.9,3.6,6,5.6,5.8,-1.3,7.7,17.7,-7.6,1,0,-1.3,0,-51.7,0,0.1,"Hip.","03","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,11.5,10.9,10.3,0,4.4,7.7,29.8,-5.7,3,0,-1,0,-88.1,0,22.6,"Hip.","03","TV","Térreo","HVAC","NE","Sala","Curitiba"
33,4.1,5.6,6.8,3.8,-2,4.9,13.6,-7.8,1.1,0,-1.4,0,-47.5,0,0.2,"Hip.","03","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.9,3.6,6,5.6,7.8,-1.3,5.6,17.7,-7.6,1,0,-1.3,0,-51.7,0,0.1,"Hip.","03","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,11.5,10.9,10.3,7.8,4.4,0,29.8,-5.7,3,0,-1,0,-88,0,22.6,"Hip.","03","TV","Térreo","HVAC","NO","Sala","Curitiba"
33.2,7.4,3,-8.4,2.7,3.9,2.4,0.6,-8.7,0.6,0,-1.2,0,-34.8,0,0,"Hip.","03","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.1,6.4,3.4,-5.9,3.4,3.3,4.4,5.3,-8.6,0.6,0,-1.2,0,-38.7,0,0,"Hip.","03","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.4,11.4,6.1,-2.8,0,6,4.3,11.5,-7.5,1.5,0,-0.9,0,-61.5,0,9.5,"Hip.","03","TV","Térreo","HVAC","SE","Sala","Curitiba"
