"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,-0.4,0,1.9,0,0,2.8,2.4,0,0,0,-0.5,0,27.3,7.8,-1.2,1.2,0.7,"Hip.","03","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-1.4,1.8,8.3,6.2,1.9,-5.2,0,1.8,4,NA,-0.2,0,33.3,9.9,-1.9,1.2,0.4,"Hip.","03","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.4,-2.6,0,-3.6,0,0,29.3,15.8,-1.5,-38.7,NA,-0.8,0,5.9,28.6,-4.5,1.8,1.4,"Hip.","03","TV","Cobertura","AFN","L","Sala","Curitiba"
-0.3,0,0,12.2,2.6,3,3.7,6.5,-1.9,3.8,-100,-1.9,0,43.5,3.6,-1.4,1.8,1.1,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.3,-2,0,14.5,4.3,0,3.4,6.3,-2,3.7,-100,-1.5,0,41.7,11.1,-1.6,1.8,1.1,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.5,-0.7,4.6,60.9,NA,4.8,4.5,24.8,-1.6,-22.9,NA,-4.1,0,8.6,53.8,-6.4,1.5,1.1,"Hip.","03","TV","Cobertura","AFN","NE","Sala","Curitiba"
-0.3,0,0,12.8,4.6,3,1.7,6.6,-1.9,3.7,-100,-1.9,0,41.7,5.6,-1.5,2.1,1.4,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,-2,0,14.5,3.4,0,3.8,6.3,-2,3.7,-100,-1.6,0,41.7,11.1,-1.6,1.8,1.1,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.5,-0.7,4.6,60.9,4.5,4.8,NA,24.8,-1.6,-25.7,NA,-4.1,0,8.9,53.8,-6.5,1.5,1.1,"Hip.","03","TV","Cobertura","AFN","NO","Sala","Curitiba"
0,-4.3,2.9,23.1,1.2,-23.6,-2.5,-11,5.5,0,NA,4.3,0,28.6,22.8,-2.8,1.6,0.4,"Hip.","03","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
