"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-66.7,-49.1,-21.9,3.2,9.7,-18.5,-433.3,3.8,-14.3,NA,12.5,NA,15.5,NA,-40,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
1.6,-106.5,-33.3,11.6,24.2,-43.8,-60,-5.1,11.5,-50,NA,21.4,Inf,24.7,Inf,0,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
0.2,-64.5,-34.1,-22.5,50,-23.2,-7.9,-12.4,11.6,-50,NA,20,NA,16.1,NA,-14.3,"Hip.","04","TV","Térreo","HVAC","L","Sala","Curitiba"
0,-33.3,-37.3,25.5,-10,4.5,-12.5,2.5,2.5,-18.2,NA,0,NA,8.5,NA,-33.3,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,16.7,-31.5,38.1,-3.2,14.3,-2.4,8.1,0,0,NA,-7.1,NA,1.8,NA,-50,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,3.4,-21.8,31.2,NA,2.3,-3.7,8.2,0,-27.9,-100,-10,NA,2.3,NA,-20.3,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Curitiba"
0,-26.2,-36.9,25,-12.2,4.8,-9.4,4,2.5,-9.1,NA,0,NA,7.5,NA,-33.3,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,19.4,-31.5,38.1,-1.2,14.3,-3.3,8.1,0,0,NA,-7.1,NA,1.8,NA,-50,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,3.4,-21.8,31.2,-3.6,2.3,NA,8.2,0,-28.6,-100,-10,NA,2.4,NA,-20.6,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Curitiba"
2.4,-112.3,-63.6,14.8,-56,-69.4,-56.5,-600,15.9,-60,NA,15.4,NA,38,NA,NA,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
1.8,-116.9,-63.3,9.7,-60.6,-63.2,-55.8,-117.6,12.6,-60,NA,8.3,NA,38.2,NA,NA,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
0.5,-84.5,-47.2,25.7,NA,-38.2,-37.5,-43.4,15.6,-59.1,NA,20,NA,27.6,NA,-48.4,"Hip.","04","TV","Térreo","HVAC","SE","Sala","Curitiba"
2.4,-111.1,-62.5,13.6,-56.5,-67.3,-50,-369.2,15.9,-66.7,NA,15.4,NA,37.7,NA,NA,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
1.8,-116.9,-63.3,9.7,-55.8,-63.2,-60.6,-119.6,12.6,-60,NA,8.3,NA,38.2,NA,NA,"Hip.","04","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
0.5,-84.5,-47.2,23.5,-35,-38.2,NA,-44,15.6,-59.1,NA,20,NA,27.6,NA,-48.4,"Hip.","04","TV","Térreo","HVAC","SO","Sala","Curitiba"
0.2,-46.2,-41.5,-11.9,-13.7,7.4,12,-14.5,3.8,-11.1,NA,0,NA,11.1,NA,-23.5,"Hip.","04","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
1.6,-100,-22.2,9.9,-51.4,-34.1,56,-20,10.2,-40,NA,6.7,Inf,21.5,Inf,-22.2,"Hip.","04","TV","Térreo","HVAC","O","Dorm. S","Curitiba"
0.2,-47.1,-32.3,-16.1,5,-19.4,-2.5,-5.5,10.7,-46.3,NA,9.1,NA,13.9,NA,-16.3,"Hip.","04","TV","Térreo","HVAC","O","Sala","Curitiba"
0,18.6,-5.1,7.8,3.7,4.2,6.1,5.5,33.3,8.1,0,-66.7,NA,-5.7,NA,5.2,"Hip.","04","TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,-19.9,9.2,4.5,2.4,-5.6,-3.8,-1.2,22.2,-5.7,0,12.5,NA,3.9,NA,-4.7,"Hip.","04","TV","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,1.3,-2.9,3.4,3.8,0,23.7,9.2,12.5,-31.2,0,33.3,NA,-1,NA,-1.8,"Hip.","04","TV","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,20.2,-2.1,14.8,6.9,4.5,8.6,9,0,9.1,0,0,NA,-8.1,NA,9.4,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,17.6,-2.1,11.9,7,4.1,6.6,7.5,0,6.2,0,0,NA,-7,NA,8.6,"Hip.","04","TV","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,14.7,-3.3,28,NA,2.1,3.2,9.8,-4,-26.8,100,0,NA,-3.9,NA,4.3,"Hip.","04","TV","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,19.1,-2.1,13.7,7.8,4.5,7.5,8.7,0,9.1,0,0,NA,-7.8,NA,9,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,17.6,-2.1,11.9,6.6,4.1,7,7.5,0,6.2,0,0,NA,-7,NA,8.6,"Hip.","04","TV","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,14.7,-3.3,28,3.2,2.1,NA,9.8,-4,-26.8,100,0,NA,-3.9,NA,4.3,"Hip.","04","TV","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-32.7,-1.7,0,-11.8,-22.4,-13.9,-13.7,100,-16,0,50,NA,13.5,NA,-17,"Hip.","04","TV","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
