"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.299999999999997,4.8,-2.7,-3.3,11,4.1,-2.1,9.7,-2.1,0.7,0,-9.5,0.1,2.4,-2.7,0.299999999999997,3.1,2.3,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.200000000000003,3.7,-1.3,9.3,5,-6.1,0.2,8.4,-1.6,1,0,-10.1,0.2,2,-5.7,3.8,3.2,2,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-1.2,4.7,-0.5,2.4,11.1,2.4,2.8,18.6,-1.2,1,0,-21.7,0.3,9.9,-2.8,-7.1,3.5,1.7,"Hip.",5,"SF","Cobertura","AFN","L","Sala","Curitiba"
-0.0999999999999943,2.7,-2.7,-3.6,-1.6,5.4,-4.3,-3.9,-2,0.2,0,5.8,-0.1,2.2,-0.4,-1.8,3.5,2.7,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,2.1,-2.8,-3.2,-5.8,3.7,-2.6,-7.90000000000001,-1.8,-0.0999999999999996,0,10.7,-0.2,1.7,0,-1.69999999999999,3.59999999999999,2.7,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.699999999999996,4.9,0.4,1.9,2.8,6.1,2.7,13.6,-0.6,0.8,0,-19.2,0.3,10,-0.7,-9.2,2.9,1.4,"Hip.",5,"SF","Cobertura","AFN","NE","Sala","Curitiba"
-0.0999999999999943,2.7,-2.7,-3.6,-4.2,5.5,-1.6,-3.8,-2,0.2,0,5.7,-0.1,2.2,-0.4,-1.8,3.5,2.7,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0,2.1,-2.7,-3.1,-2.5,3.7,-5.8,-7.8,-1.8,-0.0999999999999996,0,10.7,-0.2,1.7,-0.0999999999999996,-1.59999999999999,3.59999999999999,2.7,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.699999999999996,4.9,0.4,1.9,2.8,6.1,2.7,13.6,-0.6,0.8,0,-19.2,0.3,10,-0.7,-9.2,2.9,1.4,"Hip.",5,"SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.199999999999996,3.8,-1.4,8.9,-0.4,-1.3,-2.6,4.5,-1.7,0.7,0,-5.90000000000001,0.1,2.1,-3.6,1.5,4,2.6,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,3,-1.4,6.4,-3.6,-1.5,-0.9,0.399999999999999,-1.4,0.4,0,-1.2,0.1,1.7,-2.8,1.09999999999999,3.9,2.4,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.900000000000006,4.4,0.300000000000001,8.5,2.6,2.1,2.5,15.8,-1,0.6,0,-19.5,0.4,9.2,-2.7,-6.50000000000001,2.3,1.3,"Hip.",5,"SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.199999999999996,3.8,-1.4,8.8,-2.6,-1.3,-0.5,4.5,-1.7,0.7,0,-5.90000000000001,0.1,2.1,-3.8,1.7,4,2.6,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,3,-1.4,6.4,-0.9,-1.5,-3.6,0.399999999999999,-1.4,0.4,0,-1.10000000000001,0.1,1.7,-2.8,1.09999999999999,3.9,2.4,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.900000000000006,4.4,0.300000000000001,8.5,2.6,2.1,2.5,15.8,-1,0.6,0,-19.5,0.4,9.2,-2.7,-6.50000000000001,2.3,1.3,"Hip.",5,"SF","Cobertura","AFN","SO","Sala","Curitiba"
-0.100000000000001,3.4,-2.6,-5.5,-1.8,4.6,6.4,3.5,-1.9,0.4,0,-2.3,0,0.8,-2.2,1.40000000000001,2.7,2.2,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. N","Curitiba"
0,2.6,-1.1,9.8,0.7,-8.2,0,2.3,-1.5,0.8,0,-3.40000000000001,0.1,0.7,-4.3,3.5,2.3,1.7,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-1.3,5.7,0.799999999999999,3.1,3.9,3,9,18.9,-0.7,1.2,0,-25.7,0.4,10.5,-1.7,-8.8,3.2,1.1,"Hip.",5,"SF","Cobertura","AFN","O","Sala","Curitiba"
-0.399999999999999,4.5,-2,-3.8,8,4.4,-2.2,6.4,-1.9,0.7,0,-6.3,0.0999999999999996,2,0,-2,1.9,2,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
-0.399999999999999,3.6,-0.699999999999999,8.9,0.699999999999999,-6.8,0.5,3.4,-1.3,1.1,0,-6.40000000000001,0.1,2.4,0,-2.4,2.3,1.5,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. S","Rio de Janeiro"
-1,4.6,-0.699999999999999,1.9,9.1,1.8,2.1,15,-1.1,1,0,-18.1,0.2,3.7,0,-3.7,3.2,1.7,"Hip.",5,"SF","Cobertura","AFN","L","Sala","Rio de Janeiro"
0.100000000000001,3,-2.2,-3.7,-1.8,5.4,-3.5,-3.6,-1.9,0.2,0,4.90000000000001,-0.0999999999999996,-3.90000000000001,0,3.9,3.1,2.5,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 1","Rio de Janeiro"
0.300000000000001,2.4,-2.4,-3.3,-5.1,3.6,-2.8,-7.7,-1.8,-0.0999999999999996,0,10,-0.100000000000001,-5.09999999999999,0,5.1,3.4,2.6,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.699999999999999,4.7,0.199999999999999,1.7,2.4,5,2.3,11.5,-0.5,0.9,0,-16.9,0.2,0.600000000000009,0,-0.600000000000001,2.8,1.4,"Hip.",5,"SF","Cobertura","AFN","NE","Sala","Rio de Janeiro"
0.100000000000001,3,-2.2,-3.7,-3.5,5.4,-1.7,-3.6,-1.9,0.2,0,4.90000000000001,-0.0999999999999996,-3.90000000000001,0,3.9,3.1,2.5,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 1","Rio de Janeiro"
0.300000000000001,2.4,-2.4,-3.3,-2.9,3.6,-5.1,-7.7,-1.8,-0.0999999999999996,0,10,-0.100000000000001,-5.09999999999999,0,5.1,3.4,2.6,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.699999999999999,4.7,0.199999999999999,1.7,2.4,5,2.3,11.5,-0.5,0.9,0,-16.9,0.2,0.600000000000009,0,-0.600000000000001,2.8,1.4,"Hip.",5,"SF","Cobertura","AFN","NO","Sala","Rio de Janeiro"
-0.300000000000001,4.1,-1.4,7.4,-0.6,-1.4,-2.3,3.1,-1.7,0.6,0,-4.8,0,2.4,0,-2.4,3.40000000000001,2.3,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 1","Rio de Janeiro"
0,3.3,-1.4,5.3,-3.4,-1.6,-1.1,-0.899999999999999,-1.4,0.3,0,0,0.1,1.2,0,-1.2,3.40000000000001,2.2,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.800000000000001,4.6,0.5,7.6,2.4,2,2.3,14.3,-0.8,0.6,0,-18.8,0.2,5.7,0,-5.7,1.9,1,"Hip.",5,"SF","Cobertura","AFN","SE","Sala","Rio de Janeiro"
-0.300000000000001,4.1,-1.4,7.4,-2.3,-1.4,-0.5,3.1,-1.7,0.6,0,-4.8,0,2.4,0,-2.4,3.40000000000001,2.3,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 1","Rio de Janeiro"
0,3.3,-1.4,5.3,-1.1,-1.6,-3.4,-0.899999999999999,-1.4,0.3,0,0,0.1,1.2,0,-1.2,3.40000000000001,2.2,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.800000000000001,4.6,0.5,7.6,2.4,2,2.3,14.3,-0.8,0.6,0,-18.8,0.2,5.7,0,-5.7,1.9,1,"Hip.",5,"SF","Cobertura","AFN","SO","Sala","Rio de Janeiro"
-0.200000000000003,3.8,-2.2,-4.5,-2.7,3.8,6.9,3.5,-2,0.4,0,-2.39999999999999,0.0999999999999996,0.900000000000006,0,-0.899999999999999,1.9,2.2,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. N","Rio de Janeiro"
-0.100000000000001,2.9,-0.799999999999999,8.4,0.199999999999999,-7.6,-0.4,0.600000000000001,-1.3,0.8,0,-2.59999999999999,0.1,1.1,0,-1.1,2.3,1.7,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. S","Rio de Janeiro"
-1.3,5.6,0.9,2.8,4,2.7,7.5,17.1,-0.699999999999999,1.3,0,-24.3,0.2,3.60000000000001,0,-3.6,3.1,1,"Hip.",5,"SF","Cobertura","AFN","O","Sala","Rio de Janeiro"
-0.299999999999997,4.3,-2.4,-3.9,8.3,4,-2,6.4,-1.7,0.7,0,-6.5,0.1,2.2,-1.4,-0.799999999999997,3.1,2,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. N","São Paulo"
-0.300000000000004,3.4,-0.800000000000001,8.6,2.1,-6.5,0.4,4.7,-1.3,1,0,-7.2,0.2,2.1,-1.9,-0.299999999999997,2.5,1.6,"Hip.",5,"SF","Cobertura","AFN","L","Dorm. S","São Paulo"
-1.2,4.4,-0.8,2.1,9.5,2,2.2,15.8,-1,0.9,0,-18.3,0.3,6.40000000000001,-0.3,-6.1,3.1,1.5,"Hip.",5,"SF","Cobertura","AFN","L","Sala","São Paulo"
0,2.8,-2.5,-3.6,-1.6,4.9,-3.9,-4.3,-1.8,0.2,0,5.7,-0.1,-1,-0.4,1.40000000000001,3.7,2.4,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 1","São Paulo"
0.200000000000003,2.2,-2.6,-3.2,-5.4,3.2,-2.6,-8,-1.6,0,0,10.4,-0.2,-3.1,-0.1,3.30000000000001,4.2,2.4,"Hip.",5,"SF","Cobertura","AFN","NE","Dorm. 2","São Paulo"
-0.799999999999997,4.6,0.299999999999999,1.7,2.6,5.4,2.4,12.2,-0.6,0.7,0,-17.2,0.2,4.59999999999999,-0.1,-4.6,3.2,1.3,"Hip.",5,"SF","Cobertura","AFN","NE","Sala","São Paulo"
0,2.8,-2.4,-3.5,-4,4.9,-1.6,-4.3,-1.8,0.2,0,5.7,-0.1,-1,-0.4,1.40000000000001,3.7,2.4,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 1","São Paulo"
0.200000000000003,2.2,-2.6,-3.2,-2.6,3.2,-5.5,-8,-1.6,-0.100000000000001,0,10.4,-0.2,-3.1,-0.1,3.30000000000001,4.2,2.4,"Hip.",5,"SF","Cobertura","AFN","NO","Dorm. 2","São Paulo"
-0.799999999999997,4.6,0.299999999999999,1.7,2.6,5.4,2.4,12.2,-0.6,0.7,0,-17.2,0.2,4.59999999999999,-0.1,-4.6,3.2,1.3,"Hip.",5,"SF","Cobertura","AFN","NO","Sala","São Paulo"
-0.199999999999996,3.7,-1.2,7.5,-0.5,-1.3,-2.5,3.1,-1.6,0.6,0,-4.59999999999999,0.1,1.5,-0.9,-0.600000000000009,3.3,2.3,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 1","São Paulo"
-0.100000000000001,3,-1.2,5.3,-3.4,-1.5,-0.9,-0.600000000000001,-1.3,0.4,0,-0.100000000000009,0,-0.399999999999999,-0.5,0.900000000000006,3.3,2.2,"Hip.",5,"SF","Cobertura","AFN","SE","Dorm. 2","São Paulo"
-1,4.1,0.299999999999999,7.4,2.2,1.8,2.2,13.8,-0.8,0.5,0,-17.1,0.4,8.1,-0.3,-7.9,1.7,1.2,"Hip.",5,"SF","Cobertura","AFN","SE","Sala","São Paulo"
-0.199999999999996,3.7,-1.2,7.4,-2.5,-1.3,-0.5,3.1,-1.6,0.6,0,-4.59999999999999,0.1,1.5,-1,-0.600000000000009,3.3,2.3,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 1","São Paulo"
-0.100000000000001,3,-1.2,5.3,-1,-1.5,-3.4,-0.600000000000001,-1.3,0.4,0,-0.100000000000009,0,-0.399999999999999,-0.4,0.900000000000006,3.3,2.2,"Hip.",5,"SF","Cobertura","AFN","SO","Dorm. 2","São Paulo"
-1,4.1,0.299999999999999,7.4,2.2,1.8,2.2,13.8,-0.8,0.5,0,-17.1,0.4,8.1,-0.3,-7.9,1.7,1.2,"Hip.",5,"SF","Cobertura","AFN","SO","Sala","São Paulo"
-0.199999999999996,3.6,-2.4,-4.7,-2.3,3.6,6.9,3.7,-1.9,0.5,0,-2.89999999999999,0.1,0.600000000000001,-1.1,0.5,2.6,2.09999999999999,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. N","São Paulo"
-0.100000000000001,2.8,-0.7,8.2,0.4,-7.4,0.5,1.7,-1.3,0.899999999999999,0,-3.5,0.1,0.699999999999999,-1.6,0.899999999999991,2.4,1.7,"Hip.",5,"SF","Cobertura","AFN","O","Dorm. S","São Paulo"
-1.40000000000001,5.4,0.800000000000001,2.7,3.5,2.6,8.3,17.1,-0.8,1.1,0,-23.4,0.3,8.00000000000001,-0.2,-7.8,2.8,1.1,"Hip.",5,"SF","Cobertura","AFN","O","Sala","São Paulo"
