"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-24.4,-23.9,1,10.8,8.7,-29.6,-9.7,7.1,95.8,NA,6.8,-3,-50,36.4,-0.7,-1.6,-1.5,"Hip.","05","TV","Térreo","AFN","L","Dorm. N","Curitiba"
0.4,-60.3,-5.6,26.3,24.2,-16.3,-40.7,-19.3,11.3,33.3,NA,17,-9.7,-100,115.4,-4.7,-1.4,-0.8,"Hip.","05","TV","Térreo","AFN","L","Dorm. S","Curitiba"
0.4,-60.7,-34.1,20.8,Inf,-25.6,17.2,10.2,8.3,-44,NA,8.2,-3.6,2.3,Inf,-0.6,1.3,0.4,"Hip.","05","TV","Térreo","AFN","L","Sala","Curitiba"
0,-5.5,-19,3.5,-22.8,5,2,-3.6,7.5,88,NA,2.4,0,0,300,-0.3,-1.3,-0.7,"Hip.","05","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
0.3,4.3,-17.9,5.3,-1.3,6.8,-20.5,-5.9,7.9,80.8,NA,2.4,0,-100,Inf,-0.1,-2,-1.1,"Hip.","05","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
0.3,17.1,-31.1,43.5,Inf,2.7,-8.5,11.3,3.9,-32.3,NA,2.1,-3.2,-25.4,NA,6.1,-1.6,-1.1,"Hip.","05","TV","Térreo","AFN","NE","Sala","Curitiba"
0,-5.5,-19.6,3.5,2,5,-25.6,-4.8,7.5,80.8,NA,2.9,0,0,300,-0.3,-1.3,-0.7,"Hip.","05","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
0.3,4.3,-18.5,4.4,-20.8,4.5,-1.3,-6.1,7.9,88,NA,2.6,0,-100,Inf,-0.1,-2,-1.1,"Hip.","05","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
0.3,17.1,-31.1,43.5,-6.7,2.7,Inf,11.3,3.9,-32.3,NA,2.1,-3.2,-25.4,NA,6.1,-1.6,-1.1,"Hip.","05","TV","Térreo","AFN","NO","Sala","Curitiba"
0.5,-62.8,-22.1,66.7,-44.6,-43,-22.7,-37.4,18.4,38.9,NA,26.8,-16.1,NA,733.3,-4.4,-2.5,-2,"Hip.","05","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
