"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
46.9,24,9.9,12.2,-0.8,3.4,14.3,29.1,-4.3,5.7,0,-112.4,3.3,1.5,5.9,92.6,32,28.4,"Hip.","06","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
47.3,13,6,-5.7,2.2,14.4,8.3,19.2,-4.9,4.5,0,-87.8,2.9,0.6,10.8,88.6,31.3,27.4,"Hip.","06","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
50.1,17.9,7.6,3.2,-5,4.3,10.6,13.2,-6.3,2.1,0,-83.8,2.9,30.8,1.8,67.4,33,28.6,"Hip.","06","C10","Intermediário","AFN","L","Sala","Curitiba"
35.9,30.4,14.2,19.6,11.5,3.2,14.2,48.4,-4.5,5.8,0,-131.5,3.7,2.3,1.3,96.4,32.4,28.5,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.9,31.4,15.4,15.7,20.2,2.4,17.8,56,-4.3,5.9,0,-141.2,4,2.1,0.6,97.3,31.7,28.2,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.5,29.1,12.5,12.1,6.3,0,6.6,24.9,-6.1,2.7,0,-101.3,3.3,36.7,0,63.3,32.3,28.1,"Hip.","06","C10","Intermediário","AFN","NE","Sala","Curitiba"
35.9,30.4,14.2,19.6,13.6,3.2,11.9,48.3,-4.5,5.8,0,-131.5,3.7,2.3,1.2,96.5,32.4,28.5,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.9,31.4,15.4,15.7,17.3,2.4,20.8,56.1,-4.3,5.9,0,-141.3,4,2.1,0.6,97.4,31.7,28.2,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.5,29.1,12.5,12.1,6.3,0,6.6,24.9,-6.1,2.7,0,-101.3,3.3,36.7,0,63.3,32.3,28.1,"Hip.","06","C10","Intermediário","AFN","NO","Sala","Curitiba"
36.5,13.4,7.3,-3.9,6.9,10.1,9.2,22.4,-4.2,3.4,0,-80.4,2.8,0.2,8.3,91.5,29.7,26.2,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.5,14.7,8.3,-2.9,12.2,8.5,10.5,28.3,-4.2,3.5,0,-88,3,0.2,6.6,93.2,29.5,26.1,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
40.2,10.8,5,-5.3,2.8,5.3,3.2,6,-5.6,1.2,0,-57.2,2.5,15.4,4.3,80.4,30.9,26.4,"Hip.","06","C10","Intermediário","AFN","SE","Sala","Curitiba"
36.5,13.4,7.3,-3.8,8.7,10.1,7.4,22.4,-4.2,3.4,0,-80.4,2.8,0.2,8.6,91.2,29.7,26.2,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.5,14.7,8.3,-2.9,9.9,8.5,12.9,28.5,-4.2,3.5,0,-88.3,3,0.2,6.5,93.3,29.5,26.2,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
40.2,10.8,5,-5.3,2.8,5.3,3.2,6,-5.6,1.2,0,-57.2,2.5,15.4,4.3,80.4,30.9,26.4,"Hip.","06","C10","Intermediário","AFN","SO","Sala","Curitiba"
46.6,26.1,10.8,15,13.9,3.1,4.6,36.5,-4.5,6.3,0,-123.4,3.5,3.1,5.6,91.3,33.7,28.9,"Hip.","06","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
47,14.9,6.6,-5.8,7.6,17.1,8.5,27.4,-5.1,5,0,-98.6,3.1,1.8,8.9,89.2,33.3,27.9,"Hip.","06","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
48.9,25.9,10.2,4.2,14.4,5.3,0.1,24.1,-6.5,3,0,-105,3.2,40.4,1.9,57.7,35.4,29,"Hip.","06","C10","Intermediário","AFN","O","Sala","Curitiba"
34.8,26.8,11.4,13.6,5.2,4.7,15.3,38.9,-4,6.3,0,-115,4,69.9,0,30.1,37.8,34.6,"Hip.","06","C10","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
36,15,7.5,-3.3,10,16.6,8.6,31.9,-4.2,5.1,0,-94.5,3.8,57.5,0,42.5,38.7,33.7,"Hip.","06","C10","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
38.8,25.4,11.3,4.8,0.2,6.2,15.6,26.8,-5.6,3,0,-100.2,3.3,87.5,0,12.5,40.8,35.2,"Hip.","06","C10","Intermediário","AFN","L","Sala","Rio de Janeiro"
26.3,32.4,15.2,20.9,12.6,4.8,14,52.3,-4.1,6.1,0,-129.5,4.1,79.8,0,20.2,38.4,34.6,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
26.3,33.3,16.3,16.6,20.9,3.5,18.8,59.8,-3.9,6.2,0,-138.8,4.4,80.9,0,19.1,38.1,34.5,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
30.3,33.8,14.7,14.1,8.5,3,8.4,34,-5.1,3.4,0,-111.4,3.5,95.4,0,4.6,38.9,33.8,"Hip.","06","C10","Intermediário","AFN","NE","Sala","Rio de Janeiro"
26.3,32.4,15.2,20.9,14,4.9,12.5,52.2,-4.1,6.1,0,-129.4,4.1,79.8,0,20.2,38.4,34.6,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
26.3,33.3,16.3,16.7,18.9,3.4,20.9,60,-3.9,6.2,0,-139,4.4,80.9,0,19.1,38.1,34.5,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
30.3,33.8,14.7,14.1,8.5,3,8.4,34,-5.1,3.4,0,-111.4,3.5,95.4,0,4.6,38.9,33.8,"Hip.","06","C10","Intermediário","AFN","NO","Sala","Rio de Janeiro"
28.3,14.7,8.4,-0.2,8.1,11.5,9.6,29,-2.9,3.8,0,-83.1,3.6,54.4,0,45.6,36.8,32.3,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
28.2,16.1,9.3,-0.2,13.8,9.5,11.6,34.7,-2.9,3.9,0,-90.6,3.9,55.6,0,44.4,36.6,32.4,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
32.7,12.1,6.5,-2.7,4.1,6.4,4,11.8,-4.3,1.5,0,-59.9,2.9,72.3,0,27.7,37.6,32.5,"Hip.","06","C10","Intermediário","AFN","SE","Sala","Rio de Janeiro"
28.3,14.6,8.4,-0.2,9.6,11.4,8,28.8,-2.9,3.7,0,-83,3.6,54.5,0,45.5,36.8,32.3,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
28.2,16.2,9.4,-0.2,11.7,9.5,13.8,34.8,-2.9,3.9,0,-90.7,3.9,55.7,0,44.3,36.7,32.5,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
32.7,12.1,6.5,-2.7,4.1,6.4,4,11.8,-4.3,1.5,0,-59.9,2.9,72.3,0,27.7,37.6,32.5,"Hip.","06","C10","Intermediário","AFN","SO","Sala","Rio de Janeiro"
34.4,27.7,12,14.3,15.9,5.5,6.1,41.9,-3.8,6.6,0,-119.9,4.1,71.3,0,28.7,37.8,34.6,"Hip.","06","C10","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
35.7,15.9,8,-2.6,9.1,17.5,11.2,35.3,-4.1,5.4,0,-99.3,3.8,59.1,0,40.9,38.9,33.5,"Hip.","06","C10","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
38.1,28.7,11.8,5.1,16.2,6.4,4.1,31.8,-5.2,3.5,0,-109.5,3.3,89.5,0,10.5,40.2,34.3,"Hip.","06","C10","Intermediário","AFN","O","Sala","Rio de Janeiro"
42.4,25.1,10.8,13.6,2.9,3.7,14.7,34.8,-4.3,6.1,0,-116.7,3.9,25.3,1.4,73.3,35.3,31.6,"Hip.","06","C10","Intermediário","AFN","L","Dorm. N","São Paulo"
43.2,14.5,7.2,-4.2,6.6,16.1,8.6,27,-4.6,5,0,-94.9,3.5,19.9,2.1,78,34.4,30.5,"Hip.","06","C10","Intermediário","AFN","L","Dorm. S","São Paulo"
45.3,21.8,9.6,4,-3,5.2,13.4,19.6,-6.2,2.6,0,-92.7,3.1,58.8,0.3,40.9,36.3,32.1,"Hip.","06","C10","Intermediário","AFN","L","Sala","São Paulo"
32.4,30.9,14.8,20.3,12.2,3.8,14.2,50.5,-4.3,6,0,-131.6,4.1,30.3,0.4,69.4,37.1,31.4,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 1","São Paulo"
32.4,31.9,15.8,16.1,20.9,2.8,18.1,57.9,-4.1,6.1,0,-141.2,4.4,31.5,0.1,68.4,36.6,31.2,"Hip.","06","C10","Intermediário","AFN","NE","Dorm. 2","São Paulo"
35.2,30.1,13.2,12.7,7.1,0.5,7,27.4,-5.8,2.9,0,-102.5,3.4,67.2,0.1,32.8,37.7,31.1,"Hip.","06","C10","Intermediário","AFN","NE","Sala","São Paulo"
32.4,30.9,14.7,20.2,14.1,3.8,12.2,50.2,-4.3,6,0,-131.6,4.1,30.4,0.4,69.3,37.1,31.4,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 1","São Paulo"
32.4,31.9,15.9,16.2,18.2,2.7,21,58.1,-4.1,6.1,0,-141.1,4.4,31.5,0.1,68.3,36.6,31.2,"Hip.","06","C10","Intermediário","AFN","NO","Dorm. 2","São Paulo"
35.2,30.1,13.2,12.7,7.1,0.5,7,27.4,-5.8,2.9,0,-102.5,3.4,67.2,0.1,32.8,37.7,31.1,"Hip.","06","C10","Intermediário","AFN","NO","Sala","São Paulo"
33.5,14.6,8.3,-1.6,7.9,11.3,9.6,27.2,-3.6,3.7,0,-85.2,3.4,18.1,0.8,81.2,32.8,29.1,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 1","São Paulo"
33.5,16.1,9.2,-1.2,13.6,9.4,11.3,33.1,-3.5,3.8,0,-93.1,3.7,19.7,0.5,79.8,32.7,29.2,"Hip.","06","C10","Intermediário","AFN","SE","Dorm. 2","São Paulo"
37.2,12.2,5.9,-4,3.7,6.1,3.6,9.5,-5,1.4,0,-60.5,2.7,41.8,0.2,58,33.1,29.6,"Hip.","06","C10","Intermediário","AFN","SE","Sala","São Paulo"
33.5,14.6,8.3,-1.6,9.6,11.2,7.9,27.1,-3.6,3.7,0,-85.2,3.4,18.1,0.8,81.1,32.8,29.1,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 1","São Paulo"
33.5,16.1,9.2,-1.2,11.3,9.4,13.7,33.2,-3.5,3.8,0,-93.2,3.7,19.8,0.5,79.7,32.7,29.2,"Hip.","06","C10","Intermediário","AFN","SO","Dorm. 2","São Paulo"
37.2,12.2,5.9,-4,3.7,6.1,3.6,9.5,-5,1.4,0,-60.5,2.7,41.8,0.2,58,33.1,29.6,"Hip.","06","C10","Intermediário","AFN","SO","Sala","São Paulo"
