"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,-1,96.4,9.5,11.5,14.5,-14.5,3,8.5,138.5,NA,-5.9,6.2,59.4,9.6,-2.6,3.4,2.9,"Hip.","06","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.4,5.3,59.5,27.6,19,14.9,-7.4,8.6,5.6,92.9,NA,-8.6,7.1,72.7,3.5,-2.2,3.7,2.3,"Hip.","06","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.8,-7.1,47.9,12.7,10.6,1.6,28.3,15.6,5.3,-23.8,NA,-6.5,3.2,8.8,90,-7.9,6.8,3.4,"Hip.","06","SF","Cobertura","AFN","L","Sala","Curitiba"
-0.8,-0.6,58.1,13.4,-15.6,14.7,9.2,4.7,7.1,115.4,NA,-7.3,6.2,72.7,9.1,-3.1,3.9,3.9,"Hip.","06","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.6,-2.7,57.4,12.5,5.2,11.1,-11.3,2.3,11.8,96.3,NA,-4.8,2.9,65.6,23.1,-3.1,3.7,3.3,"Hip.","06","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.5,-2.9,53.1,36.7,Inf,16.9,8.3,19.4,14.1,-20.5,NA,-8.1,5.9,8.1,266.7,-8.7,3.5,1.7,"Hip.","06","SF","Cobertura","AFN","NE","Sala","Curitiba"
-0.6,-0.9,54.5,13.4,9.1,14.7,-15,5,8.6,107.4,NA,-7.2,6.2,72.7,6.8,-3,3.9,3.9,"Hip.","06","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.6,-2.7,60.9,12.5,-11.6,11.1,6.2,2,10.3,103.8,NA,-4.6,2.9,65.6,17.9,-3,3.4,3.3,"Hip.","06","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.5,-2.9,53.1,36.7,8.1,16.9,Inf,19,14.1,-20.5,NA,-8,5.9,8.1,266.7,-8.6,3.5,1.7,"Hip.","06","SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.6,5.4,43.9,17.5,-12.3,1,13.3,1.8,6,127.8,NA,-8.5,7.4,90,9,-2.9,4.3,3.1,"Hip.","06","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
-0.3,5.3,41.7,13.8,10.1,1.2,-7.9,2,9.2,110.5,NA,-6.9,6.9,89.5,9.5,-2.6,4.6,3.1,"Hip.","06","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
-0.3,-4.4,48.4,15.6,Inf,21.7,7.7,12.6,9.7,-31,NA,-5.5,7.1,7.8,54.2,-5.7,2.9,1.8,"Hip.","06","SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.6,4.9,41.4,14.6,11.5,1,-13.5,1.4,7.5,127.8,NA,-8.3,7.4,90,10.4,-3,4.6,3.1,"Hip.","06","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
-0.3,5.3,41.7,13.8,-8.9,0,10.1,1.7,7.7,110.5,NA,-7.2,6.9,89.5,8.1,-2.5,4.6,3.4,"Hip.","06","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
-0.3,-4.4,48.4,15.6,5.7,20,Inf,12.6,9.7,-31,NA,-5.4,7.1,7.8,54.2,-5.7,2.9,1.8,"Hip.","06","SF","Cobertura","AFN","SO","Sala","Curitiba"
-0.4,-1.7,86.7,8.1,-16.2,14.3,12.2,2.1,8.3,124.1,NA,-5.3,3,54.1,5.7,-2.5,3,3.2,"Hip.","06","SF","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.4,3.9,55.6,22.6,-9.5,11.4,16.9,6.9,5.6,83.9,NA,-7.7,6.9,65.4,3.7,-2.2,3.6,3,"Hip.","06","SF","Cobertura","AFN","O","Dorm. S","Curitiba"
-1.5,0,45.2,19.4,37.1,11.1,15.1,23.4,6.8,-12.2,NA,-11.9,9.4,7.8,63.6,-9,5.3,3,"Hip.","06","SF","Cobertura","AFN","O","Sala","Curitiba"
-0.6,-1.3,49,7.3,8.8,10.3,-16.1,0.9,7.6,119.4,NA,-5.1,5.3,0.3,NA,-0.6,3,1.9,"Hip.","06","SF","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
