"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.7,14.5,4.2,3.5,-11.3,-4.6,6.6,-5.8,-7.1,0.9,0,-1.4,1.2,-49.2,1.2,3.7,"Hip.","07","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
44.5,5.5,1.1,-13.5,-8,6.3,2.8,-12.4,-7.5,1.1,0,-1,2.9,-34.6,2.9,1.5,"Hip.","07","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
51.1,21.2,9.2,5.7,-2.4,6.6,12.8,22.8,-6.2,3.1,0,-1.1,0,-100.4,0,62.1,"Hip.","07","C10","Intermediário","HVAC","L","Sala","Curitiba"
33,21.5,8.9,12,9.5,-6.3,5.6,20.8,-7.8,1.4,0,-1.4,0,-75.4,0,5.8,"Hip.","07","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.9,22.4,9.9,10,9.1,-4.7,13.6,28,-7.7,1.6,0,-1.4,0,-84.5,0,4.6,"Hip.","07","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.4,33.8,14.9,14.2,10.1,2.3,10.2,36.8,-5.9,3.9,0,-1.1,0,-122,0,67.6,"Hip.","07","C10","Intermediário","HVAC","NE","Sala","Curitiba"
33,21.2,8.7,11.8,5.3,-6.3,9,19.8,-7.8,1.5,0,-1.3,0,-74.1,0,5.2,"Hip.","07","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.9,22.7,10.1,10.2,14.4,-4.7,9.5,29.4,-7.8,1.6,0,-1.5,0,-86.5,0,5.1,"Hip.","07","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.4,33.8,14.9,14.2,10.1,2.3,10.2,36.8,-5.9,3.9,0,-1.1,0,-122,0,67.6,"Hip.","07","C10","Intermediário","HVAC","NO","Sala","Curitiba"
33.9,6.1,2.4,-13.3,2.9,3.8,3.1,-3.5,-7.3,0.6,0,-1,0.8,-32.2,0.8,0.4,"Hip.","07","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33.6,7.2,3.3,-10.1,4,3.7,4.9,2.5,-7.6,0.6,0,-1,0.1,-38.6,0.1,0.3,"Hip.","07","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.7,11.3,5.1,-6.6,4.1,5.5,4.3,7.3,-6.5,1.5,0,-0.8,0,-57.8,0,20.4,"Hip.","07","C10","Intermediário","HVAC","SE","Sala","Curitiba"
33.9,6,2.3,-13.2,2.8,3.7,2.8,-3.9,-7.3,0.6,0,-0.9,0.8,-31.7,0.8,0.4,"Hip.","07","C10","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
33.6,7.4,3.4,-10.2,5.1,3.8,4.5,3.1,-7.6,0.7,0,-1.2,0.1,-39.4,0.1,0.4,"Hip.","07","C10","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
39.7,11.3,5.1,-6.6,4.1,5.5,4.3,7.3,-6.5,1.5,0,-0.8,0,-57.8,0,20.4,"Hip.","07","C10","Intermediário","HVAC","SO","Sala","Curitiba"
43.6,17.1,5.4,5.3,9,-4.6,-5.3,4.5,-7.1,1.3,0,-1.5,1.1,-62.9,1.1,9.3,"Hip.","07","C10","Intermediário","HVAC","O","Dorm. N","Curitiba"
44.2,7.4,1.9,-13.8,4.1,7.8,-1.5,-3.4,-7.7,1.5,0,-1.3,2.4,-45,2.4,5.7,"Hip.","07","C10","Intermediário","HVAC","O","Dorm. S","Curitiba"
51,32.1,13.2,7.8,18.1,8.7,6.7,41.4,-5.3,4.6,0,-1.1,0,-136.7,0,97.1,"Hip.","07","C10","Intermediário","HVAC","O","Sala","Curitiba"
42.5,39.7,18.8,16.4,25.6,20.4,27.5,90,0.1,4.1,0.1,-0.4,0,-190.8,0,170.5,"Hip.","07","C10","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
42.6,25.8,13.6,8.8,27,17.1,19.8,72.7,-0.8,3.8,0.1,-0.9,0,-155.5,0,133.8,"Hip.","07","C10","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,46.4,23.6,14.1,30.5,14.9,32.2,91.7,1.9,7.4,0.1,-0.2,0,-221.5,0,229,"Hip.","07","C10","Intermediário","HVAC","L","Sala","Rio de Janeiro"
32.7,42.5,21.3,29.2,22.3,22.1,15.2,88.7,0.7,3.8,0.1,-0.4,0,-187,0,174.6,"Hip.","07","C10","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,41.1,20.9,21.3,22.6,15.3,29.2,88.5,0.9,3.8,0.1,-0.4,0,-185.5,0,172.8,"Hip.","07","C10","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.3,54,26.3,25.5,18.1,24.8,17.9,86.3,2.6,6.6,0.2,-0.3,0,-215.2,0,227.6,"Hip.","07","C10","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
32.7,42.5,21.3,29.2,15.2,22,22.2,88.6,0.7,3.8,0.1,-0.4,0,-186.9,0,174.3,"Hip.","07","C10","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,41.1,20.9,21.3,29.3,15.4,22.6,88.6,0.9,3.8,0.1,-0.4,0,-185.6,0,173.2,"Hip.","07","C10","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.3,54,26.3,25.5,18.1,24.8,17.9,86.3,2.6,6.6,0.2,-0.3,0,-215.2,0,227.6,"Hip.","07","C10","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
32.8,20.7,12,10.7,12.2,16.3,9.9,49,0.2,2.3,0.1,-0.3,0,-116.3,0,94.8,"Hip.","07","C10","Intermediário","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.8,20.7,12,7.4,14.3,12.2,16.4,50.3,0.2,2.3,0.1,-0.3,0,-117.8,0,94.6,"Hip.","07","C10","Intermediário","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,25.3,14.5,11.5,10.2,14.1,10,45.8,1.1,3.6,0.3,-0.2,0,-128.9,0,123.5,"Hip.","07","C10","Intermediário","HVAC","SE","Sala","Rio de Janeiro"
32.8,20.7,12,10.7,9.9,16.3,12.2,49.1,0.2,2.3,0.1,-0.3,0,-116.4,0,94.7,"Hip.","07","C10","Intermediário","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.8,20.6,12,7.4,16.4,12.2,14.2,50.1,0.3,2.3,0.2,-0.3,0,-117.6,0,94.6,"Hip.","07","C10","Intermediário","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,25.3,14.5,11.5,10.2,14.1,10,45.8,1.1,3.6,0.3,-0.2,0,-128.9,0,123.5,"Hip.","07","C10","Intermediário","HVAC","SO","Sala","Rio de Janeiro"
42.5,40.9,19.9,17,28.8,21.9,28.1,95.8,0.6,4.3,0.1,-0.4,0,-199.5,0,180.6,"Hip.","07","C10","Intermediário","HVAC","O","Dorm. N","Rio de Janeiro"
42.6,27,14.5,10.1,20.9,17.7,29.7,78.3,-0.5,4,0.1,-0.9,0,-163.8,0,142.9,"Hip.","07","C10","Intermediário","HVAC","O","Dorm. S","Rio de Janeiro"
50.8,51.7,24.5,14.7,33.2,15.4,37.9,101.1,3.3,8.2,0.1,-0.2,0,-239.8,0,249.1,"Hip.","07","C10","Intermediário","HVAC","O","Sala","Rio de Janeiro"
43,23.7,9.9,8.6,3.4,4.1,14.7,30.9,-4.4,2.1,0,-0.9,0.2,-102.4,0.2,56.7,"Hip.","07","C10","Intermediário","HVAC","L","Dorm. N","São Paulo"
