"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
42.7111111111111,5.1,9.51111111111111,4.73333333333333,3.25555555555556,2.18888888888889,7.05555555555556,17.2333333333333,-9.47777777777778,0.955555555555555,0,-1.95555555555556,0,-62,0,71.4555555555556,"Hip.","00","SF","Térreo","HVAC","L","Dorm. N","Curitiba"
42.8111111111111,9.26666666666667,3.04444444444444,-0.655555555555556,0.988888888888889,3.38888888888889,4.03333333333333,7.75555555555556,-10.2333333333333,1.08888888888889,0,-1.62222222222222,0,-51.4333333333333,0,60.2444444444444,"Hip.","00","SF","Térreo","HVAC","L","Dorm. S","Curitiba"
50.8266666666667,14.88,11.6466666666667,5.76666666666667,6.66,6.31333333333333,10.76,29.5066666666667,-8.09333333333333,5.08666666666667,0.02,-1.73333333333333,0,-103.146666666667,0,123.973333333333,"Hip.","00","SF","Térreo","HVAC","L","Sala","Curitiba"
32.8166666666667,5.74166666666667,11.8416666666667,7.34166666666667,6.58333333333333,3.225,4.71666666666667,21.8583333333333,-9.40833333333333,1.14166666666667,0.00833333333333333,-1.75,0,-60.85,0,68.2166666666667,"Hip.","00","SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.8166666666667,5.6,12.175,5.75833333333333,7.50833333333333,2.33333333333333,9.00833333333333,24.6083333333333,-9.10833333333333,1.13333333333333,0.00833333333333333,-1.6,0,-64.175,0,71.7,"Hip.","00","SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.32,16.58,16.62,10.38,0,7.13,8.94,35.275,-6.755,5.38,0.05,-1.175,0,-106.485,0,122.55,"Hip.","00","SF","Térreo","HVAC","NE","Sala","Curitiba"
32.8166666666667,5.775,11.8416666666667,7.35,4.85833333333333,3.23333333333333,6.30833333333333,21.75,-9.4,1.23333333333333,0.00833333333333333,-1.74166666666667,0,-60.8833333333333,0,68.2583333333333,"Hip.","00","SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.8166666666667,5.59166666666667,12.175,5.75833333333333,9.41666666666667,2.325,7.15,24.6583333333333,-9.11666666666667,1.11666666666667,0.00833333333333333,-1.60833333333333,0,-64.2,0,71.725,"Hip.","00","SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.32,16.59,16.635,10.39,9.21,7.14,0,35.37,-6.75,5.355,0.05,-1.175,0,-106.58,0,122.645,"Hip.","00","SF","Térreo","HVAC","NO","Sala","Curitiba"
32.8833333333333,9.94166666666667,4.6,0.283333333333333,3.925,5.35833333333333,3.025,12.5916666666667,-10.0916666666667,0.725,0,-1.45833333333333,0,-48.6,0,55.5666666666667,"Hip.","00","SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
32.8583333333333,9.78333333333333,5.01666666666667,0.258333333333333,4.575,4.25,5.58333333333333,14.6666666666667,-9.80833333333333,0.75,0.00833333333333333,-1.34166666666667,0,-51.3333333333333,0,58.45,"Hip.","00","SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.375,15.715,7.45,2.845,0,6.575,5.15,19.735,-8.6,3.085,0.02,-1.085,0,-76.16,0,91.34,"Hip.","00","SF","Térreo","HVAC","SE","Sala","Curitiba"
32.8833333333333,9.93333333333333,4.65,0.308333333333333,3.06666666666667,5.38333333333333,3.94166666666667,12.7083333333333,-10.0833333333333,0.733333333333333,0,-1.46666666666667,0,-48.7666666666667,0,55.7333333333333,"Hip.","00","SF","Térreo","HVAC","SO","Dorm. 1","Curitiba"
32.8583333333333,9.78333333333333,5.025,0.258333333333333,5.61666666666667,4.25,4.55,14.675,-9.80833333333333,0.758333333333333,0.00833333333333333,-1.34166666666667,0,-51.3416666666667,0,58.4583333333333,"Hip.","00","SF","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.375,15.73,7.47,2.855,5.22,6.59,0,19.795,-8.595,3.09,0.02,-1.085,0,-76.275,0,91.455,"Hip.","00","SF","Térreo","HVAC","SO","Sala","Curitiba"
42.7,5,9.97777777777778,4.85555555555556,7.64444444444444,2.31111111111111,3.83333333333333,18.6333333333333,-9.48888888888889,0.988888888888889,0,-1.97777777777778,0,-63.4222222222222,0,72.7666666666667,"Hip.","00","SF","Térreo","HVAC","O","Dorm. N","Curitiba"
42.8,9.18888888888889,3.48888888888889,-0.5,4.25555555555556,3.52222222222222,2.05555555555556,9.33333333333333,-10.2555555555556,1.12222222222222,0,-1.67777777777778,0,-52.9666666666667,0,61.7333333333333,"Hip.","00","SF","Térreo","HVAC","O","Dorm. S","Curitiba"
50.82,20.5,15.92,8.28666666666667,15.9,8.74666666666667,11.98,44.9133333333333,-6.45333333333333,7.06666666666667,0.0333333333333333,-1.20666666666667,0,-133.606666666667,0,154.533333333333,"Hip.","00","SF","Térreo","HVAC","O","Sala","Curitiba"
42.5444444444444,26.4222222222222,17.6777777777778,13.4666666666667,18.2555555555556,12.7,17.9444444444444,62.3777777777778,-0.566666666666667,3.44444444444444,0.0888888888888889,-0.444444444444444,0,-147.211111111111,0,159.622222222222,"Hip.","00","SF","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
42.5888888888889,30.2444444444444,10.2555555555556,9.25555555555555,15.4777777777778,11.6666666666667,13.9444444444444,50.3555555555556,-1.31111111111111,3.52222222222222,0.0888888888888889,-0.811111111111111,0,-133.988888888889,0,147.266666666667,"Hip.","00","SF","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
50.72,32.0266666666667,21.0533333333333,10.5066666666667,17.18,11.1,19.98,58.76,0.766666666666667,9.36666666666667,0.0933333333333333,-0.346666666666667,0,-174.68,0,198.906666666667,"Hip.","00","SF","Térreo","HVAC","L","Sala","Rio de Janeiro"
32.725,28.1,19.375,18.0833333333333,14.3166666666667,13.475,11.05,56.925,-0.291666666666667,2.98333333333333,0.0833333333333333,-0.366666666666667,0,-136.266666666667,0,145.925,"Hip.","00","SF","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.725,28.15,19.0916666666667,13.5166666666667,16.1333333333333,9.19166666666667,19.225,58.075,-0.225,2.875,0.0916666666666667,-0.341666666666667,0,-137.216666666667,0,146.966666666667,"Hip.","00","SF","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.24,35.115,24.445,16.57,0,13.735,13.755,57.625,1.83,8.435,0.09,-0.355,0,-168.905,0,187.315,"Hip.","00","SF","Térreo","HVAC","NE","Sala","Rio de Janeiro"
32.725,28.1333333333333,19.3583333333333,18.0833333333333,11.025,13.475,14.2416666666667,56.825,-0.283333333333333,3,0.0833333333333333,-0.366666666666667,0,-136.216666666667,0,145.875,"Hip.","00","SF","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.725,28.1416666666667,19.0916666666667,13.5166666666667,19.25,9.19166666666667,16.1416666666667,58.1,-0.225,2.85833333333333,0.0916666666666667,-0.341666666666667,0,-137.216666666667,0,146.966666666667,"Hip.","00","SF","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.24,35.135,24.455,16.585,13.94,13.745,0,57.71,1.84,8.415,0.09,-0.355,0,-169.005,0,187.415,"Hip.","00","SF","Térreo","HVAC","NO","Sala","Rio de Janeiro"
32.7666666666667,32.1666666666667,11.075,9.80833333333333,11.1666666666667,15.55,8.85833333333333,45.3916666666667,-0.941666666666667,2.375,0.0916666666666667,-0.541666666666667,0,-121.258333333333,0,131.941666666667,"Hip.","00","SF","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.7666666666667,32.3333333333333,10.9,6.61666666666667,12.6416666666667,11.6166666666667,14.8166666666667,45.6916666666667,-0.883333333333333,2.4,0.108333333333333,-0.508333333333333,0,-121.716666666667,0,132.475,"Hip.","00","SF","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.31,33.755,13.715,8.905,0,12.35,9.475,40.295,-0.18,5.815,0.39,-0.315,0,-134.01,0,154.09,"Hip.","00","SF","Térreo","HVAC","SE","Sala","Rio de Janeiro"
32.7666666666667,32.2166666666667,11.0666666666667,9.81666666666667,8.84166666666667,15.5583333333333,11.1333333333333,45.35,-0.941666666666667,2.375,0.0916666666666667,-0.55,0,-121.275,0,131.958333333333,"Hip.","00","SF","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.7666666666667,32.3333333333333,10.8916666666667,6.61666666666667,14.8,11.6166666666667,12.6583333333333,45.6916666666667,-0.883333333333333,2.4,0.108333333333333,-0.508333333333333,0,-121.716666666667,0,132.475,"Hip.","00","SF","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.31,33.785,13.725,8.92,9.54,12.365,0,40.345,-0.175,5.82,0.39,-0.315,0,-134.115,0,154.2,"Hip.","00","SF","Térreo","HVAC","SO","Sala","Rio de Janeiro"
