"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
426.7,139.1,88.2,86.5,-2.8,36.2,123.4,243.3,-35.3,18.6,0.3,-886.1,3.2,0.2,5.1,94.7,30.5,27.3,"Hip.","01","C10","Térreo","AFN","L","Dorm. N","Curitiba"
428.6,176.8,36.6,-58.1,14.8,97.4,66.1,120.2,-44.4,18.5,0.1,-750.2,2.9,0.1,7.8,92.1,29.4,26.5,"Hip.","01","C10","Térreo","AFN","L","Dorm. S","Curitiba"
765.9,125.1,104.8,12.1,-51.9,50.9,116.3,127.4,-83,20.7,0,-1043.6,2.7,16.4,0.6,83,30.3,26.9,"Hip.","01","C10","Térreo","AFN","L","Sala","Curitiba"
436.6,189.9,162.9,184,126.2,57.9,129.9,497.9,-44.7,28.9,0.1,-1278.1,3.3,0.2,0.9,98.9,30.2,26.8,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 1","Curitiba"
436.9,192.3,178.5,149.5,193.8,42.9,204.1,590.3,-42.1,29.9,0.2,-1392.2,3.6,0.1,0.3,99.5,29.7,26.6,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 2","Curitiba"
789.1,134,263.8,178.2,0,39,105,428.1,-96.6,43,0.2,-1550.1,3,17.6,0,82.4,30.5,26.6,"Hip.","01","C10","Térreo","AFN","NE","Sala","Curitiba"
436.3,188.6,165.1,186,130.2,58,136.7,510.9,-44.8,30.1,0.1,-1292,3.3,0.2,1,98.8,30.2,26.8,"Hip.","01","C10","Térreo","AFN","NO","Dorm. 1","Curitiba"
436.9,192.3,178.4,149.5,205.2,42.9,192.5,590.1,-42.1,29.8,0.2,-1392.1,3.6,0.1,0.4,99.5,29.7,26.6,"Hip.","01","C10","Térreo","AFN","NO","Dorm. 2","Curitiba"
789.1,133.7,264,178.3,104.9,39,0,428,-96.7,42.7,0.2,-1549.8,3,17.6,0,82.4,30.5,26.6,"Hip.","01","C10","Térreo","AFN","NO","Sala","Curitiba"
439.8,259.2,68.1,-60.8,91.9,115.5,85,231.6,-53.1,18.1,0.4,-973.6,2.8,0,4.8,95.2,28.2,25.4,"Hip.","01","C10","Térreo","AFN","SE","Dorm. 1","Curitiba"
440.2,255.3,79.6,-43.2,124.5,95,126.6,302.8,-51.7,19.1,0.5,-1055.9,3.1,0,2.1,97.9,27.7,25.2,"Hip.","01","C10","Térreo","AFN","SE","Dorm. 2","Curitiba"
808.9,243.7,72.7,-123.7,0,87.4,42.3,50.2,-113.3,17.1,0.4,-1066.7,2.4,6.1,0.7,93.2,29.1,25.5,"Hip.","01","C10","Térreo","AFN","SE","Sala","Curitiba"
439.5,257.3,70.9,-60.4,85.4,117.8,103.6,246.4,-53.2,18.2,0.4,-988.6,2.9,0,4.6,95.4,28.2,25.4,"Hip.","01","C10","Térreo","AFN","SO","Dorm. 1","Curitiba"
440.2,255.2,79.7,-43.2,126.5,95,124.8,303.1,-51.8,19.1,0.5,-1056.2,3.1,0,2.1,97.9,27.7,25.2,"Hip.","01","C10","Térreo","AFN","SO","Dorm. 2","Curitiba"
808.8,242.9,73.5,-123.6,42.5,87.8,0,51.7,-113.4,17.2,0.4,-1068.3,2.4,6.1,0.7,93.2,29.1,25.5,"Hip.","01","C10","Térreo","AFN","SO","Sala","Curitiba"
424.7,131.2,97.8,105,125.4,33.9,48.8,313.1,-36.3,22,0.4,-960.8,3.3,0.7,4.7,94.6,32,27.8,"Hip.","01","C10","Térreo","AFN","O","Dorm. N","Curitiba"
426.8,168,43.1,-58.3,64.9,116.2,73.8,196.6,-45.8,21.9,0.1,-827.1,3,0.4,7,92.6,31.4,27,"Hip.","01","C10","Térreo","AFN","O","Dorm. S","Curitiba"
753.2,117.2,160.3,21.2,162,58.3,46.2,287.7,-76.6,28.8,0.3,-1249.9,2.9,26,0.6,73.5,32.3,27,"Hip.","01","C10","Térreo","AFN","O","Sala","Curitiba"
320.5,148.3,104,103.3,59,53.3,138.6,354.1,-30.8,22.2,0,-920.9,3.9,64.9,0,35.1,36.3,33.6,"Hip.","01","C10","Térreo","AFN","L","Dorm. N","Rio de Janeiro"
326.6,194.2,49.3,-33.5,88,118,74.9,247.4,-36.5,22.9,0,-820.6,3.7,56.5,0,43.5,36.7,32.8,"Hip.","01","C10","Térreo","AFN","L","Dorm. S","Rio de Janeiro"
605.5,135.6,161,29.2,43,73.6,174.9,320.7,-65.4,31.4,0,-1170.3,3.1,85.9,0,14.1,37,33.2,"Hip.","01","C10","Térreo","AFN","L","Sala","Rio de Janeiro"
327.9,211.6,181,204.3,146.2,84,137.4,572,-37.2,32.1,0,-1291.8,3.9,71.7,0,28.3,36.3,33.1,"Hip.","01","C10","Térreo","AFN","NE","Dorm. 1","Rio de Janeiro"
