"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.19999999999999,20.5,4.3,9.10000000000001,7.5,5.90000000000001,10.3,32.9,-0.399999999999999,3.5,0,-59.7,0.2,0.3,-0.4,0.200000000000003,-0.0999999999999943,0,"Hip.","02","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.700000000000045,-0.800000000000011,11.6,3.1,4,6,5.5,18.6,-0.400000000000006,3,0,-32.8000000000001,0,0.0999999999999999,-1.4,1.39999999999999,-0.0999999999999943,0,"Hip.","02","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-3.5,36,13.2,5.09999999999999,7.7,5.3,17.7,35.8,-7.10000000000001,5.3,0,-76.8,0.0999999999999996,2.6,0,-2.6,0.100000000000001,0.199999999999999,"Hip.","02","SF","Intermediário","AFN","L","Sala","Curitiba"
-1.5,39,9.90000000000001,23.7,12.4,11,12.6,59.7,-1.59999999999999,4.6,0,-107.3,0.1,0.6,-0.2,-0.400000000000006,0,0.0999999999999979,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-1.5,37.6,14,18.6,19.1,7.90000000000001,19.2,64.9,-1.40000000000001,4.8,-0.1,-113.9,0.1,0.5,0,-0.600000000000009,0.100000000000001,0.199999999999999,"Hip.","02","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-4.19999999999993,90.6999999999999,10.2,19.3,0,7.80000000000001,9.40000000000001,47.5999999999999,-12.9,5.8,0,-136.5,0.1,2.6,0,-2.6,0.699999999999996,0.399999999999999,"Hip.","02","SF","Intermediário","AFN","NE","Sala","Curitiba"
-1.39999999999998,39.1,10,23.7,12.6,10.9,12.4,59.7,-1.59999999999999,4.7,-0.1,-107.1,0.1,0.6,-0.2,-0.400000000000006,0.100000000000001,0.100000000000001,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-1.5,37.4,13.9,18.6,19.3,7.90000000000001,18.9,64.6,-1.40000000000001,4.8,-0.1,-113.8,0.1,0.6,0,-0.600000000000009,0.100000000000001,0.0999999999999979,"Hip.","02","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-4.19999999999993,90.6,10.2,19.3,9.5,7.90000000000001,0,47.5,-12.9,5.8,0,-136.6,0.1,2.7,0,-2.7,0.699999999999996,0.399999999999999,"Hip.","02","SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.800000000000011,3.40000000000001,16.3,5.90000000000001,6.8,16.9,7.10000000000001,36.7,-1,2.7,0,-52.4000000000001,0,0,-1.2,1.10000000000001,-0.100000000000001,0.100000000000001,"Hip.","02","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.700000000000045,3.29999999999998,16.2,3.9,10.1,12.8,9.90000000000001,36.8,-1,2.7,0,-52.9000000000001,0.1,0,-0.8,0.800000000000011,-0.199999999999999,0.0999999999999979,"Hip.","02","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-3.20000000000005,15.5,29.7,6.5,0,17.5,7.7,41.1,-7.40000000000001,6.4,-0.1,-87.0999999999999,0,2,0,-2,0.100000000000001,0.199999999999999,"Hip.","02","SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.699999999999989,2.80000000000001,16.2,5.7,6.89999999999999,16.7,6.69999999999999,36,-1,2.7,0,-50.8,0,0,-1.2,1.2,-0.100000000000001,0.100000000000001,"Hip.","02","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.700000000000045,3.29999999999998,16.2,4,9.90000000000001,12.8,10.1,36.8,-1,2.7,0,-53.3,0.1,0,-0.7,0.700000000000003,-0.199999999999999,0.0999999999999979,"Hip.","02","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-3.10000000000002,15.1,29.5,6.3,7.59999999999999,17.3,0,40.6,-7.40000000000001,6.3,-0.1,-86.1000000000001,0,1.9,0,-1.90000000000001,0.100000000000001,0.199999999999999,"Hip.","02","SF","Intermediário","AFN","SO","Sala","Curitiba"
-1.19999999999999,19.9,3.89999999999999,9.5,10.7,6.09999999999999,7.80000000000001,34.1,-0.5,3.7,0,-60.5,0.1,0.399999999999999,-0.5,0.100000000000009,0,0,"Hip.","02","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.700000000000045,-1.5,11.7,3,5.5,6.09999999999999,3.8,18.4,-0.5,3.3,0,-31.9,0.1,0,-1.3,1.2,0,0.0999999999999979,"Hip.","02","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-3.69999999999993,61.8,3.09999999999999,3.8,15.4,4,5.70000000000002,29,-8.69999999999999,4,-0.1,-83.5,0,2.1,0,-2.1,0,0.300000000000001,"Hip.","02","SF","Intermediário","AFN","O","Sala","Curitiba"
-3.60000000000002,25.5,3.5,8.7,7.2,5.7,10.1,31.8,-1.3,3.2,0,-62,0.0999999999999996,2.90000000000001,0,-2.9,0,0,"Hip.","02","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-1.80000000000001,-2.59999999999999,10.3,2.59999999999999,3.40000000000001,5.40000000000001,4.5,15.8,-0.600000000000001,3.1,0,-29.4000000000001,0,1.3,0,-1.3,0.100000000000001,0.100000000000001,"Hip.","02","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
