"";"afn_inf_sens";"int_conv_he";"conv_hge_walls";"conv_hge_floor";"conv_hge_roof";"conv_hge_fens";"afn_air_change";"temp_95";"uncomf_cold";"uncomf_hot";"comf";"hvac_total_ce"
"1";-133,8;26,4;12,2;12,2;2,5;-4,9;2,6;25,3;0;0;21,8;0
"2";-113,9;32,7;31,4;17,5;7,1;-3;3,3;28,5;0;1,9;41,5;4,8
"3";-102,9;35,6;36,1;20,8;8,7;-2,1;3,6;30,6;0;19,6;79;36,9
"4";-103,9;35,5;37,4;22,4;9,7;-2,3;3,6;30,7;1,7;28,7;69,7;55,6
"5";-93;36,6;44,2;27,2;12,9;-1,6;3,9;33,2;1,8;58,5;91,1;105,7
"6";-77,2;47,6;57,1;35,6;17,7;-0,2;4,3;36,8;15,6;78,2;100;165
"7";-122,9;29,7;3,6;7,8;4,1;-5,1;2,4;25,5;0;5,9;4;6,6
"8";-94,1;35,4;13,8;12;6,2;-3,3;2,9;28,1;0;35,5;16,8;61,8
"9";-83,4;38,4;20,7;16,4;9;-2,4;3;30,2;0;56,8;43,1;116,6
"10";-84,5;38,7;20,8;18,6;9,5;-2,4;3;30,3;0,4;57,1;42,5;119,8
"11";-72;40,2;27,7;25,2;12,4;-1,7;3,2;32,4;0,2;83,2;62,9;176,3
"12";-55,2;51,2;43,5;37,7;18,3;0,1;3,6;36,4;5,4;96;93,8;272,7
"13";-139,7;26,3;11,3;12;2,4;-4,9;2,5;25,2;0;0;19,3;0
"14";-115,8;32,6;29;16,9;6,8;-2,9;3,3;28,5;0;2,3;43,5;5,9
"15";-103,2;35,6;34,1;20,2;8,2;-2;3,6;30,9;0,1;19,2;79,5;34,8
"16";-103,6;35,5;37,1;22,3;9,6;-2,2;3,6;30,8;1,8;28,8;69,4;55,9
"17";-89,1;36,6;45,8;28;13,2;-1,5;3,9;33,3;2;56,5;90,7;100,5
"18";-73,2;47,6;62,1;36,5;18,1;-0,3;4,3;37,3;16;80,7;100;166,9
"19";-128,5;29,6;2,5;6,7;3,6;-5,9;2,3;25,5;0;6,1;3,9;6,9
"20";-99,4;35,1;15,3;11,7;6,2;-4,3;2,8;28,3;0;37,5;17,6;63,1
"21";-87,2;38,4;23,3;16,4;9,3;-3,6;3,1;30,6;0;57,6;42,1;119,5
"22";-86,2;38,6;23,7;19;9,7;-3,6;3,1;30,5;0,5;57,7;41,8;120,2
"23";-70,3;40,3;31,2;26,6;13,2;-2,8;3,3;32,5;0,3;82,4;61,2;160,5
"24";-52,3;51,1;49,2;39,3;19,1;-1,1;3,7;36,9;6,3;96,1;93,2;269
"25";-143,3;26,1;12,6;11,9;2,5;-4,7;2,6;25,3;0;0;19,3;0
"26";-110,2;32,7;32,3;17,7;7,4;-2,8;3,3;28,2;0;2,5;40,7;6,6
"27";-103;35,5;36,9;20,7;9,5;-2,1;3,7;30,8;0,1;20,9;77,6;39,5
"28";-104,4;35,5;38;22,3;9,6;-2,2;3,6;30,7;1,7;28,8;69,5;57
"29";-94;36,6;43,3;26,8;11,1;-1,5;3,9;33,2;2;59,3;90,3;110,6
