"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95"
"1",26.4,12.2,2.5,12.2,-7.2,1.6,-133.8,2.6,0,0,21.8,27.5,25.3
"2",32.7,17.5,7.1,31.4,-5.4,2.1,-113.9,3.3,1.9,0,41.5,32.1,28.5
"3",35.6,20.8,8.6,36.1,-4.6,2.6,-102.9,3.6,19.6,0,79,34.8,30.6
"4",35.5,22.4,9.6,37.4,-4.8,2.5,-103.9,3.6,28.7,1.7,69.7,34.7,30.7
"5",36.6,27.2,12.9,44.2,-4.1,2.9,-93,3.9,58.5,1.8,91.1,37,33.2
"6",47.6,35.6,17.7,57.1,-2.7,4,-77.2,4.3,78.2,15.6,100,42.1,36.8
"7",29.7,7.8,4.1,3.6,-8.2,1.6,-122.9,2.4,5.9,0,4,28.8,25.5
"8",35.4,12,6.2,13.8,-6.4,2.6,-94.1,2.9,35.6,0,16.8,32.4,28.1
"9",38.4,16.4,9,20.7,-5.8,3.3,-83.4,3,56.8,0,43.2,35,30.2
"10",38.7,18.6,9.5,20.8,-5.8,3.4,-84.5,3,57.1,0.4,42.5,35,30.3
"11",40.2,25.2,12.4,27.7,-5.2,4.1,-72,3.2,83.2,0.2,62.9,37.4,32.4
"12",51.2,37.7,18.3,43.5,-3.6,5.9,-55.2,3.6,96,5.4,93.8,42.7,36.4
"13",26.3,12,2.4,11.3,-7.3,1.5,-139.7,2.5,0,0,19.3,27.7,25.2
"14",32.6,16.9,6.8,29,-5.3,2,-115.8,3.3,2.3,0,43.5,32.3,28.5
"15",35.6,20.2,8.2,34.1,-4.7,2.7,-103.2,3.6,19.2,0.1,79.5,35,30.9
"16",35.5,22.3,9.6,37.1,-4.8,2.6,-103.6,3.6,28.8,1.8,69.4,35,30.8
"17",36.6,28,13.2,45.8,-4.1,3,-89.1,3.9,56.5,2,90.7,37.2,33.3
"18",47.6,36.5,18.1,62.1,-2.9,4.2,-73.2,4.3,80.7,16,100,42.2,37.3
"19",29.6,6.7,3.6,2.5,-8.4,0.9,-128.5,2.3,6.1,0,3.9,29.1,25.5
"20",35.1,11.7,6.2,15.3,-6.5,1.5,-99.4,2.8,37.5,0,17.6,32.7,28.3
"21",38.3,16.5,9.3,23.3,-5.8,2.3,-87.2,3.1,57.6,0,42.2,35.5,30.6
"22",38.6,19,9.7,23.7,-5.9,2.3,-86.2,3.1,57.7,0.5,41.8,35.5,30.5
