"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"430.2","-869.5","273","123.2","129.1","184.5","110.5","144","189.6","378.6","10.2","32.2","8.1","30.4","8.3","0","35.6","64.4","00","Linear","SF","3","Intermediário","Canto","NE","Curitiba"
"428.2","-879.1","266.1","121.5","137.3","157.9","105.8","186.7","447","105.8","10.9","33.7","8.6","30.4","8.7","0","33.4","66.6","00","Linear","SF","3","Intermediário","Canto","NE","Curitiba"
"840","-3000.1","577.6","209.6","275.4","239.4","231.8","247.1","859.5","134.2","12.4","127.1","14.7","28.9","8.5","5.3","15.3","79.4","00","Linear","SF","3","Intermediário","Canto","NE","Curitiba"
"429.3","-1091.9","275.4","124.7","130.6","150.3","110.4","187.2","196.9","381.7","8.5","33.8","9.5","30.9","8.2","0","33.8","66.2","00","Linear","SF","3","Intermediário","Canto","NW","Curitiba"
"427.4","-1092.6","263.9","121.9","138.6","191.4","104.8","151.8","447.3","139.3","9.2","35.1","10.2","30.5","8.5","0","31.7","68.3","00","Linear","SF","3","Intermediário","Canto","NW","Curitiba"
"827.3","-2845.4","585.2","218.7","281.7","248.1","232.3","236.7","863.5","135.4","8.1","122.3","10.3","30","8.3","7.9","11.7","80.4","00","Linear","SF","3","Intermediário","Canto","NW","Curitiba"
"431.4","-679.1","176.9","71.3","63.5","124.7","93.6","89.9","120.4","251.4","-3","23","6.3","29.6","8","0","43","57","00","Linear","SF","3","Intermediário","Canto","SE","Curitiba"
"429.5","-679","164.5","65.4","57.8","91.2","88","114.1","273","78.2","-2.5","23.9","6.7","29.6","8.2","0","41.6","58.4","00","Linear","SF","3","Intermediário","Canto","SE","Curitiba"
"851.2","-2504.5","496","177.6","188.7","193.1","252.6","196.3","715.7","115","8.8","101.6","12.8","29.2","8.1","2.9","21.2","76","00","Linear","SF","3","Intermediário","Canto","SE","Curitiba"
"430.7","-895.2","184.2","73.1","65.8","94.1","99.2","134.9","126.4","267.6","-3.6","25.6","8.7","30.6","7.8","0","41.6","58.4","00","Linear","SF","3","Intermediário","Canto","SW","Curitiba"
"428.9","-885","166.6","65.8","58.9","118.2","91.8","92.9","282.4","79.4","-3.2","26.6","9.3","29.8","8.1","0","40.3","59.6","00","Linear","SF","3","Intermediário","Canto","SW","Curitiba"
"840.5","-2340.3","521.8","195.1","198.4","203.8","267.3","203.9","750.5","122.9","9.1","102.3","9.5","30.1","7.9","5.4","16.4","78.2","00","Linear","SF","3","Intermediário","Canto","SW","Curitiba"
"432.3","-1253.3","223.4","97.4","114.2","108.1","131.7","102.7","369.2","87.5","-3.4","28","5.6","30.1","9.1","0","24.4","75.6","00","Linear","SF","3","Intermediário","Meio","NE","Curitiba"
"424.3","-1295","250.8","122.3","153.5","131.3","145.7","125.7","410.5","145.7","-0.9","34.8","7.4","31.1","9","0.1","22","77.9","00","Linear","SF","3","Intermediário","Meio","NE","Curitiba"
"798.4","-2471","530.5","236.4","215","212.1","212.8","180.9","686.1","134.7","-1.3","97.5","6","30.3","8.9","11.1","7.6","81.3","00","Linear","SF","3","Intermediário","Meio","NE","Curitiba"
"432.2","-1248.1","223.3","97.6","114.2","105.9","131.8","104","368.4","87.5","-3.4","28","5.6","30.1","9.1","0","24.3","75.7","00","Linear","SF","3","Intermediário","Meio","NW","Curitiba"
"424.2","-1290","250.6","122.3","153.9","129.3","145.6","127.7","410.9","145.6","-1","34.5","7.3","31.1","9","0.1","21.9","78","00","Linear","SF","3","Intermediário","Meio","NW","Curitiba"
"798.7","-2452.4","531.6","237.5","215.6","186.7","213.4","209.6","690.3","135","-1.4","97.6","5.9","30.3","8.9","10.9","7.6","81.4","00","Linear","SF","3","Intermediário","Meio","NW","Curitiba"
"435.1","-887.4","137.1","49.9","67.6","58.1","51.1","61.2","196.2","41.8","-13.8","23.1","4.6","28.3","8.5","0","35.7","64.3","00","Linear","SF","3","Intermediário","Meio","SE","Curitiba"
"427.1","-917.6","142.9","65","75.9","74.4","89.8","72.3","236.4","75.9","-9.2","20.7","6.1","29.2","8.3","0","33.6","66.4","00","Linear","SF","3","Intermediário","Meio","SE","Curitiba"
"824.8","-1759.9","351.3","131.9","120.2","127","139.2","109.1","423.8","71.7","-17.7","64.2","4.9","29","8.3","3.1","16.9","80","00","Linear","SF","3","Intermediário","Meio","SE","Curitiba"
"435.1","-898.2","137.1","50","67.4","61.3","51.4","57.8","196.2","41.7","-14","23.7","4.6","28.3","8.5","0","35.4","64.6","00","Linear","SF","3","Intermediário","Meio","SW","Curitiba"
"427.1","-917.7","143","65.1","76","72.8","90","74.2","237","76","-9.2","20.8","6.1","29.2","8.3","0","33.6","66.4","00","Linear","SF","3","Intermediário","Meio","SW","Curitiba"
"824.8","-1759.2","352","132.5","120.7","109.5","139.2","131.1","428.6","71.9","-17.8","63.7","4.9","28.9","8.3","3","16.8","80.2","00","Linear","SF","3","Intermediário","Meio","SW","Curitiba"
"339","-998.9","273.8","129.7","141.7","208.9","121.8","160.9","210.7","422.6","11.4","35.4","9.3","35.2","17.2","49.3","0.1","50.6","00","Linear","SF","3","Intermediário","Canto","NE","Rio de Janeiro"
"336.2","-997.5","266.6","126.5","148.4","169.1","115.5","205.5","484.7","115.5","12.1","36.9","10","34.7","17.5","51.3","0.1","48.6","00","Linear","SF","3","Intermediário","Canto","NE","Rio de Janeiro"
"679","-2729.7","543.9","254.5","297.2","258.5","246","263.6","915.7","149.6","13.2","130","12.7","34.9","17.6","71.3","0","28.7","00","Linear","SF","3","Intermediário","Canto","NE","Rio de Janeiro"
"337.8","-1192.2","273.6","129.5","141.4","161.6","121.5","204.5","211.6","417.3","11.4","36.5","11.3","35.5","17.7","50.6","0.1","49.3","00","Linear","SF","3","Intermediário","Canto","NW","Rio de Janeiro"
"334.8","-1197.7","266.9","127.1","150.4","208.9","116.3","169.5","489.5","155.6","12.1","38.1","12","34.7","17.9","52.8","0","47.2","00","Linear","SF","3","Intermediário","Canto","NW","Rio de Janeiro"
"670.8","-2498","537.9","250.4","286.5","255.4","238.6","248.5","886.6","142.4","8.1","123.5","9.7","35.2","17","74.1","0","25.9","00","Linear","SF","3","Intermediário","Canto","NW","Rio de Janeiro"
"344.6","-805","163.7","76.8","67.4","141","101.8","95","127.4","277.9","-3.5","25.4","15.8","36.4","17.5","41.1","0.1","58.7","00","Linear","SF","3","Intermediário","Canto","SE","Rio de Janeiro"
