"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"430.5","-872.5","143.3","106","83.5","165.4","126.3","123.9","161.7","337.3","10.6","26.5","6.2","28.3","9.7","0","33.2","66.8","00","Linear","TV","1","Térreo","Canto","NE","Curitiba"
"428.4","-894.9","134.9","105.2","110.9","131.9","117.2","157.8","367.1","117.2","11.4","28.1","6.6","27.8","10.6","0","28.7","71.3","00","Linear","TV","1","Térreo","Canto","NE","Curitiba"
"840.9","-2719.6","418.3","187.2","240.7","225.5","242","236.6","813.6","131.3","11.4","109.8","9.5","26.9","10.7","0.9","12.4","86.7","00","Linear","TV","1","Térreo","Canto","NE","Curitiba"
"429.6","-1084.6","138.2","112.1","90.6","130.9","126.3","205.4","171.2","382.1","10.4","28.3","7.5","29","9.7","0","31.7","68.3","00","Linear","TV","1","Térreo","Canto","NW","Curitiba"
"427.9","-1073.4","130.9","107.1","114.8","156.6","115.9","129.6","373.2","143.8","10.9","29.1","7.9","27.8","10.5","0","28","72","00","Linear","TV","1","Térreo","Canto","NW","Curitiba"
"830.7","-2468.8","364.6","192.3","239.4","223.4","227","227.6","780.6","136.8","8.6","103.2","7","27.5","10.6","1.7","10.6","87.7","00","Linear","TV","1","Térreo","Canto","NW","Curitiba"
"431.3","-787.9","155.8","60","51","140.4","85.8","84.3","113.9","247.6","-5.1","20.9","5.6","27.4","9.4","0","37.7","62.3","00","Linear","TV","1","Térreo","Canto","SE","Curitiba"
"429.3","-796.1","148.7","52.1","43.8","83.9","83.3","105.5","255.3","61.1","-4.6","21.6","5.9","26.8","10.3","0","34.9","65.1","00","Linear","TV","1","Térreo","Canto","SE","Curitiba"
"849.5","-2403.7","462","152.4","176.5","196","263.5","185.3","711.1","110.2","3.4","93","8.6","26.5","10.5","0.1","18.5","81.4","00","Linear","TV","1","Térreo","Canto","SE","Curitiba"
"430.4","-1003.9","155.9","67","55.4","92.3","106.3","189.4","125.7","317.6","-4.4","23.8","7.3","28.8","9.5","0","35.7","64.3","00","Linear","TV","1","Térreo","Canto","SW","Curitiba"
"428.9","-974.7","148.9","54.9","45.3","110.3","90.5","87.2","272.5","60.9","-4.4","23.9","7.7","26.9","10.2","0","33.9","66.1","00","Linear","TV","1","Térreo","Canto","SW","Curitiba"
