"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"430.4","-883.2","140.7","92.9","61.2","178.2","159.4","127","163.2","362.5","9.4","26","6.3","28.3","9.7","0","33.5","66.5","01","Linear","C10","1","Térreo","Canto","NE","Curitiba"
"428.2","-913","132.6","93.1","105.2","133.2","148.2","158.8","359.1","148.2","10.4","27.9","6.6","27.7","10.9","0","27.7","72.3","01","Linear","C10","1","Térreo","Canto","NE","Curitiba"
"841.4","-2783","414.6","202.7","237.7","240.1","277.6","250.3","853.9","151.6","10.5","111.6","9.5","26.8","11.1","0.7","12.2","87.1","01","Linear","C10","1","Térreo","Canto","NE","Curitiba"
"429.3","-1106.5","135.6","99.1","69.2","133","157.1","249","172","436.2","9.3","28","7.5","29.3","9.8","0","31.8","68.2","01","Linear","C10","1","Térreo","Canto","NW","Curitiba"
"427.8","-1090.3","129.2","92.8","110.9","152.7","146.4","132.4","368.9","173.6","9.9","28.8","8","27.6","10.8","0","27.1","72.9","01","Linear","C10","1","Térreo","Canto","NW","Curitiba"
"831.2","-2519.1","360.3","194.8","233.9","228","253","250.6","802.6","163","7.5","104.2","7","27.4","11.1","1.4","10.5","88.1","01","Linear","C10","1","Térreo","Canto","NW","Curitiba"
"431.1","-805.2","152.3","67.8","44.7","170.9","86.4","84.1","114.5","271.6","-5.9","21.2","5.6","27.6","9.5","0","37.7","62.3","01","Linear","C10","1","Térreo","Canto","SE","Curitiba"
"429.2","-816.7","146.3","59","40.1","85.7","86.8","109.2","263.8","58.1","-5.2","22","5.9","26.7","10.6","0","34.5","65.5","01","Linear","C10","1","Térreo","Canto","SE","Curitiba"
"849.2","-2471.4","455.6","184.5","178.7","216.7","290","186.4","749.8","122","2.3","95.9","8.6","26.3","10.9","0.1","18","82","01","Linear","C10","1","Térreo","Canto","SE","Curitiba"
"430.1","-1040","151.5","76.3","47.4","91.6","115.1","250.2","126.3","378.1","-5.2","24.4","7.3","29.3","9.5","0","35.3","64.7","01","Linear","C10","1","Térreo","Canto","SW","Curitiba"
"428.8","-998.9","146.7","60.6","41.3","113.5","96.4","90.4","286.5","55.1","-5","24.2","7.7","26.7","10.5","0","33.5","66.5","01","Linear","C10","1","Térreo","Canto","SW","Curitiba"
"840.1","-2245.8","410","184.7","169.6","173.3","290.3","249.8","725.3","157.8","3.7","93.9","6.6","27.1","10.9","0.7","14.4","84.9","01","Linear","C10","1","Térreo","Canto","SW","Curitiba"
"436.1","-1075.6","135.9","69.4","-11.5","106.3","206.3","63.9","203.3","161.7","3.9","21.3","5.1","27","10.9","0","28.2","71.8","01","Linear","C10","1","Térreo","Meio","NE","Curitiba"
"428.1","-1109.6","114.1","88.1","113","107.2","203.8","94","314.1","203.8","5.9","27.4","6.8","28","10.8","0","25","75","01","Linear","C10","1","Térreo","Meio","NE","Curitiba"
"818.3","-2126.7","291.8","187.1","123","174.3","284.9","151.3","524.5","209.1","12.7","88.1","5.5","27.2","11.1","0.9","8.9","90.2","01","Linear","C10","1","Térreo","Meio","NE","Curitiba"
"436","-1074.4","135.2","69.2","-12","64","206.1","105.3","202.2","161.4","3.8","21.3","5.1","27","10.9","0","28.1","71.9","01","Linear","C10","1","Térreo","Meio","NW","Curitiba"
"428","-1109","113.5","88","113.2","94","203.3","107.7","314.9","203.3","5.8","27.1","6.8","28","10.8","0","24.9","75.1","01","Linear","C10","1","Térreo","Meio","NW","Curitiba"
"818.3","-2123.5","290.9","188.2","123","153","283.9","183","534.9","208","12.4","88.6","5.5","27.2","11.1","0.9","8.8","90.3","01","Linear","C10","1","Térreo","Meio","NW","Curitiba"
"437.3","-895.5","175.3","41.8","67.7","64.3","-25.6","64.8","132.6","38.5","-11.8","25.6","4.6","25.6","10.5","0","35.6","64.4","01","Linear","C10","1","Térreo","Meio","SE","Curitiba"
"429.4","-905.9","140","53.2","55","71.2","78.9","58.8","208.9","55","-6.6","18.6","6","26.1","10.4","0","34.1","65.9","01","Linear","C10","1","Térreo","Meio","SE","Curitiba"
"836.2","-1771.2","362","129.7","106.1","147.3","130.1","104.4","433.5","54.5","-12.5","69.1","4.9","25.9","10.8","0","17.6","82.4","01","Linear","C10","1","Térreo","Meio","SE","Curitiba"
"437.3","-900.5","174.5","41.5","67.2","64.4","-25.6","64","131.9","38","-12","25.7","4.6","25.6","10.5","0","35.5","64.5","01","Linear","C10","1","Térreo","Meio","SW","Curitiba"
"429.4","-907.6","139.6","53.2","54.8","58.9","79.1","71.5","209.5","54.8","-6.6","18.6","6","26.1","10.4","0","34","66","01","Linear","C10","1","Térreo","Meio","SW","Curitiba"
"836.2","-1776.2","361.1","131","105.3","104.4","129.7","160.9","446.8","53.5","-12.8","69.3","4.9","25.8","10.8","0","17.5","82.5","01","Linear","C10","1","Térreo","Meio","SW","Curitiba"
"336.9","-933","122.3","98.5","61.8","230.3","162.9","130.2","167.8","417.3","9.2","27.8","7.5","34.2","18.6","45.8","0","54.2","01","Linear","C10","1","Térreo","Canto","NE","Rio de Janeiro"
"331.8","-943.5","117.7","95.1","108.4","134.3","151.3","159.8","368","151.3","10.3","29.3","8","32.7","19.4","50.6","0","49.4","01","Linear","C10","1","Térreo","Canto","NE","Rio de Janeiro"
"675.4","-2307.8","323.6","209.5","225.2","243.3","254.8","228.9","790.2","161.9","8","104.5","8.5","32.6","19.8","70.7","0","29.3","01","Linear","C10","1","Térreo","Canto","NE","Rio de Janeiro"
"335.1","-1062.9","124.8","99.8","65.4","132.2","162.8","236","171.1","425.2","9.9","28.5","8.6","34.7","18.9","48","0","52","01","Linear","C10","1","Térreo","Canto","NW","Rio de Janeiro"
"331.3","-1056.3","118.2","96.1","111.2","162","152.9","135.4","373.8","187.6","10.6","29.9","9.1","32.7","19.7","51.4","0","48.6","01","Linear","C10","1","Térreo","Canto","NW","Rio de Janeiro"
"669","-2124.3","302","201.4","214.6","217.9","244.1","235.3","755.2","156.8","5.1","99.1","6.8","32.7","19.4","72.3","0","27.7","01","Linear","C10","1","Térreo","Canto","NW","Rio de Janeiro"
"339.7","-925.2","138.6","75.2","47.3","233.5","104","86.8","119.7","352","-6.2","23.4","11.4","34.7","18.8","41.9","0","58.1","01","Linear","C10","1","Térreo","Canto","SE","Rio de Janeiro"
"335.8","-830.3","134.3","61.2","40.3","85.7","91","113.7","271.2","59.5","-5.9","23.6","11.5","33.3","19.5","45.2","0","54.8","01","Linear","C10","1","Térreo","Canto","SE","Rio de Janeiro"
"692.2","-1902.8","373.1","190.8","159","231.6","278.7","169.2","693.5","145","1.8","91.1","7.8","32.9","19.5","61.4","0","38.6","01","Linear","C10","1","Térreo","Canto","SE","Rio de Janeiro"
"338.1","-1018.9","144.5","78","50.1","90.9","113.5","251.1","125.5","380.1","-4.9","24.9","12.1","35.2","18.7","43.8","0","56.2","01","Linear","C10","1","Térreo","Canto","SW","Rio de Janeiro"
"335.6","-876.7","137.7","63","42.7","117.1","94.7","88","280.4","62","-5.1","24.4","12.4","33.1","19.4","45.4","0","54.6","01","Linear","C10","1","Térreo","Canto","SW","Rio de Janeiro"
"688.7","-1862.3","373.6","195.4","161","171.6","287.2","239.5","707","152.4","2.5","91.8","7.3","33","18.9","63.3","0","36.7","01","Linear","C10","1","Térreo","Canto","SW","Rio de Janeiro"
