"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.3","-69.1","19.6","8.1","5.3","12.5","9.5","11.1","14.3","24.1","-0.2","2.3","4.1","28.1","11","0","44.7","55.3","01","linear","ref","3","corner","ne","dorm1","curitiba"
"57.9","-77.6","20.9","9.2","10.3","12.5","9.8","13.4","34.3","9.8","0","2.7","4.4","26.9","11.5","0","40.7","59.3","01","linear","ref","3","corner","ne","dorm2","curitiba"
"41.9","-125.8","19","8","9.4","9.2","10.2","10","34.2","4.6","0.1","4.4","11.4","27.1","11.1","1.2","29.5","69.3","01","linear","ref","3","corner","ne","liv","curitiba"
"54.3","-99.9","18.8","7.5","5","10.9","9.2","9.7","14.3","20.5","-0.2","2.3","5.8","28.1","10.4","0","43.7","56.3","01","linear","ref","3","corner","nw","dorm1","curitiba"
"57.8","-112.5","21","9.3","10.8","14.1","9.6","12.4","35.3","11.6","-0.1","2.8","6.3","26.9","11.1","0","39","61","01","linear","ref","3","corner","nw","dorm2","curitiba"
"41.5","-102.9","16.8","6.8","8","8.3","8.6","7.2","28.9","3.2","-0.3","3.6","7.4","27","10.2","1","27.2","71.9","01","linear","ref","3","corner","nw","liv","curitiba"
"54.3","-54.1","13.8","5.9","3.1","12.9","7.8","7.5","10.1","21.2","-1","1.8","3.3","28.2","10.2","0","48.5","51.5","01","linear","ref","3","corner","se","dorm1","curitiba"
"58","-59.6","13.2","5.7","3.3","8.3","8.2","9.7","25.1","4.4","-1","2.1","3.5","26.9","11","0","45.1","54.9","01","linear","ref","3","corner","se","dorm2","curitiba"
"42.2","-117.5","17.6","7.4","7.7","8.7","12.3","7.9","32.1","4.5","0.1","3.9","11.3","27","11.1","0.7","33.3","66","01","linear","ref","3","corner","se","liv","curitiba"
"54.3","-88.1","13","5.3","2.9","7.3","7.4","10.2","10.1","17.7","-1.1","1.9","5.3","28.2","10.6","0","47.6","52.4","01","linear","ref","3","corner","sw","dorm1","curitiba"
