"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.6","-74.1","10.9","7.2","7.8","11.1","6.6","8.7","11.6","22.6","-0.4","2","4.4","26.8","11.4","0","44.2","55.8","01","linear","sf","1","corner","ne","dorm1","curitiba"
"58.3","-80.9","11.1","7.9","9.4","10.1","6.9","12.5","29.8","6.9","-0.3","2.3","4.7","26.6","11.7","0","42.9","57.1","01","linear","sf","1","corner","ne","dorm2","curitiba"
"41.7","-106.1","14.3","6.1","8.1","6.5","6.6","6.9","24.5","3.6","-0.2","3.6","8.5","25.8","11.7","0","21.7","78.3","01","linear","sf","1","corner","ne","liv","curitiba"
"54.6","-97.6","10.9","7.1","7.7","8.7","6.5","10.4","11.5","21.8","-0.3","2.1","5.8","26.8","11.3","0","44.6","55.4","01","linear","sf","1","corner","nw","dorm1","curitiba"
"58.2","-106.3","11.1","7.9","9.6","12.7","6.9","10.2","30.2","9.2","-0.3","2.4","6.2","26.5","11.6","0","42.8","57.2","01","linear","sf","1","corner","nw","dorm2","curitiba"
"41.4","-87.5","11.7","5.1","7.1","6","5.7","5.6","21.3","3","-0.5","3.1","6","26","10.6","0","21.2","78.8","01","linear","sf","1","corner","nw","liv","curitiba"
"54.6","-68.7","11.8","5.5","4.3","8.9","6.9","6.7","9","17.7","-1.4","1.7","4","25.7","11.3","0","45.7","54.3","01","linear","sf","1","corner","se","dorm1","curitiba"
"58.3","-74.7","12.1","5.8","4.3","7.6","7.5","9.5","23","5.8","-1.4","2","4.2","25.5","11.5","0","44.6","55.4","01","linear","sf","1","corner","se","dorm2","curitiba"
"41.9","-102.8","15.7","6.1","6.1","6.2","8.2","6.4","23.4","3.5","-0.3","3.4","8.3","25.4","11.6","0","25.3","74.7","01","linear","sf","1","corner","se","liv","curitiba"
"54.6","-93.3","11.9","5.5","4.2","6.7","6.7","8.3","9","16.9","-1.4","1.8","5.5","26.1","11.3","0","45.3","54.7","01","linear","sf","1","corner","sw","dorm1","curitiba"
"58.3","-101.4","12.1","5.8","4.4","9.7","7.6","7.6","23.4","6","-1.4","2.1","5.8","25.6","11.6","0","43.8","56.2","01","linear","sf","1","corner","sw","dorm2","curitiba"
"41.6","-82","12.9","5","5.2","5.4","7","5.1","20","2.7","-0.7","2.8","5.7","25.8","11.1","0","23.9","76.1","01","linear","sf","1","corner","sw","liv","curitiba"
"44.6","-86.1","8.7","5.1","6.3","5.7","7.2","6.3","20.7","4.8","-0.7","1.5","4.7","26.2","11.9","0","42.5","57.5","01","linear","sf","1","middle","ne","dorm1","curitiba"
"57.2","-111.6","9.9","7.4","10.4","8.6","9.6","8.6","27.6","9.6","-0.6","2.4","6.2","26.8","11.7","0","42","58","01","linear","sf","1","middle","ne","dorm2","curitiba"
"45.2","-88.5","10.5","6.5","6.8","6.3","6.1","5.4","20.8","3.9","-0.5","3.2","5","26.4","11.7","0.2","18.6","81.1","01","linear","sf","1","middle","ne","liv","curitiba"
"44.6","-85.9","8.6","5.1","6.3","6.2","7.2","5.7","20.6","4.7","-0.7","1.5","4.7","26.2","11.9","0","42.5","57.5","01","linear","sf","1","middle","nw","dorm1","curitiba"
"57.2","-111.3","9.8","7.4","10.4","8.5","9.6","8.7","27.6","9.6","-0.7","2.4","6.2","26.8","11.7","0","42","58","01","linear","sf","1","middle","nw","dorm2","curitiba"
"45.2","-88.2","10.5","6.5","6.8","5.3","6.1","6.4","20.8","3.9","-0.5","3.2","5","26.4","11.7","0.2","18.7","81.1","01","linear","sf","1","middle","nw","liv","curitiba"
"44.6","-78.7","10.9","3.7","4.8","4.3","3.6","5","14.8","2.8","-1.7","1.9","4.4","24.9","11.8","0","44.6","55.4","01","linear","sf","1","middle","se","dorm1","curitiba"
"57.2","-102.8","11.6","5.6","6.2","6.7","8.1","6.5","21.3","6.2","-1.5","1.9","5.8","25.3","11.5","0","43.9","56.1","01","linear","sf","1","middle","se","dorm2","curitiba"
"45.7","-81.4","12.6","5","4.5","5.1","5.7","4.3","16.9","2.6","-1.2","2.7","4.7","25.3","11.6","0","24.2","75.8","01","linear","sf","1","middle","se","liv","curitiba"
"44.6","-79.1","10.9","3.7","4.7","5","3.6","4.2","14.7","2.8","-1.7","1.9","4.4","24.9","11.8","0","44.5","55.5","01","linear","sf","1","middle","sw","dorm1","curitiba"
"57.2","-102.8","11.6","5.7","6.2","6.5","8.1","6.7","21.3","6.2","-1.5","1.9","5.8","25.2","11.5","0","43.9","56.1","01","linear","sf","1","middle","sw","dorm2","curitiba"
"45.7","-81.4","12.6","5","4.5","4.3","5.7","5.2","17","2.6","-1.2","2.7","4.7","25.2","11.6","0","24.2","75.8","01","linear","sf","1","middle","sw","liv","curitiba"
"46.5","-97.5","12.7","7.9","8.6","12.3","7.3","9.5","12.6","25","0.2","2.3","5.2","32.3","17.1","20.6","0.8","78.6","01","linear","sf","1","corner","ne","dorm1","rio_de_janeiro"
"49.5","-105.9","12.9","8.4","10.1","10.7","7.5","13.5","31.9","7.5","0.3","2.6","5.6","32.2","17.3","21.9","0.5","77.6","01","linear","sf","1","corner","ne","dorm2","rio_de_janeiro"
"34.8","-87.4","13.3","6.1","7.8","6.3","6.3","6.6","23.4","3.6","-0.1","3.4","5.7","31.4","17.2","47.4","0","52.6","01","linear","sf","1","corner","ne","liv","rio_de_janeiro"
"46.6","-96.8","13.1","7.9","8.6","9.5","7.4","11.6","12.6","24.5","0.3","2.3","5.5","32.4","17.1","20.2","0.8","79","01","linear","sf","1","corner","nw","dorm1","rio_de_janeiro"
"49.6","-105","13.3","8.7","10.3","13.8","7.7","11.1","32.6","10.2","0.4","2.6","5.9","32.1","17.3","21.5","0.5","78","01","linear","sf","1","corner","nw","dorm2","rio_de_janeiro"
"34.7","-87","13.8","6","7.7","6.5","6.2","6.2","23.2","3.4","-0.1","3.4","5.8","31.5","17.2","47.9","0","52.1","01","linear","sf","1","corner","nw","liv","rio_de_janeiro"
"46.6","-95.1","13.7","6.1","4.9","10","7.6","7.3","9.9","20","-1","2","5.7","31.6","16.9","19.9","1.1","79","01","linear","sf","1","corner","se","dorm1","rio_de_janeiro"
"49.6","-102.6","14","6.3","4.9","8.1","8.1","10.3","24.9","6.5","-1","2.3","6.1","31.4","17.1","21.1","0.8","78.2","01","linear","sf","1","corner","se","dorm2","rio_de_janeiro"
"35.1","-81.2","14.7","6.2","5.8","6","7.8","6","22.2","3.4","-0.2","3.1","5.2","31.2","17.1","42.5","0","57.5","01","linear","sf","1","corner","se","liv","rio_de_janeiro"
"46.7","-91.3","14.3","6.2","5","7.4","7.5","9.4","10","19.3","-0.9","2","5.7","32.2","16.9","19.5","1.1","79.4","01","linear","sf","1","corner","sw","dorm1","rio_de_janeiro"
"49.7","-98.4","14.5","6.5","5","10.5","8.2","8.3","25.3","6.8","-0.9","2.3","6","31.5","17.1","20.7","0.8","78.5","01","linear","sf","1","corner","sw","dorm2","rio_de_janeiro"
"35.1","-83.1","15.6","6.1","5.8","6","7.8","5.8","22.3","3.2","-0.3","3.2","5.6","31.6","17.1","43.1","0","56.9","01","linear","sf","1","corner","sw","liv","rio_de_janeiro"
"37.9","-86.4","11.1","6","7.7","6.3","8.4","7.3","24","5.6","-0.1","1.7","4.6","31.8","17.5","21.4","0.4","78.2","01","linear","sf","1","middle","ne","dorm1","rio_de_janeiro"
"48.6","-111.5","12.5","8.1","11.3","9.4","10.9","9.4","30","10.9","0.1","2.6","6.1","32.3","17.3","21.8","0.5","77.7","01","linear","sf","1","middle","ne","dorm2","rio_de_janeiro"
"37.9","-89.6","13","7.6","7.7","7.1","7","6","23.3","4.5","0.1","3.7","4.9","31.9","17.2","51","0","49","01","linear","sf","1","middle","ne","liv","rio_de_janeiro"
"37.9","-86.5","11.1","6","7.6","7.2","8.4","6.4","24","5.6","-0.1","1.7","4.6","31.8","17.5","21.4","0.4","78.2","01","linear","sf","1","middle","nw","dorm1","rio_de_janeiro"
"48.6","-111.5","12.5","8.1","11.3","9.3","10.9","9.5","30","10.9","0.1","2.6","6.1","32.3","17.3","21.8","0.5","77.7","01","linear","sf","1","middle","nw","dorm2","rio_de_janeiro"
"37.9","-89.5","13","7.6","7.7","5.9","7","7.2","23.3","4.5","0.1","3.7","4.9","31.9","17.2","50.9","0","49.1","01","linear","sf","1","middle","nw","liv","rio_de_janeiro"
"38.1","-79","13.3","4.5","5.7","4.8","4.6","5.8","17.3","3.5","-1.3","2.3","4.3","30.8","17.3","20.1","0.7","79.2","01","linear","sf","1","middle","se","dorm1","rio_de_janeiro"
"48.8","-102","14.2","6.3","7.2","7.2","8.8","7.1","23.1","7.2","-1","2.1","5.7","31.1","17.1","20.7","0.9","78.4","01","linear","sf","1","middle","se","dorm2","rio_de_janeiro"
"38.4","-82.1","15.1","6","5.1","5.7","6.5","4.7","19","3","-0.8","3.2","4.6","31","17","42.7","0","57.3","01","linear","sf","1","middle","se","liv","rio_de_janeiro"
"38.1","-78.9","13.3","4.5","5.6","5.8","4.6","4.8","17.3","3.5","-1.3","2.3","4.3","30.7","17.3","20.1","0.7","79.2","01","linear","sf","1","middle","sw","dorm1","rio_de_janeiro"
"48.8","-102","14.2","6.3","7.2","7.1","8.8","7.2","23.1","7.2","-1","2.1","5.7","31.1","17.1","20.7","0.9","78.4","01","linear","sf","1","middle","sw","dorm2","rio_de_janeiro"
"38.4","-82.1","15.1","6","5.1","4.7","6.5","5.7","19","3","-0.8","3.2","4.6","31","17","42.6","0","57.4","01","linear","sf","1","middle","sw","liv","rio_de_janeiro"
"52.8","-63.6","9.3","6.4","7.2","10.2","6","8","10.6","20.7","-0.7","1.8","4.4","28.6","14.4","0","19","81","01","linear","sf","1","corner","ne","dorm1","sao_paulo"
"56.3","-69.4","9.6","7.1","8.7","9.3","6.3","11.5","27.5","6.3","-0.7","2.1","4.7","28.6","14.6","0","17.5","82.5","01","linear","sf","1","corner","ne","dorm2","sao_paulo"
"39.5","-98.8","12.8","5.5","7.6","6","6.1","6.4","22.7","3.3","-0.4","3.3","8.4","27.7","13.8","3","4.7","92.3","01","linear","sf","1","corner","ne","liv","sao_paulo"
"52.7","-91.3","8.7","6.2","6.9","7.7","5.8","9.1","10.3","19.2","-0.8","1.9","5.9","28.8","14.6","0","18.8","81.2","01","linear","sf","1","corner","nw","dorm1","sao_paulo"
"56.2","-99.6","8.9","7","8.6","11.5","6.2","9.2","27.3","8.2","-0.7","2.2","6.3","28.5","14.9","0","17","83","01","linear","sf","1","corner","nw","dorm2","sao_paulo"
"39.2","-75.5","9.1","4.1","6","5.1","4.9","4.8","18.4","2.5","-0.8","2.6","5.1","27.9","14.6","3.6","3.2","93.2","01","linear","sf","1","corner","nw","liv","sao_paulo"
"52.8","-75.7","10.6","5.1","3.9","8.3","6.5","6.2","8.4","16.5","-1.7","1.7","5.4","27.1","14.4","0","20.2","79.8","01","linear","sf","1","corner","se","dorm1","sao_paulo"
"56.3","-82.1","10.9","5.3","4","7.1","7.1","8.9","21.7","5.4","-1.7","1.9","5.7","26.7","14.7","0","18.6","81.4","01","linear","sf","1","corner","se","dorm2","sao_paulo"
"39.7","-80.7","12.7","5.1","5.2","5.3","7","5.5","20","3","-0.7","2.8","6.6","26.8","14.4","1.9","4.3","93.8","01","linear","sf","1","corner","se","liv","sao_paulo"
"52.9","-96.3","12.2","5.4","4.2","6.7","6.8","8.2","9","16.9","-1.5","1.9","7.3","27.3","13.9","0","20.5","79.5","01","linear","sf","1","corner","sw","dorm1","sao_paulo"
"56.4","-104.6","12.4","5.8","4.4","9.7","7.6","7.7","23.4","6","-1.5","2.1","7.7","26.8","14.1","0","18.9","81.1","01","linear","sf","1","corner","sw","dorm2","sao_paulo"
"39.7","-66.8","11.8","4.6","4.8","5.1","6.6","4.8","18.7","2.5","-0.8","2.5","5","27.2","14.6","2.4","4.5","93","01","linear","sf","1","corner","sw","liv","sao_paulo"
"43","-77.8","6.9","4.3","5.3","5","6.3","5.4","17.9","4.1","-1","1.4","4.6","28.2","14.9","0","16.5","83.5","01","linear","sf","1","middle","ne","dorm1","sao_paulo"
"55.2","-101.2","7.9","6.5","9.3","7.8","8.6","7.7","24.8","8.6","-1.1","2.1","6","28.8","14.8","0","16.3","83.7","01","linear","sf","1","middle","ne","dorm2","sao_paulo"
"42.9","-80.1","8.5","5.7","6","5.7","5.4","4.8","18.5","3.4","-0.8","2.8","4.9","28.4","14.8","3.9","2.9","93.2","01","linear","sf","1","middle","ne","liv","sao_paulo"
"43","-77.6","6.8","4.3","5.2","5.4","6.3","5.1","17.8","4.1","-1","1.4","4.5","28.2","15","0","16.5","83.5","01","linear","sf","1","middle","nw","dorm1","sao_paulo"
"55.2","-100.9","7.9","6.5","9.3","7.7","8.5","7.8","24.8","8.5","-1.1","2.1","6","28.8","14.8","0","16.3","83.7","01","linear","sf","1","middle","nw","dorm2","sao_paulo"
"42.9","-79.8","8.4","5.7","6","4.8","5.4","5.8","18.6","3.4","-0.8","2.7","4.8","28.3","14.8","3.8","2.9","93.3","01","linear","sf","1","middle","nw","liv","sao_paulo"
"43.1","-71.7","9.2","3.1","4","3.7","2.9","4.2","12.5","2.3","-2","1.7","4.3","26.2","14.8","0","18.5","81.5","01","linear","sf","1","middle","se","dorm1","sao_paulo"
"55.3","-93.6","9.8","4.9","5.4","5.9","7.2","5.8","19","5.4","-1.9","1.7","5.6","26.5","14.6","0","18.3","81.7","01","linear","sf","1","middle","se","dorm2","sao_paulo"
"43.5","-74.3","10.7","4.3","3.9","4.6","5","3.8","15.1","2.2","-1.5","2.4","4.6","26.5","14.6","1.1","3.5","95.4","01","linear","sf","1","middle","se","liv","sao_paulo"
"43.1","-72.1","9.2","3.1","4","4.2","2.9","3.7","12.6","2.3","-2","1.7","4.3","26.2","14.8","0","18.5","81.5","01","linear","sf","1","middle","sw","dorm1","sao_paulo"
"55.3","-93.5","9.8","4.9","5.4","5.8","7.2","5.9","19","5.4","-1.9","1.7","5.6","26.5","14.6","0","18.3","81.7","01","linear","sf","1","middle","sw","dorm2","sao_paulo"
"43.5","-74.2","10.7","4.3","3.9","3.8","5","4.6","15.1","2.2","-1.5","2.4","4.6","26.5","14.6","1.1","3.5","95.4","01","linear","sf","1","middle","sw","liv","sao_paulo"
"43","-90.9","12.5","8.4","9.3","13.4","7.7","10.2","13.5","27.2","0.3","2.4","5.5","32.1","20.2","0.6","0","99.4","01","linear","sf","1","corner","ne","dorm1","sorriso"
"45.7","-98.3","12.7","8.8","10.5","11.2","7.8","14.2","33.4","7.8","0.4","2.7","5.9","31.9","20.4","0.8","0","99.2","01","linear","sf","1","corner","ne","dorm2","sorriso"
"31.5","-86.3","13.5","6.1","8.3","6.7","6.6","6.9","24.7","3.9","0","3.6","5.9","31","20.8","53.6","0","46.4","01","linear","sf","1","corner","ne","liv","sorriso"
