"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","storey","corner","orient","weather"
"429.4","-913.8","145.7","99.1","84.4","170.2","133.9","125.8","162.9","351.6","11.8","27.6","6.1","26.9","10.6","0","27.8","72.2","01","Linear","TM","1","Térreo","Canto","NE","Curitiba"
"428","-917.5","137.5","96.1","107.5","130.8","123.8","156.5","359.9","123.8","12.2","28.6","6.5","26.6","11.2","0","25.4","74.6","01","Linear","TM","1","Térreo","Canto","NE","Curitiba"
"845.7","-2780.3","422.5","215","245.4","239.1","260.7","247.6","847.7","145.1","13.1","113.9","9.4","26.2","11.3","0.1","12.6","87.3","01","Linear","TM","1","Térreo","Canto","NE","Curitiba"
"428.3","-1115.5","140.8","103.6","91.4","130.3","134.4","216.6","169.6","403.1","11.5","29.2","7.3","27.3","10.7","0","25.6","74.4","01","Linear","TM","1","Térreo","Canto","NW","Curitiba"
"427.7","-1089.4","134.2","95.7","112.4","154","122.5","129.7","367.9","150.8","11.7","29.5","7.8","26.8","11.1","0","25","75","01","Linear","TM","1","Térreo","Canto","NW","Curitiba"
"837.3","-2505.8","368.2","207.1","240.2","226.8","239.7","240.9","797","150.6","10.1","106.1","6.9","26.7","11.3","0.4","10.8","88.8","01","Linear","TM","1","Térreo","Canto","NW","Curitiba"
"430.3","-845.1","156.4","72.9","56.6","149.9","92","88","119.1","267.4","-4.2","22.6","5.6","26.4","10.3","0","33.2","66.8","01","Linear","TM","1","Térreo","Canto","SE","Curitiba"
"429","-832.2","148.5","63.1","48.4","87.3","87.3","110.7","266.6","67","-4.2","22.8","5.9","25.7","10.9","0","33","67","01","Linear","TM","1","Térreo","Canto","SE","Curitiba"
"852.2","-2488.2","459.5","194.2","187.2","209.7","281.5","192.4","749","121.9","4.4","98.5","8.5","25.8","11.1","0","18.2","81.8","01","Linear","TM","1","Térreo","Canto","SE","Curitiba"
"429.2","-1055.3","155.6","80.2","60.8","94.6","113.2","203.6","129.3","342.7","-3.6","25.3","7.2","27","10.4","0","30.4","69.6","01","Linear","TM","1","Térreo","Canto","SW","Curitiba"
"428.7","-1007.5","149.2","64.9","50","116.3","96.1","91.5","287.5","66.4","-4","25","7.7","25.9","10.8","0","32","68","01","Linear","TM","1","Térreo","Canto","SW","Curitiba"
"845.4","-2244","413.9","195","179.1","180.7","281.5","228.5","725.5","144.2","5.7","95.9","6.5","26.2","11.1","0.1","15","84.8","01","Linear","TM","1","Térreo","Canto","SW","Curitiba"
"435.6","-1096.8","138.7","79.5","33.8","103.3","167.4","75.7","256.3","123.8","5.6","22.7","5.1","26.2","11.4","0","25","75","01","Linear","TM","1","Térreo","Meio","NE","Curitiba"
"427.7","-1115.8","118.8","91.7","117.7","107.3","171.9","98.3","323.3","171.9","7.8","28.3","6.7","26.8","11.2","0","22.3","77.7","01","Linear","TM","1","Térreo","Meio","NE","Curitiba"
"823.2","-2137.7","298","197.3","143.8","175.8","248.1","153.4","546.6","174.5","15.5","92.1","5.5","26.6","11.3","0.3","8.9","90.7","01","Linear","TM","1","Térreo","Meio","NE","Curitiba"
