"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.3","-70.8","20.5","8.7","7.5","12.3","8.5","11.3","14.8","24.8","-0.1","2.4","4.1","27.9","11.1","0","43.3","56.7","01","linear","tv","3","corner","ne","dorm1","curitiba"
"57.9","-78.7","21.9","9.8","11.3","12.9","8.6","14.6","36.6","8.6","0","2.8","4.4","27.1","11.6","0","39.9","60.1","01","linear","tv","3","corner","ne","dorm2","curitiba"
"41.8","-125.9","19.2","8.1","9.9","8.9","9.5","9.8","33.7","4.4","0.1","4.5","11.4","27.2","10.9","1.5","28.8","69.8","01","linear","tv","3","corner","ne","liv","curitiba"
"54.2","-102.8","19.8","8.2","7.2","11","8","10.5","14.6","22.1","-0.2","2.5","5.9","27.9","10.5","0","42.1","57.9","01","linear","tv","3","corner","nw","dorm1","curitiba"
"57.8","-114.6","22","9.9","11.7","15.2","8.5","12.8","37.5","10.7","-0.1","3","6.4","27.1","11.1","0","38.2","61.8","01","linear","tv","3","corner","nw","dorm2","curitiba"
"41.4","-104.5","17.2","7","8.7","8.4","8.1","7.3","29.3","3.3","-0.4","3.7","7.5","27.2","10","1.2","26.2","72.6","01","linear","tv","3","corner","nw","liv","curitiba"
"54.3","-54.6","14.2","6.2","4","11.2","7.8","7.9","10.7","20.3","-1","1.9","3.3","27.9","10.4","0","47.6","52.4","01","linear","tv","3","corner","se","dorm1","curitiba"
"58","-59.8","13.8","6.1","3.9","8.6","8.4","10.3","26","5.2","-1","2.1","3.5","27","11","0","44.9","55.1","01","linear","tv","3","corner","se","dorm2","curitiba"
"42.2","-117.1","17.6","7.5","7.7","8.2","11.5","8.2","31.3","4.2","0.1","4","11.3","27.1","11","0.8","33.2","66","01","linear","tv","3","corner","se","liv","curitiba"
"54.3","-89.8","13.4","5.7","3.7","7.6","7.4","9.4","10.4","17.7","-1.1","2","5.4","28","10.6","0","46.3","53.7","01","linear","tv","3","corner","sw","dorm1","curitiba"
"57.9","-98.3","13.8","6.3","3.8","10.8","8.8","8.5","26.8","5.2","-1.1","2.3","5.7","27","11.4","0","42.8","57.2","01","linear","tv","3","corner","sw","dorm2","curitiba"
"41.8","-91.5","15.3","6.2","6.2","6.5","9.9","6.4","26.1","3","-0.4","3.1","7","27.1","10.5","0.7","30.4","68.9","01","linear","tv","3","corner","sw","liv","curitiba"
"44.2","-89.9","12","4.5","0.8","7","8.4","3.6","14.5","5.3","-0.7","1.6","4.5","26.4","11.7","0","40","60","01","linear","tv","3","middle","ne","dorm1","curitiba"
"56.7","-123.1","20.9","9.1","12.2","10.7","11.2","9.5","32.4","11.2","-0.6","2.8","5.9","27.3","11.8","0","36.5","63.5","01","linear","tv","3","middle","ne","dorm2","curitiba"
"45.1","-95.4","17.7","7.6","5.2","6.7","7.4","6.1","21.1","4.3","-0.5","3.3","4.8","26.8","11.7","1.6","20.6","77.8","01","linear","tv","3","middle","ne","liv","curitiba"
"44.2","-89.7","11.9","4.5","0.7","3.6","8.4","7","14.4","5.3","-0.7","1.6","4.4","26.4","11.7","0","39.9","60.1","01","linear","tv","3","middle","nw","dorm1","curitiba"
"56.7","-122.8","20.9","9.1","12.2","9.5","11.2","10.7","32.3","11.2","-0.6","2.8","5.9","27.3","11.8","0","36.4","63.6","01","linear","tv","3","middle","nw","dorm2","curitiba"
"45.1","-95","17.8","7.7","5.2","6.1","7.4","7.1","21.5","4.3","-0.5","3.3","4.8","26.8","11.8","1.6","20.6","77.8","01","linear","tv","3","middle","nw","liv","curitiba"
"44.4","-71.9","7.8","2.4","3.9","4.3","-0.7","3.2","8.8","1.9","-1.4","1.5","3.9","26.1","11.3","0","45.6","54.4","01","linear","tv","3","middle","se","dorm1","curitiba"
"56.9","-98.2","12.1","5.4","4.8","6.9","7.9","5.9","20.7","4.8","-1.2","1.8","5.2","26.7","11.2","0","43.4","56.6","01","linear","tv","3","middle","se","dorm2","curitiba"
"45.9","-76.6","12.8","4.8","4","5.2","4.5","4.2","16","1.9","-1","2.4","4.2","26.6","11.3","0.3","31.3","68.4","01","linear","tv","3","middle","se","liv","curitiba"
"44.4","-72.9","7.8","2.3","3.8","3.2","-0.7","4.3","8.7","1.8","-1.5","1.5","3.9","26.1","11.3","0","45.4","54.6","01","linear","tv","3","middle","sw","dorm1","curitiba"
"56.9","-98.5","12.2","5.5","4.8","5.9","7.9","7","20.8","4.8","-1.3","1.9","5.2","26.7","11.2","0","43.3","56.7","01","linear","tv","3","middle","sw","dorm2","curitiba"
"45.9","-76.8","12.9","4.9","4","4.2","4.5","5.7","16.5","1.9","-1","2.4","4.2","26.6","11.3","0.3","31.3","68.4","01","linear","tv","3","middle","sw","liv","curitiba"
"45.8","-106.8","21.9","9.5","8.5","14.9","10","12.2","16.1","29.5","0.4","2.7","5","33.7","16.4","28.6","1","70.4","01","linear","tv","3","corner","ne","dorm1","rio_de_janeiro"
"48.5","-117.7","23","10.3","12.4","13.6","10.1","16","39.6","10.1","0.5","3.1","5.4","32.9","17.1","32","0.4","67.6","01","linear","tv","3","corner","ne","dorm2","rio_de_janeiro"
"34.6","-103.5","17.6","7.8","9.1","8.2","8.7","8.5","30.2","4.2","0","3.9","6.9","32.8","16.8","48.4","0","51.6","01","linear","tv","3","corner","ne","liv","rio_de_janeiro"
"46","-103.3","21.4","9.2","8.4","12.1","10.1","13.2","15.9","28","0.5","2.6","5.3","33.8","16.4","27.7","1.1","71.3","01","linear","tv","3","corner","nw","dorm1","rio_de_janeiro"
"48.7","-112.7","23.1","10.5","12.3","16.4","10.5","13.8","39.5","13.4","0.7","3.1","5.7","32.7","17.1","30.7","0.4","68.9","01","linear","tv","3","corner","nw","dorm2","rio_de_janeiro"
"34.7","-102.1","17.3","7.5","8.7","8.6","8.7","7.9","29.9","4","0.1","3.9","7","32.8","16.8","48.1","0","51.9","01","linear","tv","3","corner","nw","liv","rio_de_janeiro"
"46.3","-96.3","15","6.8","4.9","13.7","9.3","8.6","11.7","24.8","-0.7","2.2","5.9","33.9","15.7","25.6","2.3","72.1","01","linear","tv","3","corner","se","dorm1","rio_de_janeiro"
"49.1","-102.2","14.1","6.5","4.6","9.1","9.4","11.4","28.4","6.1","-0.7","2.4","6.2","33","16.2","28.1","1.8","70.1","01","linear","tv","3","corner","se","dorm2","rio_de_janeiro"
"35.1","-89.3","15.7","7","6.6","7.4","10.5","6.6","27.1","4.1","0","3.4","6","33","16.2","42.7","0","57.3","01","linear","tv","3","corner","se","liv","rio_de_janeiro"
"46.4","-88.1","14.3","6.6","5.1","8.5","9","12.1","11.5","23.2","-0.5","2.1","5.8","34","15.7","24.5","2.5","73.1","01","linear","tv","3","corner","sw","dorm1","rio_de_janeiro"
"49.4","-92.9","13.9","6.6","4.9","11.4","9.1","9.1","27.8","6.7","-0.5","2.3","6","32.9","16.2","26.7","1.9","71.4","01","linear","tv","3","corner","sw","dorm2","rio_de_janeiro"
"35.3","-90.5","15.5","6.8","6.8","6.9","10.5","7.1","27.5","3.8","0.1","3.4","6.8","33","16.2","41.5","0","58.5","01","linear","tv","3","corner","sw","liv","rio_de_janeiro"
"37.4","-91","13.2","5.5","2.7","7.7","10.6","5","18.9","7.2","0","1.7","4.4","31.9","17","27.6","0.6","71.7","01","linear","tv","3","middle","ne","dorm1","rio_de_janeiro"
"47.7","-124.7","22.8","10","13.4","11.7","14.5","10.6","35.7","14.5","0.3","3","5.8","33.2","17.2","31.4","0.4","68.3","01","linear","tv","3","middle","ne","dorm2","rio_de_janeiro"
"37.6","-97.4","18.8","8.7","6.5","8.2","9.1","6.8","24.8","5.7","0.2","3.8","4.7","32.3","16.9","52.4","0","47.6","01","linear","tv","3","middle","ne","liv","rio_de_janeiro"
"37.5","-90.8","13.2","5.5","2.7","5.1","10.7","7.8","19","7.2","0","1.7","4.4","31.9","17","27.6","0.7","71.8","01","linear","tv","3","middle","nw","dorm1","rio_de_janeiro"
"47.7","-124.4","22.8","10","13.4","10.6","14.5","11.7","35.6","14.5","0.3","3","5.8","33.2","17.2","31.3","0.4","68.4","01","linear","tv","3","middle","nw","dorm2","rio_de_janeiro"
"37.6","-97","18.6","8.7","6.4","6.7","9","7.9","24.4","5.7","0.2","3.8","4.7","32.3","16.9","52.2","0","47.8","01","linear","tv","3","middle","nw","liv","rio_de_janeiro"
"38","-71.7","8.4","3.1","5","4.7","0.6","4.4","11.7","2.9","-1","1.8","3.9","31.8","16","23.1","2.6","74.3","01","linear","tv","3","middle","se","dorm1","rio_de_janeiro"
"48.6","-96.3","12.5","5.9","6.5","7.4","8.5","6.4","22.3","6.5","-0.6","2","5.2","32.3","16","26","2.4","71.6","01","linear","tv","3","middle","se","dorm2","rio_de_janeiro"
"38.7","-76.7","13.2","5.6","4.9","6.5","5.5","4.6","18.8","2.7","-0.5","2.8","4.2","32.2","15.9","41.4","0","58.6","01","linear","tv","3","middle","se","liv","rio_de_janeiro"
"38","-71.4","8.4","3.1","5","4.4","0.6","4.6","11.7","2.9","-1","1.8","3.9","31.8","16","23","2.6","74.4","01","linear","tv","3","middle","sw","dorm1","rio_de_janeiro"
"48.6","-96","12.5","5.9","6.5","6.4","8.4","7.4","22.2","6.5","-0.6","2","5.2","32.3","16","25.9","2.4","71.7","01","linear","tv","3","middle","sw","dorm2","rio_de_janeiro"
"38.7","-76.3","13.1","5.5","4.8","4.5","5.5","6.1","18.3","2.6","-0.4","2.8","4.2","32.2","15.9","41.1","0","58.9","01","linear","tv","3","middle","sw","liv","rio_de_janeiro"
"52.3","-62.8","19.2","8.1","6.8","11.3","7.7","10.6","13.9","22.5","-0.5","2.3","4.4","30.3","12.1","1.5","22.5","76.1","01","linear","tv","3","corner","ne","dorm1","sao_paulo"
"55.7","-69.6","20.9","9.3","10.8","12.3","8","13.9","35","8","-0.4","2.7","4.7","29.8","12.8","1.5","19","79.4","01","linear","tv","3","corner","ne","dorm2","sao_paulo"
"39.5","-119.7","18.7","7.9","9.9","8.5","9","9.5","32.9","4","-0.1","4.3","11.7","29.3","12.2","9.7","9.5","80.8","01","linear","tv","3","corner","ne","liv","sao_paulo"
"52.1","-100.1","18","7.3","6.3","10","7.1","8.9","13.2","19","-0.7","2.3","6.4","30.1","12.6","1.5","20.5","77.9","01","linear","tv","3","corner","nw","dorm1","sao_paulo"
"55.4","-112","20.7","9.3","11","14.2","7.8","11.9","35","9.9","-0.6","2.8","6.8","29.8","13.4","1.7","17","81.3","01","linear","tv","3","corner","nw","dorm2","sao_paulo"
"39.1","-90.6","15.6","6.2","7.2","7.4","7.2","6.3","25.5","2.6","-0.7","3.2","6.2","29.3","13","10.7","7.6","81.7","01","linear","tv","3","corner","nw","liv","sao_paulo"
"52.5","-72.5","13.4","5.8","3.6","10.7","7.7","7.6","10.4","19.3","-1.3","1.9","5.7","29.2","11.9","1","25.3","73.7","01","linear","tv","3","corner","se","dorm1","sao_paulo"
"55.9","-78","13.4","6","3.6","8.4","8.6","10.4","26.2","4.9","-1.3","2.2","6","28.4","12.6","0.9","23.5","75.6","01","linear","tv","3","corner","se","dorm2","sao_paulo"
"39.8","-91.8","15.9","6.6","6.5","7","10","7","27","3.5","-0.3","3.3","8.7","28.7","12.3","7.8","13.1","79.1","01","linear","tv","3","corner","se","liv","sao_paulo"
"52.6","-97.3","13.6","5.9","4.1","8.1","8.2","10","11.1","19.3","-1","2.1","8.7","29.3","11.6","1","26","73.1","01","linear","tv","3","corner","sw","dorm1","sao_paulo"
"56","-106.5","14.1","6.5","4.2","11.6","9.4","9.1","28.4","5.9","-1.1","2.4","9.3","28.2","12.3","0.8","23.6","75.5","01","linear","tv","3","corner","sw","dorm2","sao_paulo"
"39.9","-76.6","14.8","6.2","6","6.6","10.2","6.1","25.9","3","-0.4","3","6.5","28.5","12.7","7","12.8","80.3","01","linear","tv","3","corner","sw","liv","sao_paulo"
"42.5","-82","10.5","3.9","-0.4","6.3","7.5","2.7","11.4","4.6","-1","1.4","4.4","29.1","13.3","1","19","80","01","linear","tv","3","middle","ne","dorm1","sao_paulo"
"54.3","-113.5","19.6","8.4","11.2","9.8","10.1","8.6","29.6","10.1","-1","2.6","5.8","30.1","13.5","1.9","15.6","82.5","01","linear","tv","3","middle","ne","dorm2","sao_paulo"
"42.6","-87.7","16.3","7","4.5","6.2","6.7","5.6","19.1","3.8","-0.8","3","4.7","29.6","13.6","11.2","6.4","82.5","01","linear","tv","3","middle","ne","liv","sao_paulo"
"42.5","-81.8","10.5","3.8","-0.5","2.7","7.4","6.3","11.3","4.6","-1","1.4","4.4","29.1","13.4","1","18.9","80.1","01","linear","tv","3","middle","nw","dorm1","sao_paulo"
"54.3","-113.3","19.6","8.4","11.2","8.6","10.1","9.8","29.6","10.1","-1.1","2.6","5.8","30.1","13.5","1.9","15.5","82.6","01","linear","tv","3","middle","nw","dorm2","sao_paulo"
"42.6","-87.4","16.4","7.1","4.5","5.6","6.8","6.7","19.6","3.9","-0.8","3","4.7","29.6","13.6","11.2","6.2","82.5","01","linear","tv","3","middle","nw","liv","sao_paulo"
"42.8","-66","6.7","1.8","3","3.7","-1.5","2.4","6.3","1.3","-1.8","1.2","3.9","27.3","13","0.3","24.3","75.4","01","linear","tv","3","middle","se","dorm1","sao_paulo"
"54.8","-90.2","11","4.8","3.9","6.2","7","5.2","18.4","3.9","-1.7","1.7","5.2","27.9","13.1","0.6","22.9","76.5","01","linear","tv","3","middle","se","dorm2","sao_paulo"
"43.6","-70.9","11.7","4.4","3.4","5","3.9","3.8","14.6","1.5","-1.3","2.2","4.2","27.8","13.2","5.9","13.3","80.8","01","linear","tv","3","middle","se","liv","sao_paulo"
"42.8","-66.6","6.7","1.8","3","2.4","-1.5","3.7","6.4","1.2","-1.8","1.3","4","27.3","13","0.3","24.3","75.4","01","linear","tv","3","middle","sw","dorm1","sao_paulo"
