"il_hg","afn_hg","floor_hg","roof_hg","walls_s_hg","walls_e_hg","walls_n_hg","walls_w_hg","walls_int_hg","walls_ext_hg","windows_hg","doors_hg","air_change","top_max","top_min","ph_sup","ph_inf","phft","sim","typo","shell","level","position","orient","room","weather"
"54.1","-72.8","20.8","10.1","8.2","13","9.1","11.9","15.6","26.6","0","2.7","4.1","27.4","11.2","0","40.5","59.5","04","linear","tm","4","corner","ne","dorm1","curitiba"
"57.8","-79.3","22","11","11.5","13.3","9.2","15","37.4","9.2","0.1","3","4.4","26.9","11.6","0","39.2","60.8","04","linear","tm","4","corner","ne","dorm2","curitiba"
"42","-134.7","21.5","10","12.5","10.2","10.8","11.4","39.5","5.4","0.2","4","12.4","27.3","10.9","1.6","30","68.5","04","linear","tm","4","corner","ne","liv","curitiba"
"54.1","-107.6","19.8","9.6","7.8","11.6","8.5","11.1","15.4","23.6","-0.1","2.7","6","27.1","11","0","39","61","04","linear","tm","4","corner","nw","dorm1","curitiba"
"57.7","-118.3","22.1","11.1","12.1","15.8","9","13.2","38.7","11.5","-0.1","3.2","6.5","26.8","11.2","0","36.9","63.1","04","linear","tm","4","corner","nw","dorm2","curitiba"
"41.5","-112.3","19.3","8.8","11.2","10.2","9.2","8.4","34.9","4","-0.3","3.5","8","27.2","10.1","1.2","27.3","71.5","04","linear","tm","4","corner","nw","liv","curitiba"
"54.2","-55.6","15.6","7.7","5","12.3","9.7","8.8","11.7","24.1","-0.8","2.2","3.2","27.5","10.9","0","44.2","55.8","04","linear","tm","4","corner","se","dorm1","curitiba"
"57.9","-58.8","14.8","7.5","4.7","9.3","8.9","11","27.5","6.3","-0.8","2.3","3.4","26.9","11.2","0","44","56","04","linear","tm","4","corner","se","dorm2","curitiba"
"42.3","-124.3","19.1","9.1","8.7","9.4","11.1","10","33.9","5.3","0.3","3.5","12.3","27.2","10.9","0.8","35.1","64.1","04","linear","tm","4","corner","se","liv","curitiba"
"54.2","-94","14.5","7.1","4.4","8.4","9.1","10.2","11.5","20.6","-1","2.2","5.4","27.4","11","0","42.2","57.8","04","linear","tm","4","corner","sw","dorm1","curitiba"
"57.8","-101.1","14.7","7.6","4.4","11.8","9.5","9.2","28.8","6","-1","2.5","5.8","27","11.5","0","41","59","04","linear","tm","4","corner","sw","dorm2","curitiba"
"41.9","-97.6","16.5","7.8","6.9","8.6","9.6","7.3","28.6","3.8","-0.3","2.8","7.5","27.2","10.6","0.7","32","67.3","04","linear","tm","4","corner","sw","liv","curitiba"
