"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","nvar","model"
0.3,6,0,0.6,1,1,200,3.9909224236864,0.972282012548201,2.92524464261684,0.0396481452977083,0.000499437596670657,0.0331715741331334,10,"xgbt"
0.3,6,0,0.8,1,1,200,3.78797649433293,0.975003947301699,2.75910800819124,5.14234288970867e-05,1.64961554023371e-05,0.0093169193601605,10,"xgbt"
0.4,6,0,0.6,1,1,200,3.83254204991256,0.974359440581496,2.75376497300177,0.00969441018544667,0.000119577471688729,0.0150970023932568,10,"xgbt"
0.4,6,0,0.8,1,1,200,3.88280386945909,0.973623314835554,2.76309459132569,0.253900400241661,0.00344604278716325,0.164576034130739,10,"xgbt"
0.3,8,0,0.6,1,1,200,3.64900432426551,0.976760952610476,2.46513456717267,0.0952752306325781,0.0011961691604691,0.051823607711834,10,"xgbt"
0.3,8,0,0.8,1,1,200,3.45509174354554,0.979140076257798,2.31503329803326,0.0749383400161721,0.000932851368186314,0.0136752541562178,10,"xgbt"
0.4,8,0,0.6,1,1,200,3.93205081494383,0.972971920926695,2.57236615181194,0.0366618079324394,0.000544122467839654,0.0118292614547487,10,"xgbt"
0.4,8,0,0.8,1,1,200,3.84035626051246,0.974220137502505,2.52334998362761,0.0633446925812416,0.000819196019486037,0.0372838246852931,10,"xgbt"
0.3,10,0,0.6,1,1,200,3.72260731143065,0.975827387452931,2.43867607402835,0.121509113795504,0.00159641804743253,0.0557316505666688,10,"xgbt"
0.3,10,0,0.8,1,1,200,3.7258289402527,0.975701411771334,2.43132883945593,0.30391116861399,0.00387610447995421,0.198732284701197,10,"xgbt"
0.4,10,0,0.6,1,1,200,3.67317834957402,0.976414345374135,2.40766311662666,0.0571533312136407,0.00076367096942772,0.0173324194750944,10,"xgbt"
0.4,10,0,0.8,1,1,200,3.71378106337743,0.975887069695378,2.43711907521987,0.0996037387190297,0.00125185234480553,0.0715158046466854,10,"xgbt"
0.3,6,0,0.6,1,1,300,3.68339428517164,0.976346669375751,2.61631021005453,0.0191441787894354,0.000230098544424405,0.00801404048027394,10,"xgbt"
0.3,6,0,0.8,1,1,300,3.50174035822084,0.978601679699783,2.47339157607314,0.0015263295040806,2.07317722065421e-05,0.00794070851865825,10,"xgbt"
0.4,6,0,0.6,1,1,300,3.60415151554415,0.97730237345764,2.51029542061235,0.00197256123564401,4.05751616799988e-05,0.00933411028621254,10,"xgbt"
0.4,6,0,0.8,1,1,300,3.66726338860882,0.97644115479824,2.52889498757682,0.257007467096557,0.00326890917977856,0.164819301984087,10,"xgbt"
0.3,8,0,0.6,1,1,300,3.58063475509323,0.977608017361594,2.38046748749899,0.100643099806876,0.00125140514131608,0.0578681803958196,10,"xgbt"
0.3,8,0,0.8,1,1,300,3.41091304333926,0.979658692677612,2.25344577067426,0.0816658687717882,0.00100380042984203,0.0214595134345761,10,"xgbt"
0.4,8,0,0.6,1,1,300,3.9007673355324,0.973399059000721,2.531463018426,0.0410641026907686,0.000601697748031812,0.0124144216509699,10,"xgbt"
0.4,8,0,0.8,1,1,300,3.81421871897357,0.974569395930514,2.48598636635406,0.0671529631310413,0.000864036680615537,0.0371930562870991,10,"xgbt"
0.3,10,0,0.6,1,1,300,3.72306721067264,0.975829093997439,2.43515524340455,0.122663222212938,0.00160627792703649,0.0549558520118538,10,"xgbt"
0.3,10,0,0.8,1,1,300,3.73323407841113,0.975613214979711,2.43184586041654,0.295353443842962,0.00376542260365889,0.193622450431976,10,"xgbt"
0.4,10,0,0.6,1,1,300,3.68384655884303,0.976279203784152,2.41391056339182,0.0567249326927517,0.000758460096269607,0.0166096685431946,10,"xgbt"
0.4,10,0,0.8,1,1,300,3.72967228861878,0.97568337929924,2.44848628785451,0.0949562047933548,0.00119601353891381,0.0678686125351835,10,"xgbt"
0.3,6,0,0.6,1,1,400,3.52644531497253,0.978292103936188,2.44797717847289,0.00784676585263703,9.86888508547356e-05,0.00435018435942323,10,"xgbt"
0.3,6,0,0.8,1,1,400,3.37114213442812,0.980151008309431,2.329610690401,0.0101218470629981,0.0001097841047659,0.0165873616818336,10,"xgbt"
0.4,6,0,0.6,1,1,400,3.49384428227576,0.978663949007444,2.38522178618955,0.00282004436744116,7.9986624589273e-06,0.00319513751462811,10,"xgbt"
0.4,6,0,0.8,1,1,400,3.58024894676029,0.977539504090816,2.42491142660915,0.252360876979951,0.00312438388843233,0.159743628994271,10,"xgbt"
0.3,8,0,0.6,1,1,400,3.55874555147171,0.977879064488991,2.35128587876164,0.0985783021679276,0.00121982003723578,0.0567833107388665,10,"xgbt"
0.3,8,0,0.8,1,1,400,3.40163008082615,0.979766197259805,2.23662034662089,0.0864363322952042,0.00105826841794794,0.0251022689239931,10,"xgbt"
0.4,8,0,0.6,1,1,400,3.8897838365223,0.973548375525986,2.51663194686067,0.0454645432994999,0.000660439106671493,0.0123323827118519,10,"xgbt"
0.4,8,0,0.8,1,1,400,3.8106627027778,0.974619215886296,2.4761025141556,0.0599883843199882,0.000769766668319123,0.0309444518776591,10,"xgbt"
0.3,10,0,0.6,1,1,400,3.73190052024554,0.975718890529559,2.4406232898994,0.125603818117299,0.00164808393265905,0.055454816232296,10,"xgbt"
0.3,10,0,0.8,1,1,400,3.74438404036815,0.97547434560676,2.44061527283612,0.290128620644551,0.00370461997245965,0.189496271320907,10,"xgbt"
0.4,10,0,0.6,1,1,400,3.69826715950596,0.976094520577569,2.42556547561531,0.0568514572912445,0.000762013793370486,0.0152892555136848,10,"xgbt"
0.4,10,0,0.8,1,1,400,3.7436428926824,0.975502853872825,2.45959973138215,0.0928773194241863,0.00117273641585278,0.0672022631858347,10,"xgbt"
0.3,6,0,0.6,1,1,500,3.45614854446864,0.979136800186539,2.36590474188896,0.00844075519015511,0.000114252748745077,0.00675488601088405,10,"xgbt"
0.3,6,0,0.8,1,1,500,3.30809032500289,0.980879320585712,2.2549043876014,0.00787605664613722,7.57516994031026e-05,0.0132297945892715,10,"xgbt"
0.4,6,0,0.6,1,1,500,3.44478011278472,0.979255719350558,2.32556155210618,0.00924878446241302,7.80506268312095e-05,0.00693829593186444,10,"xgbt"
0.4,6,0,0.8,1,1,500,3.53940082222099,0.978051171164905,2.37656942219679,0.241144880084865,0.00294668925158961,0.150974952566786,10,"xgbt"
0.3,8,0,0.6,1,1,500,3.55090794758411,0.977977115932594,2.34034772234224,0.0960813448865546,0.00118577358095503,0.0531487998998944,10,"xgbt"
0.3,8,0,0.8,1,1,500,3.40320899703495,0.979746460863437,2.23337345647692,0.0877971585659704,0.0010751506175723,0.0238463419853806,10,"xgbt"
0.4,8,0,0.6,1,1,500,3.88841284680008,0.973567959203776,2.51274456340842,0.0490075226512113,0.000708054568920637,0.0134900910114041,10,"xgbt"
0.4,8,0,0.8,1,1,500,3.81290946101875,0.974589466707755,2.4756051795687,0.0570874663056131,0.000731968066003728,0.028873806817103,10,"xgbt"
0.3,10,0,0.6,1,1,500,3.73890949832892,0.975632113240949,2.44610930660552,0.126449248611665,0.00165957796976646,0.0558834727443794,10,"xgbt"
0.3,10,0,0.8,1,1,500,3.75598594869913,0.975327716438616,2.44991278241287,0.285252503805205,0.00364843482999791,0.185797355146683,10,"xgbt"
0.4,10,0,0.6,1,1,500,3.71025879152633,0.975940348440324,2.43516140740091,0.0563567942728396,0.000757578394530913,0.0145111655142371,10,"xgbt"
0.4,10,0,0.8,1,1,500,3.75353301419994,0.975374443037753,2.46773722848774,0.0923455490640537,0.00116898025235819,0.0675582713994112,10,"xgbt"
0.3,6,0,0.6,1,1,600,3.40725363218454,0.979714699292426,2.30834387664505,0.0103729922463098,0.000141001810035145,0.00597344670667375,10,"xgbt"
0.3,6,0,0.8,1,1,600,3.27424723768821,0.981264271000754,2.21188731437684,0.0073744200594554,6.5799694242362e-05,0.0126521630017735,10,"xgbt"
0.4,6,0,0.6,1,1,600,3.42118188809109,0.979538092594712,2.29640830035142,0.0110583032313831,9.69103401152383e-05,0.00857765602662771,10,"xgbt"
0.4,6,0,0.8,1,1,600,3.52090661411094,0.978282419695264,2.35144181084905,0.234560844980736,0.00284846833972975,0.14497973881007,10,"xgbt"
0.3,8,0,0.6,1,1,600,3.54936911498272,0.97799863319304,2.33722164324857,0.0944158965677339,0.00116208028097821,0.050714774710609,10,"xgbt"
0.3,8,0,0.8,1,1,600,3.40705798835176,0.979701684973458,2.23469688352684,0.0859943137264751,0.00105484179406284,0.0228606447885312,10,"xgbt"
0.4,8,0,0.6,1,1,600,3.88963898360717,0.97355238435716,2.51188963359122,0.0491548361886928,0.000709874278050961,0.0133104997326481,10,"xgbt"
0.4,8,0,0.8,1,1,600,3.81814411222659,0.974520962133889,2.47836136220554,0.0577304928604138,0.000744420802663823,0.0294679085053089,10,"xgbt"
0.3,10,0,0.6,1,1,600,3.74748590732277,0.975523762207661,2.4532841700608,0.125400167161723,0.00164922607294194,0.0543524047414601,10,"xgbt"
0.3,10,0,0.8,1,1,600,3.76428386229115,0.975222051553399,2.45711896999097,0.28171186336925,0.00360795242014721,0.183516401530798,10,"xgbt"
0.4,10,0,0.6,1,1,600,3.71883060255692,0.975829846972248,2.44256531640771,0.0562183131433335,0.000757010259470931,0.0145644269395986,10,"xgbt"
0.4,10,0,0.8,1,1,600,3.760671571155,0.975281441004444,2.47389133383591,0.0920708698317984,0.00116751594486234,0.0672566307276206,10,"xgbt"
0.3,6,0,0.6,1,1,200,3.52071537833364,0.978425533160435,2.55616779989895,0.0132429816337246,0.000113273359337168,0.00747743265635082,13,"xgbt"
0.3,6,0,0.8,1,1,200,3.37507541918561,0.980139106266765,2.44103517172676,0.0772548177195422,0.000924091213779705,0.0584336694170308,13,"xgbt"
0.4,6,0,0.6,1,1,200,3.45199153053043,0.979178765182854,2.44282240695513,0.0719703660770937,0.00087675725162401,0.0359019210613008,13,"xgbt"
0.4,6,0,0.8,1,1,200,3.27783361758263,0.981226694885909,2.31629553829537,0.0265023503354233,0.000316864228990495,0.00673116839265721,13,"xgbt"
