"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
44.4,12.9,-1.3,2.3,-14.9,-8.4,9,-11.9,-7.3,0.6,0,-1.9,4.6,-38.8,4.6,3.6,"Hip.","01","C10","Cobertura","HVAC","L","Dorm. N","Curitiba"
45.1,5.6,-1.2,-15,-11.3,4.7,2.9,-18.7,-7.6,0.8,0,-1.6,7.5,-29.8,7.5,2.3,"Hip.","01","C10","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.4,21.4,7.8,3.4,-3.3,6.5,11.8,18.4,-5.8,2.8,0,-1.8,0.1,-94.9,0.1,63.1,"Hip.","01","C10","Cobertura","HVAC","L","Sala","Curitiba"
33.6,18,-0.9,8.2,3.8,-9.9,4.9,7.1,-8,1.2,0,-1.2,1.4,-50.3,1.4,4.1,"Hip.","01","C10","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.3,20,-0.9,7.4,6.9,-7.6,10.2,16.8,-8.1,1.2,0,-1.2,0.4,-60.5,0.4,4.4,"Hip.","01","C10","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.5,31.9,8.8,12.2,8.5,-0.2,9.8,30.3,-5.8,3.6,0,-0.9,0,-108.1,0,63.1,"Hip.","01","C10","Cobertura","HVAC","NE","Sala","Curitiba"
33.6,18.2,-0.9,8.4,5,-9.9,4.5,8,-8,1.3,0,-1.2,1.4,-51.6,1.4,4.5,"Hip.","01","C10","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.3,20,-0.9,7.4,10.3,-7.6,6.8,16.8,-8.1,1.1,0,-1.2,0.4,-60.4,0.4,4.4,"Hip.","01","C10","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.5,31.9,8.8,12.2,9.8,-0.2,8.5,30.3,-5.8,3.6,0,-0.9,0,-108,0,63,"Hip.","01","C10","Cobertura","HVAC","NO","Sala","Curitiba"
34.4,6.9,-0.4,-14.7,2.4,3.9,2.6,-5.7,-7.5,0.5,0,-0.9,4.6,-31.7,4.6,1.7,"Hip.","01","C10","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
34.1,8,-0.7,-11,3.2,3.6,4.8,0.6,-7.7,0.5,0,-0.9,2.9,-36.4,2.9,1.6,"Hip.","01","C10","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.9,14,6.9,-6.6,4.1,6.2,4.9,8.6,-6.3,1.7,0,-0.7,0.3,-64.7,0.3,34,"Hip.","01","C10","Cobertura","HVAC","SE","Sala","Curitiba"
34.4,7.1,-0.4,-14.8,2.6,4,3.2,-4.9,-7.5,0.5,0,-0.9,4.5,-32.5,4.5,1.9,"Hip.","01","C10","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
34.1,8.1,-0.7,-11,4.8,3.6,3.2,0.6,-7.7,0.5,0,-0.9,2.9,-36.4,2.9,1.6,"Hip.","01","C10","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.9,14.1,6.9,-6.6,4.9,6.2,4.1,8.7,-6.3,1.7,0,-0.7,0.3,-64.9,0.3,34.1,"Hip.","01","C10","Cobertura","HVAC","SO","Sala","Curitiba"
44.2,14.9,-1.1,3.9,9.4,-8.6,-9.9,-5.1,-7.5,0.9,0.1,-2.2,4.3,-47.2,4.3,7,"Hip.","01","C10","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.9,7.2,-1.1,-15.3,2.8,6.1,-5.7,-12.1,-7.8,1.1,0,-2.2,6.7,-36.6,6.7,5.2,"Hip.","01","C10","Cobertura","HVAC","O","Dorm. S","Curitiba"
