"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.2,22,-4.9,5.1,3.5,2.2,8.2,18.9,-10.4,0.8,0,-2.9,0.1,-63.5,0.1,8.8,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. N","Curitiba"
43.8,11.1,-3.7,-0.9,0.7,3.3,4.1,7.1,-10.3,1,0,-2,0.8,-46.5,0.8,5.7,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. S","Curitiba"
50.9,30.3,7.5,7.6,9.5,8.3,16.4,41.8,-7.3,4.8,0,-2.1,0,-127.4,0,94.2,"Hip.","01","SF","Cobertura","HVAC","L","Sala","Curitiba"
33.1,26.2,-3.9,9.5,7.3,3.5,5.2,25.5,-10.8,1.1,0,-1.6,0,-67.2,0,9.1,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33,26.6,-3.9,7.4,8.2,2.5,10.3,28.4,-10.5,1.1,0,-1.5,0,-70.6,0,9.1,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.3,39.8,9.4,15.3,11.1,8.9,11.2,46.5,-6.5,5.2,0,-1,0,-134.8,0,96.1,"Hip.","01","SF","Cobertura","HVAC","NE","Sala","Curitiba"
33.1,26.2,-3.9,9.5,5.3,3.5,7.1,25.4,-10.8,1.2,0,-1.6,0,-67.1,0,9.2,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33,26.6,-3.9,7.4,10.7,2.5,7.8,28.5,-10.5,1.1,0,-1.5,0,-70.7,0,9.1,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.3,39.8,9.4,15.3,11.5,8.9,10.9,46.6,-6.5,5.1,0,-1,0,-134.8,0,96.1,"Hip.","01","SF","Cobertura","HVAC","NO","Sala","Curitiba"
33.6,12.3,-2.5,0,3.9,5.1,2.7,11.7,-10.2,0.6,0,-1.2,0.6,-43.7,0.6,4.7,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.5,12.8,-2.5,0,4.1,4.1,5.4,13.7,-10,0.6,0,-1.1,0.3,-45.9,0.3,4.6,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.5,21.1,7.4,4.3,6.6,9.3,6.7,27,-7.4,2.9,0,-0.8,0,-90.8,0,56.5,"Hip.","01","SF","Cobertura","HVAC","SE","Sala","Curitiba"
33.6,12.4,-2.5,0,2.8,5.1,3.9,11.8,-10.2,0.6,0,-1.2,0.6,-43.8,0.6,4.8,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.5,12.8,-2.5,0,5.5,4.1,4.1,13.7,-10,0.6,0,-1.1,0.3,-45.9,0.3,4.6,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.5,21.2,7.4,4.3,6.8,9.3,6.6,27,-7.4,2.9,0,-0.8,0,-90.8,0,56.6,"Hip.","01","SF","Cobertura","HVAC","SO","Sala","Curitiba"
43.2,22.6,-4.5,5.3,8.8,2.4,3.9,20.3,-10.5,0.9,0,-3.1,0.1,-65.6,0.1,10.3,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. N","Curitiba"
43.7,11.7,-3.3,-0.7,4.3,3.5,1.5,8.6,-10.3,1.1,0,-2.7,0.8,-48,0.8,6.8,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. S","Curitiba"
50.9,38.6,10.7,9.7,21.8,10.3,13.8,55.6,-6,5.8,0.1,-1.1,0,-157,0,125.9,"Hip.","01","SF","Cobertura","HVAC","O","Sala","Curitiba"
42.5,40.1,17,15.5,20.2,14.3,21.2,71.3,-2.2,3.7,0.2,-1,0,-164.5,0,147,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.5,25.4,17,9.9,16.2,12.6,15.4,54,-2.4,3.7,0.1,-3.2,0,-135.8,0,117.1,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,50.4,30.1,14.6,23.1,15.4,31.8,84.9,1.3,9,0.1,-0.4,0,-229.8,0,246.3,"Hip.","01","SF","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.6,42.9,18,22,16.9,15.4,12.8,67.1,-2.2,3.2,0.1,-0.5,0,-156.6,0,139.9,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.6,42.4,18,16.5,18.7,10.4,22.8,68.4,-2,3.1,0.1,-0.5,0,-157.6,0,140.2,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.2,57.5,32,25.7,18.2,17.7,18.5,80.1,2.1,8.3,0.2,-0.2,0,-223.5,0,235.5,"Hip.","01","SF","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
32.6,42.8,18,22,12.8,15.4,16.7,66.9,-2.2,3.2,0.1,-0.5,0,-156.4,0,139.6,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.6,42.3,18,16.5,22.9,10.4,18.7,68.4,-2,3.1,0.1,-0.5,0,-157.6,0,140.2,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.2,57.5,32,25.7,18.7,17.7,18.1,80.1,2.1,8.2,0.2,-0.2,0,-223.5,0,235.5,"Hip.","01","SF","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
32.7,24.8,17.6,10.2,11.9,15.7,9.1,46.9,-2.1,2.3,0.1,-0.2,0,-119.4,0,98.5,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.7,24.6,17.6,6.9,13,11.7,15.8,47.3,-1.9,2.3,0.1,-0.2,0,-119.8,0,98.1,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,34.1,28.5,12,12.9,18.4,13,56.4,0.8,5.5,0.2,-0.1,0,-166.8,0,168.2,"Hip.","01","SF","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
32.7,24.7,17.6,10.2,9.1,15.7,11.8,46.8,-2.1,2.3,0.1,-0.2,0,-119.3,0,98.3,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.7,24.6,17.6,6.9,15.8,11.7,13,47.3,-1.9,2.3,0.1,-0.2,0,-119.8,0,98.1,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,34.1,28.5,12,13.1,18.4,12.8,56.4,0.8,5.5,0.2,-0.1,0,-166.8,0,168.2,"Hip.","01","SF","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
42.5,39.8,17.4,15.2,21.3,14.3,19.7,70.5,-2,3.5,0.2,-1,0,-163.3,0,146,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
42.5,25.2,17.4,10,15.4,12.3,15.8,53.5,-2.2,3.4,0.1,-3.4,0,-134.6,0,116.4,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
50.7,54.4,32.9,16.1,35.3,16.8,26.1,94.4,2.8,9.8,0,-0.2,0,-250.6,0,269,"Hip.","01","SF","Cobertura","HVAC","O","Sala","Rio de Janeiro"
42.7,28.5,2,8.8,9.7,6.5,12.8,37.8,-7,1.9,0,-2.1,0,-99.6,0,52.6,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. N","São Paulo"
43,16.7,2.8,3.1,6.6,6.7,8.2,24.7,-7,2,0,-3.8,0.1,-77.1,0.1,41.7,"Hip.","01","SF","Cobertura","HVAC","L","Dorm. S","São Paulo"
50.8,39,14.7,10.4,15,11.1,22.8,59.3,-3.7,6.4,0,-1,0,-167.7,0,153.6,"Hip.","01","SF","Cobertura","HVAC","L","Sala","São Paulo"
32.8,32,3.1,13.8,10.7,7.7,7.9,40,-7.2,1.9,0,-1,0,-98.5,0,50.6,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 1","São Paulo"
32.8,32,3.2,10.6,11.8,5.3,14.7,42.4,-6.9,1.8,0,-0.9,0,-101.1,0,50.5,"Hip.","01","SF","Cobertura","HVAC","NE","Dorm. 2","São Paulo"
39.3,45.9,16.5,19,13.6,12,13.8,58.4,-2.9,6.2,0.1,-0.6,0,-165.6,0,150,"Hip.","01","SF","Cobertura","HVAC","NE","Sala","São Paulo"
32.8,32,3.1,13.8,7.9,7.7,10.5,39.8,-7.2,1.9,0,-1,0,-98.4,0,50.4,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 1","São Paulo"
32.8,32,3.2,10.6,14.8,5.3,11.7,42.4,-6.9,1.8,0,-0.9,0,-101.1,0,50.5,"Hip.","01","SF","Cobertura","HVAC","NO","Dorm. 2","São Paulo"
39.3,45.9,16.5,19,14,12,13.5,58.5,-2.9,6.2,0.1,-0.6,0,-165.6,0,150.1,"Hip.","01","SF","Cobertura","HVAC","NO","Sala","São Paulo"
33.1,16.9,3.8,3.7,6.7,8.8,4.9,24.1,-6.9,1.1,0,-0.7,0.1,-69.7,0.1,34.8,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 1","São Paulo"
33,17.1,3.8,2.5,7.2,6.7,9,25.4,-6.7,1.1,0,-0.7,0,-71.3,0,34.5,"Hip.","01","SF","Cobertura","HVAC","SE","Dorm. 2","São Paulo"
39.4,26,14.2,7.3,8.9,12.7,9.1,37.9,-3.9,3.8,0.1,-0.4,0,-118.2,0,99.3,"Hip.","01","SF","Cobertura","HVAC","SE","Sala","São Paulo"
33.1,16.9,3.8,3.7,4.9,8.8,6.6,24,-6.9,1.1,0,-0.7,0.1,-69.6,0.1,34.7,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 1","São Paulo"
33,17.1,3.8,2.5,9,6.7,7.2,25.4,-6.7,1.1,0,-0.7,0,-71.3,0,34.5,"Hip.","01","SF","Cobertura","HVAC","SO","Dorm. 2","São Paulo"
39.4,26,14.2,7.3,9.1,12.7,8.9,37.9,-3.9,3.8,0.1,-0.4,0,-118.2,0,99.3,"Hip.","01","SF","Cobertura","HVAC","SO","Sala","São Paulo"
42.7,28.3,2.4,8.6,13,6.5,9.4,37.4,-6.9,1.8,0,-1.9,0,-99.4,0,52.5,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. N","São Paulo"
43,16.7,3.4,3.2,8.3,6.5,6.6,24.6,-6.9,1.8,0,-4.5,0.1,-76.4,0.1,41.3,"Hip.","01","SF","Cobertura","HVAC","O","Dorm. S","São Paulo"
50.8,42.1,17.5,11.7,25.6,12.3,17.5,67,-2.6,7.1,0.1,-0.4,0,-184.9,0,172.5,"Hip.","01","SF","Cobertura","HVAC","O","Sala","São Paulo"
