"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,0.7,1.7,-2.1,1.6,2.6,7.3,19,0,-9.1,NA,4.8,0,-1.7,0,9.8,"Hip.","01","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
0,-1.5,0,0,0,0,-14.3,-7.6,0,0,NA,16.7,37.5,0,37.5,7.1,"Hip.","01","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
0,1.4,0,0,25,1.4,17,10.1,1.4,-34.8,NA,21.7,NA,-1.4,NA,11,"Hip.","01","TV","Intermediário","HVAC","L","Sala","Curitiba"
0,8.6,12,57.3,7.2,10.3,13.6,34.1,-1.1,13.3,NA,21.1,NA,-13.2,NA,76.5,"Hip.","01","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
0,8,11.8,68.3,13.2,10,12.2,26.6,-1.1,13.3,NA,22.2,NA,-12.7,NA,74.3,"Hip.","01","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.3,4.6,6.1,49,11.8,4.8,5.7,20.1,-1.5,-20.8,-100,15.4,NA,-6.4,NA,15.7,"Hip.","01","TV","Intermediário","HVAC","NE","Sala","Curitiba"
0,8.6,11.9,58.7,13.3,10.3,8.5,33.7,-1.1,12.5,NA,21.1,NA,-13.2,NA,77.8,"Hip.","01","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
0,8,11.8,68.3,12,10,12.2,26.6,-1.1,13.3,NA,22.2,NA,-12.7,NA,74.3,"Hip.","01","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.3,4.6,6.1,49,6.6,7.1,12,20.1,-1.5,-20.8,-100,15.4,NA,-6.4,NA,15.7,"Hip.","01","TV","Intermediário","HVAC","NO","Sala","Curitiba"
0.3,-3.7,-11.1,2.4,0,-35.8,-6.9,-57.5,3.4,-14.3,NA,31.2,Inf,4.7,Inf,20,"Hip.","01","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0.3,-2.3,-6.3,1.6,-9.8,-24,-5.6,-21.4,2.3,-14.3,NA,26.7,NA,3.7,NA,25,"Hip.","01","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
