"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.600000000000001,2.9,-0.5,1.6,8.2,4.3,-0.199999999999999,13.9,-0.8,0.2,0,-0.2,-2.5,-12.1,-2.5,2.6,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.600000000000001,1.9,-0.6,6.5,4.9,-0.4,1.1,12.1,-0.800000000000001,0.2,0,-0.0999999999999999,-3.4,-8.6,-3.4,1.8,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
-0.199999999999996,2.7,-0.2,1.7,5.6,0.6,1.7,9.6,-0.7,0.5,0,-0.0999999999999999,-0.1,-11.6,-0.1,10.4,"Hip.",1,"TV","Cobertura","HVAC","L","Sala","Curitiba"
-0.300000000000004,3,-0.3,1.4,2.3,6.4,0.399999999999999,10.4,-0.699999999999999,0.1,0,-0.1,-0.9,-11,-0.9,2.5,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.0999999999999943,2.5,-0.2,0.699999999999999,1.2,5.1,0.9,8,-0.6,0.1,0,-0.1,-0.4,-9.2,-0.4,2.3,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,2.5,0.0999999999999996,1.2,1.1,4.5,0.5,7.4,-0.4,0.4,0,0,0,-10,0,11.5,"Hip.",1,"TV","Cobertura","HVAC","NE","Sala","Curitiba"
-0.300000000000004,2.9,-0.2,1.3,0.4,6.4,1.8,9.9,-0.699999999999999,0.0999999999999999,0,-0.1,-0.9,-10.4,-0.9,2.4,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.0999999999999943,2.5,-0.2,0.699999999999999,1,5.1,1.1,8,-0.6,0.2,0,-0.1,-0.4,-9.2,-0.4,2.4,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,2.5,0.0999999999999996,1.2,0.6,4.5,1,7.4,-0.4,0.4,0,0,0,-10.1,0,11.6,"Hip.",1,"TV","Cobertura","HVAC","NO","Sala","Curitiba"
-0.399999999999999,2,-0.7,7,1,1,0.3,9.2,-0.9,0.1,0,-0.1,-2,-7.2,-2,1.4,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
-0.300000000000004,2,-0.5,5.4,0.899999999999999,0.7,0.9,7.9,-0.7,0.1,0,-0.1,-1.4,-6.9,-1.4,1.4,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
-0.100000000000001,2.3,-0.2,5.1,1,1.1,0.6,7.8,-0.600000000000001,0.3,0,0,-0.2,-9.39999999999999,-0.2,7.9,"Hip.",1,"TV","Cobertura","HVAC","SE","Sala","Curitiba"
-0.399999999999999,1.9,-0.7,7.1,0.3,1,0.5,8.8,-0.9,0.1,0,-0.1,-1.9,-6.9,-1.9,1.4,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
-0.300000000000004,1.9,-0.5,5.4,0.9,0.7,0.899999999999999,8,-0.7,0.1,0,-0.1,-1.4,-6.9,-1.4,1.4,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
-0.100000000000001,2.3,-0.2,5.1,0.699999999999999,1.1,0.9,7.8,-0.600000000000001,0.3,0,0,-0.2,-9.3,-0.2,7.8,"Hip.",1,"TV","Cobertura","HVAC","SO","Sala","Curitiba"
-0.5,2.6,-0.4,1.2,0.199999999999999,4.8,6.2,12.3,-0.699999999999999,0.2,0,-0.2,-2.3,-10.7,-2.3,3.3,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
-0.600000000000001,1.6,-0.5,7.1,1.6,-0.8,2.6,10.6,-0.7,0.2,0,-0.0999999999999996,-2.9,-7.4,-2.9,2,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
-0.199999999999996,2.5,-0.0999999999999996,1.9,1.8,0.9,3.8,8.3,-0.6,0.399999999999999,0,0,-0.1,-10.2,-0.1,9.3,"Hip.",1,"TV","Cobertura","HVAC","O","Sala","Curitiba"
0,1.1,0.300000000000001,0.199999999999999,1.3,0,-0.699999999999999,0.900000000000006,-0.1,0,0,0,0,-1.79999999999998,0,4.40000000000001,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
0,0.300000000000001,0.100000000000001,2.9,-1.9,-1.8,0.799999999999997,0,-0.0999999999999999,0.1,0,-0.1,0,-0.299999999999983,0,1.40000000000001,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
0,0.100000000000001,0,0.800000000000001,-1.2,-0.5,0,-1,0,0.100000000000001,0,0,0,0.800000000000011,0,2,"Hip.",1,"TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
0,0.399999999999999,-0.199999999999999,-1.2,-0.699999999999999,-0.100000000000001,-0.699999999999999,-2.7,-0.2,-0.1,0,0,0,3,0,-0.699999999999989,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,0.300000000000004,-0.300000000000001,-1,-1.2,-0.199999999999999,-1.3,-3.8,-0.2,-0.0999999999999996,0,0,0,4.30000000000001,0,-2.70000000000002,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,-0.100000000000001,0,0.200000000000003,0,-1.4,-0.0999999999999979,-1.3,0,0.2,0,0,0,1,0,0.700000000000017,"Hip.",1,"TV","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
0,0.400000000000006,-0.199999999999999,-1.2,-0.699999999999999,-0.199999999999999,-0.600000000000001,-2.8,-0.3,-0.1,0,0,0,3.19999999999999,0,-1.09999999999999,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,0.300000000000004,-0.200000000000003,-0.900000000000002,-1.3,-0.300000000000001,-1.2,-3.7,-0.2,-0.0999999999999996,0,0,0,4.30000000000001,0,-2.60000000000002,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,-0.100000000000001,0,0.200000000000003,0,-1.4,0,-1.2,0,0.100000000000001,0,0,0,0.900000000000006,0,0.899999999999977,"Hip.",1,"TV","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
-0.0999999999999943,0.200000000000003,-0.199999999999999,1.8,-1.3,-0.699999999999999,-0.4,-0.5,-0.2,0,0,0,0,0.900000000000006,0,-1.09999999999999,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
-0.0999999999999943,0.600000000000001,-0.199999999999999,1.2,-0.600000000000001,-0.4,-0.5,-0.399999999999999,-0.2,0,0,-0.1,0,0.400000000000006,0,-0.700000000000003,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,0.600000000000001,0.100000000000001,0.699999999999999,0.199999999999999,0.400000000000002,0.299999999999999,1.8,-0.1,0.2,0,0,0,-2.70000000000002,0,5.69999999999999,"Hip.",1,"TV","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
-0.0999999999999943,0.300000000000001,-0.199999999999999,1.7,-0.5,-0.700000000000003,-1.3,-0.700000000000003,-0.3,0,0,0,0,1.10000000000002,0,-1.3,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
-0.0999999999999943,0.600000000000001,-0.199999999999999,1.2,-0.5,-0.4,-0.600000000000001,-0.399999999999999,-0.2,0,0,-0.1,0,0.400000000000006,0,-0.600000000000009,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,0.600000000000001,0.100000000000001,0.699999999999999,0.299999999999999,0.400000000000002,0.200000000000001,1.8,-0.1,0.0999999999999996,0,0,0,-2.69999999999999,0,5.80000000000001,"Hip.",1,"TV","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
0,0.5,0.100000000000001,0.100000000000001,-1.2,-0.5,0.5,-1.10000000000001,-0.1,0,0,0,0,1,0,1.30000000000001,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
0,-0.299999999999997,0,2.5,0.300000000000001,-1.9,-2.8,-1.89999999999999,-0.1,0,0.1,0,0,2.40000000000001,0,-1.29999999999998,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
-0.0999999999999943,-0.5,-0.200000000000003,0.699999999999999,0.299999999999997,-0.5,-3.3,-2.89999999999999,0,0,0,0,0,3.70000000000002,0,-1.30000000000001,"Hip.",1,"TV","Cobertura","HVAC","O","Sala","Rio de Janeiro"
-0.399999999999999,2.3,-0.100000000000001,1,5.1,2.7,-0.100000000000001,8.7,-0.5,0.2,0,-0.1,-0.5,-9.40000000000001,-0.5,7.8,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. N","São Paulo"
-0.399999999999999,1.4,-0.300000000000001,5,1.8,-0.899999999999999,1,6.8,-0.5,0.2,0,-0.3,-0.7,-6.09999999999999,-0.7,6.1,"Hip.",1,"TV","Cobertura","HVAC","L","Dorm. S","São Paulo"
0,1.8,0.0999999999999996,1.4,2.8,0.4,1.1,5.7,-0.3,0.3,0,-0.1,0,-7.5,0,8.60000000000002,"Hip.",1,"TV","Cobertura","HVAC","L","Sala","São Paulo"
-0.200000000000003,2.2,-0.0999999999999996,0.5,1.1,3.6,0.100000000000001,5.4,-0.5,0.1,0,-0.1,-0.1,-6.5,-0.1,5.5,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 1","São Paulo"
0,1.9,-0.100000000000001,0.199999999999999,0.300000000000001,2.8,0.200000000000003,3.6,-0.4,0,0,-0.1,-0.1,-4.59999999999999,-0.1,4.4,"Hip.",1,"TV","Cobertura","HVAC","NE","Dorm. 2","São Paulo"
-0.100000000000001,1.5,0.100000000000001,0.899999999999999,0.799999999999999,2.1,0.299999999999999,4.1,-0.1,0.3,0,0,0,-6.09999999999999,0,7.5,"Hip.",1,"TV","Cobertura","HVAC","NE","Sala","São Paulo"
-0.200000000000003,2.1,-0.0999999999999996,0.5,0.100000000000001,3.6,1.1,5.2,-0.5,0,0,-0.1,-0.1,-6.3,-0.1,5.3,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 1","São Paulo"
0,1.9,-0.100000000000001,0.199999999999999,0.200000000000003,2.8,0.4,3.5,-0.4,0,0,-0.1,-0.1,-4.59999999999999,-0.1,4.4,"Hip.",1,"TV","Cobertura","HVAC","NO","Dorm. 2","São Paulo"
-0.100000000000001,1.6,0.100000000000001,0.899999999999999,0.399999999999999,2.1,0.699999999999999,4.2,-0.1,0.3,0,0,0,-6.09999999999999,0,7.5,"Hip.",1,"TV","Cobertura","HVAC","NO","Sala","São Paulo"
-0.300000000000004,1.4,-0.5,4.6,0,0.299999999999999,0.0999999999999996,5.1,-0.6,0,0,-0.1,-0.3,-4.7,-0.3,4.3,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 1","São Paulo"
-0.199999999999996,1.4,-0.4,3.6,0.399999999999999,0.300000000000001,0.300000000000001,4.5,-0.600000000000001,0.1,0,-0.1,-0.1,-4.59999999999999,-0.1,3.8,"Hip.",1,"TV","Cobertura","HVAC","SE","Dorm. 2","São Paulo"
-0.100000000000001,1.6,0.100000000000001,3.4,0.8,0.9,0.600000000000001,5.5,-0.3,0.2,0,0,0,-7.39999999999999,0,6.59999999999999,"Hip.",1,"TV","Cobertura","HVAC","SE","Sala","São Paulo"
-0.300000000000004,1.3,-0.5,4.6,0,0.4,0,5,-0.6,0,0,-0.1,-0.3,-4.5,-0.3,4.1,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 1","São Paulo"
-0.199999999999996,1.4,-0.4,3.6,0.4,0.300000000000001,0.399999999999999,4.5,-0.600000000000001,0.1,0,-0.1,-0.1,-4.59999999999999,-0.1,3.90000000000001,"Hip.",1,"TV","Cobertura","HVAC","SO","Dorm. 2","São Paulo"
-0.100000000000001,1.6,0.100000000000001,3.4,0.600000000000001,0.9,0.7,5.6,-0.3,0.2,0,0,0,-7.3,0,6.59999999999999,"Hip.",1,"TV","Cobertura","HVAC","SO","Sala","São Paulo"
-0.299999999999997,2,-0.2,1,-0.4,2.5,4.3,7.5,-0.5,0.1,0,-0.1,-0.4,-7.80000000000001,-0.5,6,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. N","São Paulo"
-0.399999999999999,1.1,-0.3,4.8,0.9,-1,1,5.7,-0.5,0.2,0,-0.2,-0.6,-4.59999999999999,-0.6,4.40000000000001,"Hip.",1,"TV","Cobertura","HVAC","O","Dorm. S","São Paulo"
0,1.5,0,1.4,1.3,0.300000000000001,1.4,4.5,-0.3,0.3,0,-0.1,0,-6,0,7.59999999999999,"Hip.",1,"TV","Cobertura","HVAC","O","Sala","São Paulo"
