"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,3.9,-38.6,-3.1,3.2,3.2,-10.8,-133.3,1.3,0,NA,0,NA,5.2,NA,-60,"Hip.","02","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
-0.5,-12,500,2.1,6.1,0,10,8.2,-1.1,0,NA,0,NA,-2.7,NA,0,"Hip.","02","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
0,-2.5,-9.1,5,37.5,-3.6,-3.4,0,1.4,-2.6,NA,0,NA,1.1,NA,-16.1,"Hip.","02","TV","Térreo","HVAC","L","Sala","Curitiba"
0,9.5,-37.3,-9.8,-8,4.5,-10,-10.8,1.3,-9.1,NA,6.7,NA,8,NA,-66.7,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,13.9,-38,-11.9,-11.3,7.1,-12,-12.1,1.3,-10,NA,7.1,NA,9,NA,-100,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,0,-25.4,-7.5,-8,-4.5,-8.5,-7.1,1.7,-9.3,0,0,NA,6.8,NA,-30.2,"Hip.","02","TV","Térreo","HVAC","NE","Sala","Curitiba"
0,9.5,-36.9,-9.6,-9.8,0,-9.4,-10.5,1.3,0,NA,6.7,NA,8.1,NA,-66.7,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,13.9,-38,-11.9,-11.9,7.1,-10,-12.1,1.3,-10,NA,7.1,NA,9.2,NA,-100,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,0,-25.4,-7.5,-8.4,-4.5,-8.1,-7.5,1.7,-7.1,0,0,NA,6.8,NA,-30.2,"Hip.","02","TV","Térreo","HVAC","NO","Sala","Curitiba"
-0.3,-9.9,40.9,4.5,8,-6.1,4.3,62.5,0,20,NA,0,NA,-1.4,NA,NA,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.3,-9.9,16.7,4.8,6.1,-5.3,4.7,9.8,1.1,20,NA,0,NA,-1,NA,NA,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
0,-3.4,17,17.1,7.7,0,7.5,12.1,1.3,4.5,NA,0,NA,-3,NA,-11.6,"Hip.","02","TV","Térreo","HVAC","SE","Sala","Curitiba"
-0.3,-9.9,33.3,4.5,8.7,-4.1,7.1,30.8,0,0,NA,0,NA,-0.8,NA,NA,"Hip.","02","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.3,-9.9,16.7,4.8,4.7,-5.3,6.1,9.8,1.1,20,NA,0,NA,-1,NA,NA,"Hip.","02","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
0,-4.3,17,14.7,7.5,0,5.1,11,1.3,4.5,NA,0,NA,-3,NA,-11.6,"Hip.","02","TV","Térreo","HVAC","SO","Sala","Curitiba"
0,1.9,-35.4,-7.1,-9.6,3.7,8,-11.3,1.3,0,NA,0,NA,5.7,NA,-41.2,"Hip.","02","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
-0.2,-11.1,144.4,2.2,5.7,-4.9,12,12.5,-1.1,0,NA,0,NA,-1.3,NA,-33.3,"Hip.","02","TV","Térreo","HVAC","O","Dorm. S","Curitiba"
0,-2.5,-19.2,0,-5,-5.6,-1.3,-2.8,1.8,-3.7,NA,0,NA,3.7,NA,-18,"Hip.","02","TV","Térreo","HVAC","O","Sala","Curitiba"
0,4.8,-9.7,1.3,1.9,1.8,-0.5,1.3,66.7,2.7,0,0,NA,-0.7,NA,-1.1,"Hip.","02","TV","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,2.1,19.3,8,3.9,4.2,7,5.2,11.1,5.7,0,0,NA,-4.2,NA,4,"Hip.","02","TV","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,2.5,-3.3,2.6,2.1,-0.7,0.9,1.3,6.2,0,0,0,NA,-0.2,NA,0.5,"Hip.","02","TV","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,4.5,-8.9,1.4,-0.6,1.7,0.8,0.9,12.5,0,0,0,NA,-0.4,NA,-1.9,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,4.1,-8,1.3,0.5,2.5,-0.9,0.6,22.2,0,0,0,NA,-0.3,NA,-2.1,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,1.5,-8.7,-0.6,-1.3,0,-2.6,-1,0,-2.4,0,0,NA,1.7,NA,-2,"Hip.","02","TV","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,4.1,-8.9,1.4,0.8,2.3,0,1,25,3,0,0,NA,-0.4,NA,-1.8,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,4.1,-8,1.3,-0.9,2.5,0.5,0.6,22.2,0,0,0,NA,-0.4,NA,-2.1,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,1.5,-8.7,-0.6,-2.6,0,-2,-1,0,-2.4,0,0,NA,1.7,NA,-2,"Hip.","02","TV","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,1.6,20.3,8.2,5.9,5.2,7.9,6.5,33.3,8,0,-25,NA,-5.1,NA,5,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,1.6,22.6,9.2,7.6,5.6,8.2,7.5,0,8,0,0,NA,-5.6,NA,5.8,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,1.6,18.1,10.4,6.8,5.8,9,7.6,33.3,5.4,0,0,NA,-4.7,NA,6.2,"Hip.","02","TV","Térreo","HVAC","SE","Sala","Rio de Janeiro"
0,1.6,20.5,9.3,7.9,4.7,6.7,6.3,33.3,8,0,-25,NA,-5.1,NA,4.9,"Hip.","02","TV","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,1.6,22.6,9.2,8.2,5.6,7.6,7.5,0,8,0,0,NA,-5.6,NA,5.8,"Hip.","02","TV","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,1.2,18.1,10.4,7.9,5.8,7.8,7.6,33.3,5.4,0,0,NA,-4.7,NA,6.1,"Hip.","02","TV","Térreo","HVAC","SO","Sala","Rio de Janeiro"
0,4.3,-7.1,1.9,-0.9,1.7,1.7,1.1,16.7,0,0,0,NA,-0.8,NA,-1.1,"Hip.","02","TV","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
0,1.6,20,6.3,6.5,4.1,3.7,4.9,0,5.6,0,0,NA,-4.1,NA,3.9,"Hip.","02","TV","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
0,1.1,-5.2,2.3,0.4,-0.7,0.7,0.7,0,0,0,0,NA,0.3,NA,-0.1,"Hip.","02","TV","Térreo","HVAC","O","Sala","Rio de Janeiro"
0,1.8,-21.4,-1.3,6.1,4.9,-4.3,-1.1,2.1,0,NA,0,NA,2.3,NA,-16.2,"Hip.","02","TV","Térreo","HVAC","L","Dorm. N","São Paulo"
0,-3.6,25.5,16,11.9,0,5.3,8.6,0,0,NA,0,NA,-2.8,NA,-10.5,"Hip.","02","TV","Térreo","HVAC","L","Dorm. S","São Paulo"
0,-0.5,-9,1.4,2.8,-2.2,-2.1,-0.5,3,-1.6,NA,0,NA,1.3,NA,-5.5,"Hip.","02","TV","Térreo","HVAC","L","Sala","São Paulo"
0,3.3,-22.6,-4.6,-5.1,3.8,-4.2,-3,2.3,-5.3,0,0,NA,3.6,NA,-22,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 1","São Paulo"
0,3.3,-21.9,-4.7,-4.7,5.3,-5.8,-4.1,4.8,0,0,0,NA,4.1,NA,-23.2,"Hip.","02","TV","Térreo","HVAC","NE","Dorm. 2","São Paulo"
0,0,-17.2,-4.3,-5.8,-1,-5.5,-4.2,4,-5.2,0,16.7,NA,4.4,NA,-10.5,"Hip.","02","TV","Térreo","HVAC","NE","Sala","São Paulo"
0,3.3,-22,-3.7,-4.2,3.8,-4.1,-3,4.5,0,0,0,NA,3.6,NA,-21.9,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 1","São Paulo"
0,3.3,-21.9,-4.7,-5.8,5.3,-4.7,-4.1,4.8,-5.6,0,0,NA,4.1,NA,-23.2,"Hip.","02","TV","Térreo","HVAC","NO","Dorm. 2","São Paulo"
0,0,-17.2,-4.3,-5.4,-1,-4.9,-3.9,4,-3.5,0,16.7,NA,4.3,NA,-10.5,"Hip.","02","TV","Térreo","HVAC","NO","Sala","São Paulo"
-0.3,-2.6,16.1,42.9,6.1,0,5.9,6,1.9,8.3,NA,0,NA,-2.8,NA,-15.3,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 1","São Paulo"
0,-2,13.6,50,6.8,1.3,5.6,6.1,2,0,NA,0,NA,-2.9,NA,-15.8,"Hip.","02","TV","Térreo","HVAC","SE","Dorm. 2","São Paulo"
0,-1.6,12.1,28.6,4.6,2.3,6.2,6.8,2.3,5.7,0,0,NA,-2.9,NA,0,"Hip.","02","TV","Térreo","HVAC","SE","Sala","São Paulo"
-0.3,-2.6,16.1,38.5,5.9,0,4.5,5.9,0,8.3,NA,0,NA,-2.8,NA,-14.8,"Hip.","02","TV","Térreo","HVAC","SO","Dorm. 1","São Paulo"
