"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,6.6,-3.2,6.5,0,-10,10.3,9.5,-2.3,4.3,Inf,-3.5,3.2,22.2,-4.3,0.1,0.3,0,"Hip.","03","C10","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.2,-6.5,15.6,4.5,500,6.5,-15.3,2.1,2,4.3,NA,-0.6,0,0,2.4,-0.6,0.3,-0.8,"Hip.","03","C10","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.4,9.7,3,-40,-3.7,2.6,34.7,36.1,-3.4,-38.5,NA,-2.9,0,15.1,24.1,-5.8,2.2,-3.5,"Hip.","03","C10","Intermediário","AFN","L","Sala","Curitiba"
-0.6,12.1,6.5,28.4,1.9,-38.5,15.6,14.8,-4.4,14.8,-100,-8.2,6.1,100,-18.9,0,2.6,-0.6,"Hip.","03","C10","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.3,14,11,41.3,15.1,-62.5,11.2,17.7,-6.8,14.3,-100,-10.7,5.4,111.1,-33.3,-0.6,3.2,-1.2,"Hip.","03","C10","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.8,20.3,6.1,127.5,24,-109.1,4.9,44.4,-12.3,-21.2,NA,-11.3,3.2,22.3,-100,-8.3,1.9,1.9,"Hip.","03","C10","Intermediário","AFN","NE","Sala","Curitiba"
-0.3,12.4,6.3,30.5,15.6,-46.2,2.5,14.9,-4.4,14.3,-100,-8.5,2.9,100,-18.9,-0.3,2.9,0.6,"Hip.","03","C10","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.3,14,11,40.4,11.1,-75,15.2,18,-6.8,14.8,-100,-10.7,5.4,111.1,-33.3,-0.6,3.2,-1.2,"Hip.","03","C10","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.8,20.3,6.1,127.5,4.9,-109.1,24,45,-12.3,-21.2,NA,-11.3,3.2,23,-100,-8.6,1.9,1.9,"Hip.","03","C10","Intermediário","AFN","NO","Sala","Curitiba"
0.3,-11.8,-1.4,19.3,5.5,-41.7,-3.7,-21.6,6.5,-5.9,NA,9,-7.1,100,12.7,-1.2,0.3,-6.1,"Hip.","03","C10","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0.3,-9.7,0,16.7,-4.4,-36.8,-6.2,-16.1,6.5,-5.9,NA,7.5,-3.3,0,21.1,-1.4,0.3,-1.9,"Hip.","03","C10","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0.2,-5.5,2.2,14.3,-24.1,-23.1,-8.3,-27.1,5,-50,NA,5.5,-4.2,0,65.5,-2.3,1,-4.6,"Hip.","03","C10","Intermediário","AFN","SE","Sala","Curitiba"
0,-11,-1.4,17.5,-3.7,-40.5,6,-19.6,8.5,-5.9,NA,8.5,-7.1,0,11.7,-1,1,-5.4,"Hip.","03","C10","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0.3,-9.7,0,16.7,-6.2,-36.8,-3.5,-16.1,6.5,0,NA,7.6,-3.3,0,21.1,-1.3,0.3,-1.9,"Hip.","03","C10","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0.2,-5.5,2.2,14.3,-12,-23.1,-23.3,-25,5,-50,NA,5.5,-4.2,0,65.5,-2.3,1,-4.6,"Hip.","03","C10","Intermediário","AFN","SO","Sala","Curitiba"
-0.2,5.6,-1,10.7,10.2,-14.3,-5.3,9.6,-2.2,11.1,0,-3.9,0,14.3,-4.6,0,0.3,0,"Hip.","03","C10","Intermediário","AFN","O","Dorm. N","Curitiba"
0,-5.6,16,2.9,-16.7,10.2,5.2,2.7,0,11.1,NA,-1,0,7.7,1,-0.3,0.6,-1.5,"Hip.","03","C10","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.6,16.3,-3.2,-27.3,77,0,-Inf,37.3,-7,-36.4,NA,-5.8,0,8.3,25,-4.9,2.4,-3.4,"Hip.","03","C10","Intermediário","AFN","O","Sala","Curitiba"
-0.8,8.1,-0.9,8.9,-9.7,-6.7,11.8,7.3,-5,11.5,NA,-4.1,2.6,3.2,NA,-6.1,0.3,0.5,"Hip.","03","C10","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.3,-5.6,13.3,7.5,3.8,8.8,-19.1,0.4,0,7.1,NA,-0.9,0,0.2,NA,-0.2,0.5,0,"Hip.","03","C10","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.8,15.5,4,-18.8,-500,1.9,68.2,33.3,-6.2,-33.3,NA,-7,3.3,0.2,NA,-1.4,2.3,-1.9,"Hip.","03","C10","Intermediário","AFN","L","Sala","Rio de Janeiro"
