"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,2.9,0,1,-2.4,-Inf,5.6,3.4,0,0,0,-1.2,0,23.1,2,-0.7,0.6,-4.9,"Hip.","03","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-0.8,1.7,2.7,14.3,3.4,-13,-2.5,0,4.8,NA,0,-3.8,22.2,5.8,-1.3,1.2,-3.5,"Hip.","03","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.4,1.2,0,-18.2,0,2.6,24.7,27.1,0,-39.3,NA,-1.1,0,7.9,12.5,-4,1.8,-6.3,"Hip.","03","C10","Cobertura","AFN","L","Sala","Curitiba"
-0.3,3.5,0,17.5,2,-300,7.2,8.9,-4.3,8.3,-100,-3.3,0,40,0,-0.7,2.2,-5.1,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-0.3,1.4,0,26.4,7.4,-300,5.2,10.5,-4.3,8.3,-100,-3.7,0,43.7,0,-0.9,2.2,-3.4,"Hip.","03","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-0.5,4,1.5,94.3,20.4,-18.7,3.4,40.4,-3.6,-21.9,NA,-6.3,0,12.6,16.7,-6.5,1.9,-2.9,"Hip.","03","C10","Cobertura","AFN","NE","Sala","Curitiba"
-0.3,3.1,0,19,7.2,-300,1.8,8.9,-2.1,8,-100,-3.3,0,43.7,0,-0.8,2.2,-5.1,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-0.3,1.4,0,25.5,5.2,-300,7.5,10.2,-4.3,8.3,-100,-3.6,0,43.7,0,-0.9,2.2,-3.4,"Hip.","03","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-0.5,4,1.5,94.3,5.2,-18.7,20.4,41.4,-3.6,-21.9,NA,-6.1,0,12.6,16.7,-6.5,1.9,-2.9,"Hip.","03","C10","Cobertura","AFN","NO","Sala","Curitiba"
0.3,-4.7,2.8,13.6,4,-35.6,-1.2,-18.3,6,-5.9,NA,6.2,-7.4,25,20.9,-3.1,1.3,-7.7,"Hip.","03","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,-4.4,1.3,12.2,-3.4,-30.1,-3.4,-12.6,6,0,NA,5.1,-3.4,37.5,22.1,-2.7,1.3,-6.6,"Hip.","03","C10","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-4,8.1,11.4,-15.2,-16.4,-3.3,-15,6.6,-42.9,NA,3.8,0,1.4,27.8,-2.3,1.6,-7.6,"Hip.","03","C10","Cobertura","AFN","SE","Sala","Curitiba"
0.3,-4.7,2.7,13.6,-2.4,-34.4,4.8,-16.9,6,-5.9,NA,5.9,-3.7,22.2,23.6,-3.1,1.3,-7.7,"Hip.","03","C10","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,-4.4,1.3,12.2,-3.4,-30.1,-3.4,-12.6,6,0,NA,5.1,-3.4,37.5,22.1,-2.7,1.3,-6.6,"Hip.","03","C10","Cobertura","AFN","SO","Dorm. 2","Curitiba"
0.3,-4,8.1,11.4,-3.3,-15.2,-17.6,-15,4.9,-42.9,NA,3.6,0,1.4,27.8,-2.5,1.6,-7.6,"Hip.","03","C10","Cobertura","AFN","SO","Sala","Curitiba"
-0.2,1.3,0,5,5.5,-25,-25,5.3,0,4.2,0,-1.4,0,20.8,2.2,-0.8,0.9,-4.1,"Hip.","03","C10","Cobertura","AFN","O","Dorm. N","Curitiba"
-0.2,-2.8,1.7,2.6,-12.4,5.9,8.1,1.1,0,4,NA,-0.2,0,22.2,5.9,-1.4,1.2,-4.3,"Hip.","03","C10","Cobertura","AFN","O","Dorm. S","Curitiba"
-0.4,7.2,3.2,-6.7,61.5,2.4,-25,35.1,-1.8,-35.3,-100,-4.8,0,5.5,9.8,-3.7,2.9,-5.5,"Hip.","03","C10","Cobertura","AFN","O","Sala","Curitiba"
-0.3,3.4,-1.3,3.4,-16.7,-13.6,6.8,2.2,-4.9,4.2,NA,-1.3,0,0.6,NA,-1.1,0.5,-1.6,"Hip.","03","C10","Cobertura","AFN","L","Dorm. N","Rio de Janeiro"
