"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.8,23.6,5.8,11,1.6,2.3,14.8,29.8,-5.1,2.5,0.1,-105.4,3.1,2.8,8.3,89,33.4,12.5,"Hip.","03","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
47.1,13.9,5.8,-2.2,1.7,10.8,9.1,19.4,-5.6,2.6,0,-86.5,2.7,2,13.3,84.8,33.3,11.9,"Hip.","03","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
49.8,18.8,5.4,2.7,-0.3,4.6,10.6,17.6,-6.6,1.9,0,-84.2,2.8,33.9,4.5,61.5,33.7,12.4,"Hip.","03","TV","Cobertura","AFN","L","Sala","Curitiba"
35.9,28.3,7,16.6,11.7,3.4,11.2,42.9,-5.3,2.7,0,-112.3,3.2,3.3,5.7,91,33.3,13.7,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.9,29.2,7.4,13.4,16.8,2.4,18.2,50.8,-5.2,2.8,0,-121.6,3.5,3.4,5,91.6,33.2,14.5,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.4,27.5,6.8,11.1,6.9,2.2,6.9,27.2,-6.3,2.7,0,-95.6,3.1,40.5,2,57.5,32.9,13.6,"Hip.","03","TV","Cobertura","AFN","NE","Sala","Curitiba"
35.9,28.4,7,16.7,11.3,3.4,12,43.4,-5.3,2.8,0,-113,3.2,3.4,5.7,90.8,33.4,13.7,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.9,29.2,7.4,13.4,18.4,2.4,16.6,50.8,-5.2,2.8,0,-121.7,3.5,3.4,5,91.6,33.2,14.5,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.4,27.5,6.8,11.1,7,2.2,6.9,27.2,-6.3,2.6,0,-95.6,3.1,40.5,2,57.5,32.9,13.6,"Hip.","03","TV","Cobertura","AFN","NO","Sala","Curitiba"
36.3,15.6,7.2,-1,8.3,11,7.7,26,-5.2,1.8,0,-82.7,2.7,1.8,11.3,86.8,32.7,12.5,"Hip.","03","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.3,16.6,7.4,-0.7,11.3,8.9,11.9,31.3,-5.1,1.8,0,-89.3,2.9,1.9,10,88.1,32.6,13.2,"Hip.","03","TV","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39.6,13,6.5,-1.8,3.6,6.3,3.6,11.8,-6.3,1.3,0,-65.1,2.5,26,6.1,67.9,33,12.5,"Hip.","03","TV","Cobertura","AFN","SE","Sala","Curitiba"
36.2,15.7,7.2,-1,7.7,11,8.8,26.6,-5.2,1.8,0,-83.3,2.7,1.9,11.1,86.9,32.7,12.6,"Hip.","03","TV","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.3,16.6,7.4,-0.7,11.9,8.9,11.3,31.3,-5.1,1.8,0,-89.4,2.9,1.9,10,88.1,32.6,13.2,"Hip.","03","TV","Cobertura","AFN","SO","Dorm. 2","Curitiba"
