"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.1,1.9,-0.3,0.8,-0.1,-0.1,1.6,2.2,-0.1,0.2,0,0.2,-0.2,-3.5,-0.2,0.5,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. N","Curitiba"
0.1,-0.6,0.7,0.6,0.7,0,-1.3,0.1,0.2,0,0,0.3,0.4,-1,0.4,0.1,"Hip.","04","C10","Intermediário","HVAC","L","Dorm. S","Curitiba"
0,0.8,0.4,0.1,1,-0.2,1.2,2.1,0.2,-1.4,0,0.4,0,-1.9,0,8.2,"Hip.","04","C10","Intermediário","HVAC","L","Sala","Curitiba"
-0.1,3.9,0.9,5.8,0.6,-0.4,1,7,-0.2,0.2,0,0.3,0,-11.9,0,2.1,"Hip.","04","C10","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.2,4.9,2,6.5,2.1,-0.5,3.2,11.2,-0.4,0.3,0,0.2,0,-18,0,2.3,"Hip.","04","C10","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
0,5.2,1.4,6.4,2.1,-0.5,1.2,9.4,-0.4,-0.7,-0.1,0.1,0,-14.3,0,15.2,"Hip.","04","C10","Intermediário","HVAC","NE","Sala","Curitiba"
0,3.9,1,6,1.1,-0.4,0.5,7.2,-0.2,0.2,0,0.2,0,-12.2,0,2.2,"Hip.","04","C10","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.2,4.9,2,6.5,3.3,-0.5,2,11.3,-0.4,0.4,0,0.2,0,-18,0,2.3,"Hip.","04","C10","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
0,5.2,1.4,6.4,1.3,-0.5,2.1,9.3,-0.4,-0.7,-0.1,0.1,0,-14.2,0,15.1,"Hip.","04","C10","Intermediário","HVAC","NO","Sala","Curitiba"
0.2,-0.9,0.2,1.7,-0.3,-4.3,0,-3,0.5,-0.1,0,0.5,0.9,1.4,0.9,0,"Hip.","04","C10","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0.1,-0.3,0.7,0.8,-0.1,-1.8,0.2,-0.9,0.2,0,0,0.3,0.1,-0.2,0.1,0,"Hip.","04","C10","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.1,-0.7,0.5,1.1,-0.6,-1.6,0.1,-1,0.3,-0.8,0,0.3,0,2,0,-0.1,"Hip.","04","C10","Intermediário","HVAC","SE","Sala","Curitiba"
0.3,-0.9,0.2,1.5,-0.1,-4.1,-0.3,-3,0.4,-0.1,0,0.5,0.9,1.5,0.9,0,"Hip.","04","C10","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
0.1,-0.3,0.7,0.8,0.2,-1.8,-0.1,-0.9,0.2,0,0,0.3,0.1,-0.2,0.1,0,"Hip.","04","C10","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
0.1,-0.8,0.5,1.1,0.1,-1.6,-0.6,-1,0.3,-0.8,0,0.3,0,2.2,0,-0.1,"Hip.","04","C10","Intermediário","HVAC","SO","Sala","Curitiba"
-0.1,1.8,-0.1,1.5,1.7,-0.2,-0.2,2.9,-0.1,0.3,-0.1,-0.2,-0.1,-4.3,-0.1,1.1,"Hip.","04","C10","Intermediário","HVAC","O","Dorm. N","Curitiba"
