"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0,3.9,-7.7,3.8,0,0,12.5,8,0,0,NA,9.5,10.9,-5,10.9,26.5,"Hip.","04","C10","Cobertura","HVAC","L","Dorm. N","Curitiba"
0,-6.9,0,3.3,4.4,-8.3,-23.7,-1.7,2.6,-12.5,NA,26.3,15.5,-3.3,15.3,21.7,"Hip.","04","C10","Cobertura","HVAC","L","Dorm. S","Curitiba"
0.2,-2.8,6.6,2.9,25,0,8.2,11.2,3.4,-34.9,NA,20.8,100,-0.7,100,9.3,"Hip.","04","C10","Cobertura","HVAC","L","Sala","Curitiba"
-0.3,3,0,88.6,5,-3.3,0,97.4,-2.6,0,NA,27.8,11.1,-10.2,11.1,45.7,"Hip.","04","C10","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
0,0.5,12.5,138.7,6.3,-4.3,15.2,50,-2.6,0,NA,27.8,25,-11.6,25,43.2,"Hip.","04","C10","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,1.7,5.7,58.4,20,100,8.8,28,0,-19.6,-100,30.8,NA,-6.7,NA,14.5,"Hip.","04","C10","Cobertura","HVAC","NE","Sala","Curitiba"
-0.3,2.9,0,90.9,2.2,-3.3,2.1,88.6,-2.6,0,NA,27.8,11.1,-10.2,11.1,42.1,"Hip.","04","C10","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
0,0.5,12.5,138.7,16.1,-4.3,4.8,50,-2.6,10,NA,27.8,25,-11.9,25,43.2,"Hip.","04","C10","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,1.7,5.7,58.4,8.8,100,18.7,28.2,0,-21.7,-100,30.8,NA,-6.7,NA,14.5,"Hip.","04","C10","Cobertura","HVAC","NO","Sala","Curitiba"
0.3,-12.7,40,7.8,-8.7,-47.4,-13.3,-120,5.1,-16.7,NA,37.5,42.1,2.4,42.1,21.1,"Hip.","04","C10","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
