"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
0,-7.9,3.6,-1.1,-1.1,-1.6,-0.8,-1.4,1.4,3.8,NA,3.5,-3.1,15.6,25,-2,1.4,-6.7,"Hip.","04","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.2,-4.1,4.8,3.4,0,0,-1.2,-0.4,1.4,0,NA,2.1,0,22.7,11.6,-1.9,1.7,-7.2,"Hip.","04","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
-0.2,-10.3,4.2,-1.8,0,-1.6,20.8,7.3,2.6,-31,NA,1,0,1.2,140,-3.4,3.4,-8.7,"Hip.","04","SF","Cobertura","AFN","L","Sala","Curitiba"
-0.3,-7.1,-2.3,3.7,-0.9,-1.3,-2.3,0.5,-1.4,-3.8,NA,3.2,-3.1,24.2,25,-2.2,2.3,-8.3,"Hip.","04","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
0,-8.7,-2.1,3.8,-2.2,-1.9,-2,-0.5,1.5,-3.7,NA,3.8,-2.9,25,35.9,-2.4,2,-8.2,"Hip.","04","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
0,-8.2,9.4,26.5,4.8,3.1,1.2,10,5.6,-20.5,NA,-0.1,0,1.3,333.3,-3,1.7,-9.7,"Hip.","04","SF","Cobertura","AFN","NE","Sala","Curitiba"
0,-7.4,-4.5,3.7,-1.1,-1.3,-1.9,0.2,-1.4,-3.7,NA,3.3,-3.1,24.2,25,-2.2,2.3,-8.3,"Hip.","04","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
0,-8.7,0,3.8,-1.9,-1.9,-2.3,-0.5,0,0,NA,3.9,-2.9,25,35.9,-2.4,2,-8.2,"Hip.","04","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
0,-7.9,9.4,26.5,2.3,3.1,4.9,9.7,5.6,-22.7,NA,0,0,1.3,333.3,-2.9,1.7,-9.7,"Hip.","04","SF","Cobertura","AFN","NO","Sala","Curitiba"
-0.3,-3.8,5.3,0,-2.7,-9.6,-1.7,-5.4,3,0,NA,3.1,0,35,23.1,-2.9,2,-9.7,"Hip.","04","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
0,-3.2,3.3,-3.4,-1.1,-8.6,-2,-3.3,3.1,-5.3,NA,2.7,-3.4,36.8,23,-2.5,2,-8.8,"Hip.","04","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
0.3,-10.5,8.1,0,-1.9,11.6,-1.9,2.4,4.2,-37.9,NA,2.9,0,0,70.8,-2.6,1.5,-9.6,"Hip.","04","SF","Cobertura","AFN","SE","Sala","Curitiba"
-0.3,-3.8,3.4,-2.4,-3.3,-9.6,-4.1,-5.4,3,0,NA,3.2,0,35,23.4,-2.8,2,-9.7,"Hip.","04","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
0,-3.2,3.3,-3.4,-2,-8.6,-2.2,-3.3,3.1,-5.3,NA,2.6,-3.4,36.8,23,-2.6,2,-8.8,"Hip.","04","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
