"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
46.8,25.5,10.9,13.8,2.8,3.3,16.2,36,-5.1,3.3,0,-119,3.4,1.9,4.5,93.6,32.1,15.2,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
47.3,13.4,6.5,-1.9,2.6,12.2,8.1,21,-5.3,3.1,0.1,-88.9,2.9,0.7,8.5,90.8,31.2,13.9,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
49.9,19,8.3,2.4,-0.5,4.5,11.3,17.6,-7,1.8,0,-86.5,2.9,32.4,1.1,66.5,32.9,15,"Hip.","04","TV","Intermediário","AFN","L","Sala","Curitiba"
35.8,31.2,14.7,19.3,13,4.5,14.1,50.8,-5.3,3.6,0,-132.2,3.6,2.8,0.9,96.3,32.9,15.7,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.8,32.8,16.2,15.8,21,3.3,20.6,60.7,-5.2,3.6,0,-145.1,4,2.9,0.4,96.8,32.6,16.3,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
38.3,30.7,13.4,12.9,7.8,2.2,7.5,30.4,-7.2,2.9,0,-107.3,3.4,41.3,0,58.7,33,17.2,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Curitiba"
35.8,31.3,14.8,19.4,14.2,4.5,13.2,51.3,-5.3,3.7,0,-132.9,3.6,2.9,0.8,96.3,32.9,15.6,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.8,32.8,16.2,15.8,20.8,3.3,20.8,60.8,-5.2,3.6,0,-145,4,2.9,0.3,96.8,32.7,16.5,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
38.3,30.7,13.4,12.9,7.6,2.2,7.6,30.4,-7.2,2.8,0,-107.2,3.4,41.3,0,58.7,33,17.2,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Curitiba"
36.5,14.2,7.8,-0.6,7.1,10.2,8,24.8,-4.8,2,0,-81.5,2.8,0.3,7,92.8,29.8,15.1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.5,15.5,8.8,-0.4,11.7,8.5,10.8,30.7,-4.7,2,0,-89.6,3,0.2,3.4,96.4,29.6,16.4,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
39.9,12.1,5.9,-2,3.2,6,3.1,10.4,-6.4,1.1,0,-61.8,2.5,17.8,1.7,80.5,31.2,15.3,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Curitiba"
36.4,14.3,7.9,-0.6,8.1,10.3,7.6,25.3,-4.8,2,0,-82.3,2.8,0.3,6.9,92.8,29.9,15.2,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.5,15.5,8.8,-0.4,10.8,8.5,11.7,30.7,-4.7,2,0,-89.6,3,0.2,3.5,96.3,29.6,16.4,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
39.9,12.1,5.9,-2,3.1,6,3.2,10.4,-6.4,1.1,0,-61.8,2.5,17.8,1.7,80.5,31.2,15.3,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Curitiba"
46.5,27.3,11.8,16.4,17.1,3.5,5.7,42.7,-5.3,4,0.1,-129.1,3.6,3.4,4.2,92.4,33.4,15.3,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
47,15.1,7.2,-1.6,8.6,14.8,6.1,27.9,-5.5,3.8,0,-99,3,1.8,7.8,90.4,32.7,14.2,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
48.9,26.4,10.5,3.1,14.8,5.1,3.6,26.7,-7,2.2,0,-103.8,3.1,40.3,1.5,58.1,35.2,15.3,"Hip.","04","TV","Intermediário","AFN","O","Sala","Curitiba"
34.3,28.5,12.6,15.6,6.6,4.8,18.3,45.4,-4.8,3.8,0,-121.5,4,73.4,0,26.6,38.1,19.7,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
35.9,15.6,8.2,0.2,7.9,14.6,9.2,32,-4.4,3.8,0,-94.8,3.7,57.6,0,42.4,38.5,19.1,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
38.8,26.4,11.9,3.9,4,6.4,16,30.2,-6,2.6,0,-100.2,3.2,88.8,0,11.2,40.4,21.2,"Hip.","04","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
26.2,33.4,15.9,20.6,14.2,6,14.2,55.1,-4.9,3.7,0,-130.6,4.1,80.6,0,19.4,38.8,20.2,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
26.1,34.6,17.1,16.6,21,4.3,22.1,64,-4.8,3.6,0,-141.8,4.4,82.5,0,17.5,38.8,20.6,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
30.1,35.3,15.6,15,9.6,4.8,9.5,38.9,-6,3.6,0,-117,3.5,96.1,0,3.9,39.6,22.8,"Hip.","04","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
26.2,33.3,15.8,20.6,14.1,6.1,14.1,54.8,-4.9,3.7,0,-130.3,4.1,80.6,0,19.4,38.8,20.3,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
26.1,34.6,17.1,16.6,22.1,4.3,21,64.1,-4.8,3.6,0,-141.8,4.4,82.5,0,17.5,38.8,20.6,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
30.1,35.3,15.6,15,9.6,4.8,9.5,38.9,-6,3.5,0,-117,3.5,96.1,0,3.9,39.6,22.8,"Hip.","04","TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
28.2,15.5,8.9,1.8,8.5,11.4,8.4,30.2,-3.4,2.1,0,-83,3.5,55.3,0,44.7,36.8,19.5,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
28.2,16.5,9.6,1.3,12.3,9.2,11.8,34.6,-3.3,2.2,0,-89,3.8,55.9,0,44.1,36.6,19.6,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
32.4,13.1,7.1,-0.2,3.9,6.9,3.8,14.4,-4.9,1.3,0,-62.6,2.9,76.3,0,23.7,37.7,20.8,"Hip.","04","TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
28.2,15.4,8.9,1.8,8.4,11.4,8.5,30.1,-3.3,2.1,0,-82.7,3.5,55.2,0,44.8,36.8,19.5,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
28.2,16.5,9.6,1.3,11.8,9.2,12.3,34.6,-3.3,2.2,0,-89,3.8,55.9,0,44.1,36.6,19.6,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
32.4,13.1,7.1,-0.2,3.8,6.9,3.9,14.4,-4.9,1.3,0,-62.6,2.9,76.3,0,23.7,37.7,20.8,"Hip.","04","TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
34.1,28.9,13,16.1,18.9,5.4,6.9,47.3,-4.5,3.9,0,-124.3,4,74.1,0,25.9,37.7,19.6,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
35.8,15.9,8.5,0.8,9.8,15.1,8.4,34.1,-4.1,3.9,0,-97.4,3.8,58.4,0,41.6,38.4,19.2,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
38.2,29.2,12.1,4.2,16.8,6.6,6.4,33.9,-5.6,2.9,0,-107,3.3,89.9,0,10.1,39.9,20.9,"Hip.","04","TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
42.2,26.8,12,15.4,5,3.9,17.3,41.6,-5,3.8,0,-123.4,3.9,27.7,0.6,71.7,36,15.4,"Hip.","04","TV","Intermediário","AFN","L","Dorm. N","São Paulo"
43.1,15.2,7.8,-0.6,5.7,14.1,9.1,28.3,-4.8,3.6,0,-96.5,3.5,20.9,1.4,77.7,34.4,14.9,"Hip.","04","TV","Intermediário","AFN","L","Dorm. S","São Paulo"
45.2,23,10.2,3.1,1.5,5.3,13.9,23.8,-6.7,2.1,0,-93.5,3.1,59.9,0.2,39.9,36.3,15.4,"Hip.","04","TV","Intermediário","AFN","L","Sala","São Paulo"
32.3,31.9,15.4,20,13.6,5,14.4,53,-5.1,3.7,0,-132.8,4,31.2,0.3,68.5,37.8,16.8,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 1","São Paulo"
32.2,33.3,16.7,16.2,21.3,3.6,21.3,62.4,-5,3.7,0,-144.8,4.4,32.7,0.1,67.2,37.8,16.8,"Hip.","04","TV","Intermediário","AFN","NE","Dorm. 2","São Paulo"
34.9,31.7,14.1,13.6,8.3,2.8,8.1,32.7,-6.9,3,0,-108.5,3.4,70.3,0,29.6,38.8,16.9,"Hip.","04","TV","Intermediário","AFN","NE","Sala","São Paulo"
32.3,31.9,15.4,20,14.4,5.1,13.5,52.9,-5.1,3.8,0,-132.7,4,31.2,0.3,68.6,37.7,16.8,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 1","São Paulo"
32.2,33.3,16.7,16.2,21.4,3.6,21.3,62.4,-5,3.7,0,-144.8,4.4,32.7,0.1,67.2,37.8,16.8,"Hip.","04","TV","Intermediário","AFN","NO","Dorm. 2","São Paulo"
34.9,31.7,14.1,13.5,8.2,2.8,8.2,32.7,-6.9,3,0,-108.5,3.4,70.3,0,29.7,38.8,16.9,"Hip.","04","TV","Intermediário","AFN","NO","Sala","São Paulo"
33.5,15.5,8.8,0.9,8.2,11.4,8.6,29.1,-4.1,2.2,0,-86.3,3.3,18.6,0.7,80.6,33.1,16.1,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 1","São Paulo"
33.5,16.8,9.7,0.7,12.6,9.3,11.8,34.5,-4,2.2,0,-93.7,3.6,19.3,0.3,80.4,32.9,16.6,"Hip.","04","TV","Intermediário","AFN","SE","Dorm. 2","São Paulo"
36.9,13.2,6.6,-1.1,3.7,6.7,3.6,12.9,-5.8,1.2,0,-64.1,2.7,44.9,0.1,55,33.5,16.3,"Hip.","04","TV","Intermediário","AFN","SE","Sala","São Paulo"
33.5,15.5,8.8,0.9,8.6,11.3,8.2,29.1,-4,2.2,0,-86.2,3.3,18.5,0.7,80.8,33,16.1,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 1","São Paulo"
33.5,16.8,9.7,0.7,11.8,9.3,12.6,34.4,-4,2.2,0,-93.6,3.6,19.3,0.3,80.4,32.9,16.6,"Hip.","04","TV","Intermediário","AFN","SO","Dorm. 2","São Paulo"
36.9,13.2,6.6,-1.1,3.6,6.7,3.7,12.9,-5.8,1.2,0,-64.1,2.7,44.9,0.1,55,33.5,16.3,"Hip.","04","TV","Intermediário","AFN","SO","Sala","São Paulo"
42,27.4,12.4,16,17.9,4.3,5.6,43.9,-4.8,3.9,0,-126.7,4,29.1,0.6,70.3,35.6,15.3,"Hip.","04","TV","Intermediário","AFN","O","Dorm. N","São Paulo"
43,15.6,8,-0.1,9.6,14.8,6.6,30.9,-4.7,3.8,0,-99.9,3.6,22.1,1.3,76.6,34.1,14.9,"Hip.","04","TV","Intermediário","AFN","O","Dorm. S","São Paulo"
44.8,25.2,10.6,3.4,14.7,5.5,3.5,27.1,-6.5,2.4,0,-99.3,3.1,63.1,0.2,36.6,36,15.4,"Hip.","04","TV","Intermediário","AFN","O","Sala","São Paulo"
