"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,2.6,1.7,1.6,7.6,3.5,0.3,13,-0.699999999999999,0.6,0,-0.2,-0.7,-15.8,-0.7,2.1,"Hip.",5,"TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
-0.700000000000003,1.4,1.2,5.5,3,-0.7,1.1,9.1,-0.699999999999999,0.5,0,-0.1,-2.5,-8,-2.5,0.6,"Hip.",5,"TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,1.9,1.4,0.8,5.2,0.8,1.6,8.5,-0.7,0.5,0,-0.1,0,-11.5,0,9.6,"Hip.",5,"TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.100000000000001,2.7,1.6,1.6,1,5.8,1.3,9.7,-0.600000000000001,0.5,0,-0.1,0,-13.6,0,2.8,"Hip.",5,"TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.100000000000001,2.5,1.5,1,1.5,4.4,1.2,8.2,-0.500000000000001,0.5,0,-0.1,0,-11.7,0,2.7,"Hip.",5,"TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,2,1.2,1.3,1,4,0.800000000000001,7,-0.399999999999999,0.4,0,0,0,-10.2,0,12.4,"Hip.",5,"TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.100000000000001,2.7,1.6,1.6,1.3,5.8,1,9.8,-0.600000000000001,0.5,0,-0.1,0,-13.6,0,2.8,"Hip.",5,"TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.100000000000001,2.5,1.5,1,1.2,4.4,1.5,8.1,-0.500000000000001,0.4,0,-0.1,0,-11.7,0,2.7,"Hip.",5,"TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,2,1.2,1.3,1,4,0.800000000000001,7,-0.399999999999999,0.4,0,0,0,-10.2,0,12.4,"Hip.",5,"TV","Intermediário","HVAC","NO","Sala","Curitiba"
-0.5,1.5,1.2,5.7,0.7,1.1,0.5,8,-0.899999999999999,0.4,0,-0.1,-0.9,-8.7,-0.9,0.2,"Hip.",5,"TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.400000000000006,1.5,1.1,4.6,0.899999999999999,0.7,1.1,7.2,-0.799999999999999,0.3,0,-0.0999999999999999,-0.1,-8.8,-0.1,0.1,"Hip.",5,"TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
