"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,10.5,6.4,14.3,12.7,16.2,9,12,7,21.9,NA,-7.9,8.6,31,0,-0.8,0,-2.4,"Hip.","07","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.4,2.4,22.1,17.1,14.1,13.1,11.5,13.3,5.9,21.2,NA,-6.3,3.2,27.3,-35,1.2,0,-0.6,"Hip.","07","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.2,13.3,8.4,18.9,12.1,4.8,35.5,20.5,-4.9,-22.5,NA,-9.4,6.2,13.4,NA,-8.8,5.9,0.6,"Hip.","07","SF","Intermediário","AFN","L","Sala","Curitiba"
-0.8,14.2,9.3,16.9,14.2,17.6,16.5,16.5,5.7,21.9,NA,-12,5.6,61.3,50,-2.1,3,-4.1,"Hip.","07","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.6,12.3,10.4,16.1,12.7,15.6,11.4,13.4,7.5,15.6,NA,-9.8,5.3,45.2,Inf,-1.5,1.9,-7.9,"Hip.","07","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.1,17.9,6.5,40.6,11.1,12.5,7.7,19.2,0,-25.5,NA,-9.9,5.7,9.4,NA,-8.7,6.1,3.4,"Hip.","07","SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.8,13.9,8.6,16.9,14.3,16.5,12.8,15.4,5.7,18.2,NA,-11.4,5.6,58.1,100,-2.1,2.5,-4.6,"Hip.","07","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.6,12.7,9.7,16.1,12.2,17.2,13.6,14.2,6,15.6,NA,-10.2,5.3,45.2,Inf,-1.7,2.5,-5.6,"Hip.","07","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.1,17.9,6.5,40.6,6.4,12.5,11.4,18.9,0,-25.5,NA,-9.8,5.7,9.4,NA,-8.7,6.1,3.4,"Hip.","07","SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.3,-3.3,8,4.3,0,-9.5,10.6,-0.6,8.1,28.6,NA,-1.4,0,14.3,-47.8,0.9,0.3,-5.9,"Hip.","07","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,-2.7,10,6.1,6.1,-9.9,2.8,0.3,8.3,9.1,NA,-0.5,3.2,16.7,-27.8,0.5,0,-4.8,"Hip.","07","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.3,0,12.5,10.7,2.1,15.2,2.1,7.9,5.3,-36,NA,-1.7,0,5.4,NA,-1.9,1.5,-1.2,"Hip.","07","SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.3,-4.3,8,2.1,7.5,-10.3,-1.2,-1.9,8.1,23.8,NA,-0.7,0,14.3,-40.9,0.8,0,-4.8,"Hip.","07","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,-2.7,10,6.1,2.8,-8.8,6.1,1.2,8.3,13.6,NA,-0.8,3.2,16.7,-23.5,0.4,0.3,-5.4,"Hip.","07","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
