"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.1,9.5,5.1,4.2,17.6,9.2,4.6,35.7,-3,0.6,0,-0.7,-1.2,-42.7,-1.2,6.4,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
-1.5,4.6,3.2,13.5,9.8,-1.9,2.3,23.7,-2.6,0.4,0,-0.4,-2.9,-23.3,-2.9,1.7,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.300000000000004,6.9,4.3,2.5,12.1,1.6,4.2,20.3,-1.7,1.8,0,-0.3,0,-31.7,0,29,"Hip.",7,"SF","Intermediário","HVAC","L","Sala","Curitiba"
-0.299999999999997,7.9,4,2.6,1.9,13.2,2.4,20.1,-2.5,0.3,0,-0.5,0,-27.5,0,8.1,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.199999999999996,7.2,3.5,1.3,3.3,9.5,1.9,16,-2.3,0.2,0,-0.4,0,-22.7,0,8,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,6.90000000000001,3.5,3,2.4,7.8,2,15.3,-0.899999999999999,1.4,0,-0.2,0,-27.2,0,37,"Hip.",7,"SF","Intermediário","HVAC","NE","Sala","Curitiba"
-0.299999999999997,8.1,4.2,2.7,2.7,13.2,2,20.7,-2.5,0.3,0,-0.5,0,-28.5,0,8.5,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.199999999999996,6.9,3.4,1.2,1.6,9.5,2.6,15,-2.2,0.2,0,-0.5,0,-21,0,7.7,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,6.90000000000001,3.5,3,2.4,7.8,2,15.3,-0.899999999999999,1.4,0,-0.2,0,-27.2,0,37,"Hip.",7,"SF","Intermediário","HVAC","NO","Sala","Curitiba"
-0.899999999999999,5,3.4,14.2,1.9,2.6,0.5,19.3,-2.7,0.3,0,-0.4,-0.8,-22.2,-0.8,1.4,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.700000000000003,4.6,3,10.9,1.6,1.5,2.1,16.1,-2.2,0.3,0,-0.3,-0.1,-20,-0.1,1.2,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
-0.300000000000004,5.3,3.9,10.3,1.9,2.9,1.7,16.8,-1.4,1,0,-0.2,0,-25.1,0,18.3,"Hip.",7,"SF","Intermediário","HVAC","SE","Sala","Curitiba"
-0.899999999999999,5.1,3.5,14.1,0.8,2.7,2,19.6,-2.7,0.2,0,-0.3,-0.8,-22.8,-0.8,1.3,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
-0.700000000000003,4.4,2.9,11,2,1.4,1.1,15.6,-2.2,0.2,0,-0.3,-0.1,-19.2,-0.1,1.1,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 2","Curitiba"
-0.300000000000004,5.3,3.9,10.3,1.9,2.9,1.7,16.8,-1.4,1,0,-0.2,0,-25.1,0,18.3,"Hip.",7,"SF","Intermediário","HVAC","SO","Sala","Curitiba"
-1,7.6,4.5,2.8,3.2,9.6,12.4,27.8,-3,0.3,0,-0.7,-1.1,-32.5,-1.1,3.5,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. N","Curitiba"
-1.3,3.3,2.9,14.1,1.5,-3.1,4.6,17,-2.4,0.1,0,-0.4,-2.4,-15.9,-2.4,-1.1,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. S","Curitiba"
-0.200000000000003,6.9,3.9,3.2,5.3,2.2,8.4,19,-1.1,1.9,0,-0.0999999999999999,0,-31.7,0,35.5,"Hip.",7,"SF","Intermediário","HVAC","O","Sala","Curitiba"
0,0.599999999999994,-0.699999999999999,-0.699999999999999,-4.3,-5.3,-5.8,-16.3,-1.3,-0.6,0,-0.2,0,20.7,0,-12.7,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. N","Rio de Janeiro"
0,-2.8,-1.8,0.399999999999999,-11.4,-5.8,-5.9,-22.7,-0.5,-0.4,0,0,0,28.3,0,-27,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. S","Rio de Janeiro"
0,0.399999999999999,-0.700000000000003,-1,-9.7,-1.8,-4,-16.5,-0.6,0.199999999999999,0,-0.1,0,15.5,0,-8,"Hip.",7,"SF","Intermediário","HVAC","L","Sala","Rio de Janeiro"
-0.100000000000001,0.399999999999999,-1.1,-6.3,-4.7,-5.7,-2.2,-18.8,-1.7,-0.7,0,-0.3,0,24.2,0,-21,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 1","Rio de Janeiro"
-0.100000000000001,1,-0.699999999999999,-4.3,-3.5,-4.2,-5.6,-17.6,-1.8,-0.7,0,-0.2,0,22.2,0,-20.3,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 2","Rio de Janeiro"
-0.0999999999999943,0.600000000000001,-0.400000000000002,-2.3,-1.4,-8.4,-1.4,-13.5,-0.2,0.4,0,-0.1,0,10.8,0,-8.19999999999999,"Hip.",7,"SF","Intermediário","HVAC","NE","Sala","Rio de Janeiro"
-0.100000000000001,0.399999999999999,-1.1,-6.3,-2.2,-5.6,-4.6,-18.7,-1.7,-0.7,0,-0.2,0,24,0,-20.7,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 1","Rio de Janeiro"
-0.100000000000001,1,-0.699999999999999,-4.3,-5.6,-4.3,-3.5,-17.7,-1.7,-0.7,0,-0.2,0,22.4,0,-20.8,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 2","Rio de Janeiro"
-0.0999999999999943,0.600000000000001,-0.400000000000002,-2.3,-1.4,-8.4,-1.4,-13.5,-0.2,0.4,0,-0.1,0,10.8,0,-8.19999999999999,"Hip.",7,"SF","Intermediário","HVAC","NO","Sala","Rio de Janeiro"
0,0.5,-0.300000000000001,-1.7,-2.3,-3.1,-2.2,-9.2,-0.9,-0.4,0,-0.1,0,11.2,0,-11.7,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,0.5,-0.300000000000001,-1.3,-3.2,-2.3,-3,-9.8,-0.8,-0.3,0,-0.1,0,11.7,0,-12,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,0.899999999999999,0.199999999999999,-2.6,-0.899999999999999,-0.799999999999999,-0.800000000000001,-5,-0.2,0.2,0,0,0,3.30000000000001,0,3,"Hip.",7,"SF","Intermediário","HVAC","SE","Sala","Rio de Janeiro"
0,0.5,-0.300000000000001,-1.7,-2.2,-3.1,-2.3,-9.3,-0.9,-0.3,0,-0.1,0,11.1,0,-11.5,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,0.5,-0.300000000000001,-1.3,-3.1,-2.3,-3.1,-9.7,-0.9,-0.3,-0.1,-0.1,0,11.7,0,-12.1,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,0.899999999999999,0.199999999999999,-2.6,-0.899999999999999,-0.799999999999999,-0.800000000000001,-5,-0.2,0.2,0,0,0,3.30000000000001,0,3,"Hip.",7,"SF","Intermediário","HVAC","SO","Sala","Rio de Janeiro"
0,-0.899999999999999,-1.6,-1.7,-7.1,-6.8,-7.2,-22.7,-1.5,-1,0,-0.2,0,30.6,0,-23.7,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. N","Rio de Janeiro"
0,-4.1,-2.6,-0.9,-7.1,-6.7,-14.4,-28.9,-0.5,-0.9,0,-0.1,0,37.8,0,-37,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. S","Rio de Janeiro"
-0.0999999999999943,-0.600000000000001,-0.899999999999999,-0.199999999999999,-2,-1,-14.1,-17.2,0,0.4,0,0,0,15.9,0,-9.69999999999999,"Hip.",7,"SF","Intermediário","HVAC","O","Sala","Rio de Janeiro"
-0.5,6.8,3.2,2.5,9,4.6,0.9,16.9,-2.1,0.3,0,-0.4,-0.2,-22,-0.2,9.09999999999999,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. N","São Paulo"
-0.699999999999996,2.4,1.6,8.9,1.8,-2.9,-0.5,7.5,-1.5,0.0999999999999996,0,-0.4,-0.3,-8.3,-0.3,-1.2,"Hip.",7,"SF","Intermediário","HVAC","L","Dorm. S","São Paulo"
-0.0999999999999943,5,2.3,1.2,3.5,0.399999999999999,1.1,6.1,-1.1,1.2,0,-0.1,0,-14.4,0,17.1,"Hip.",7,"SF","Intermediário","HVAC","L","Sala","São Paulo"
-0.0999999999999943,5.4,2.3,-0.700000000000003,-0.5,6,0.800000000000001,5.8,-2,0,0,-0.3,0,-9.2,0,6.5,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 1","São Paulo"
-0.0999999999999943,5,2,-0.9,0.6,4.1,-1,3,-1.9,-0.1,0,-0.3,0,-5.59999999999999,0,3.9,"Hip.",7,"SF","Intermediário","HVAC","NE","Dorm. 2","São Paulo"
0,4.59999999999999,2,1,0.899999999999999,1.6,0.800000000000001,4.3,-0.6,1.1,0,-0.1,0,-12.8,0,19.5,"Hip.",7,"SF","Intermediário","HVAC","NE","Sala","São Paulo"
-0.0999999999999943,5.5,2.4,-0.600000000000001,0.9,6,-0.5,5.8,-2.1,-0.1,0,-0.4,0,-9.40000000000001,0,6.6,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 1","São Paulo"
-0.0999999999999943,5,1.9,-0.9,-1.1,4.1,0.5,2.7,-1.9,-0.1,0,-0.4,0,-5.2,0,3.6,"Hip.",7,"SF","Intermediário","HVAC","NO","Dorm. 2","São Paulo"
0,4.59999999999999,2,1,0.899999999999999,1.6,0.800000000000001,4.3,-0.6,1.1,0,-0.1,0,-12.8,0,19.5,"Hip.",7,"SF","Intermediário","HVAC","NO","Sala","São Paulo"
-0.400000000000006,3.8,2.3,8.4,0.5,0.800000000000001,0,9.7,-1.7,0.1,0,-0.3,0,-13,0,3.5,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 1","São Paulo"
-0.200000000000003,3.5,2,6.4,0.0999999999999996,0.300000000000001,0.4,7.1,-1.3,0.0999999999999999,0,-0.2,0,-10.2,0,0.5,"Hip.",7,"SF","Intermediário","HVAC","SE","Dorm. 2","São Paulo"
-0.100000000000001,4,2.4,5.2,0.9,1.6,0.899999999999999,8.7,-0.7,0.7,0,-0.1,0,-15.3,0,14.5,"Hip.",7,"SF","Intermediário","HVAC","SE","Sala","São Paulo"
-0.400000000000006,3.9,2.3,8.4,0,0.800000000000001,0.600000000000001,9.8,-1.7,0.1,0,-0.2,0,-13,0,3.7,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 1","São Paulo"
-0.200000000000003,3.5,2,6.4,0.4,0.300000000000001,0,7.1,-1.3,0.0999999999999999,0,-0.2,0,-10.1,0,0.199999999999999,"Hip.",7,"SF","Intermediário","HVAC","SO","Dorm. 2","São Paulo"
-0.100000000000001,4,2.4,5.2,0.9,1.6,0.899999999999999,8.7,-0.7,0.7,0,-0.1,0,-15.3,0,14.5,"Hip.",7,"SF","Intermediário","HVAC","SO","Sala","São Paulo"
-0.399999999999999,5.4,2.7,1.7,0,3.7,6.6,12,-2.2,-0.0999999999999996,0,-0.4,-0.2,-14.6,-0.2,2.09999999999999,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. N","São Paulo"
-0.599999999999994,1.4,1.2,8.2,-1.2,-3.5,-0.6,2.9,-1.5,-0.2,0,-0.3,-0.2,-1.90000000000001,-0.2,-7.90000000000001,"Hip.",7,"SF","Intermediário","HVAC","O","Dorm. S","São Paulo"
-0.100000000000001,4.4,2.1,1.9,2.7,1.1,0.599999999999998,6.40000000000001,-0.6,1.4,0,-0.1,0,-15.2,0,20.4,"Hip.",7,"SF","Intermediário","HVAC","O","Sala","São Paulo"
