"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.4,10.1,2.8,13.6,65.4,56.2,-1.3,15,6.1,14.3,NA,-7.2,6.1,37.5,-6.2,-0.3,0.6,0.7,"Hip.","07","TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.2,3.6,24.6,47.6,66.7,16.2,8.7,25.7,3.7,17.9,NA,-8.7,6.9,50,-2.3,-0.1,1,0,"Hip.","07","TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.2,15.8,11.4,79.2,120,6.5,50,47.9,-6,-20.7,NA,-12.8,6.9,24.7,-100,-9.6,5.9,3.2,"Hip.","07","TV","Intermediário","AFN","L","Sala","Curitiba"
-0.8,17.3,12.3,27.5,25.6,43.2,16.5,25.8,4,16.7,NA,-15.3,8.6,126.7,-53.8,-1.3,3.8,-3.5,"Hip.","07","TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.6,14.1,10.8,26,12.2,43.7,11.3,17.2,6.1,12.9,NA,-11.3,7.9,100,0,-1.5,2.2,0,"Hip.","07","TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1.3,22,8.8,84.5,18.7,50,8.6,38.7,-4.7,-19.4,NA,-14.8,9.4,23.7,NA,-12.8,2.5,4.2,"Hip.","07","TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.8,15.8,10.8,25.5,14,43.2,17.7,22.2,4,12.9,NA,-13.6,8.6,120,-61.5,-1,2.8,-9.4,"Hip.","07","TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.6,15.1,12.2,27.6,13.2,43.7,14.4,19.1,6.1,12.9,NA,-12.4,7.9,120,-33.3,-1.7,3.2,-2.5,"Hip.","07","TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1.3,22,8.8,84.5,7,50,20.6,38.7,-4.7,-19.4,NA,-14.8,9.4,23.4,NA,-12.6,2.5,4.2,"Hip.","07","TV","Intermediário","AFN","NO","Sala","Curitiba"
0,-6.4,5.1,111.1,0,-27.2,14.1,-6.8,11.8,15.8,NA,1.6,0,50,8.9,-0.6,0.3,-2.5,"Hip.","07","TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.3,-4.8,5.9,114.3,6.1,-24.3,-0.8,-4.1,10,5,NA,1.5,0,0,-27,0.9,0.3,-6,"Hip.","07","TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
0,-0.8,7.3,32,-2.9,-1.6,12.5,9.6,6.1,-35,NA,-1.3,0,12.9,0,-2.7,1.6,-1.9,"Hip.","07","TV","Intermediário","AFN","SE","Sala","Curitiba"
0,-8.8,2.5,100,9,-29.1,-8.1,-10.6,11.8,10.5,NA,3.5,0,0,17.3,-0.8,-0.3,-3.1,"Hip.","07","TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.3,-3.6,7.1,114.3,0.8,-22.6,9.6,-2.1,10,10,NA,0.5,0,50,-24.3,0.9,1,-4.2,"Hip.","07","TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
0,-0.8,7.3,32,6.2,-1.6,2.9,9.6,6.1,-35,NA,-1.3,0,12.2,0,-2.6,1.6,-2.5,"Hip.","07","TV","Intermediário","AFN","SO","Sala","Curitiba"
-0.4,11,5.2,13.9,6.7,55.9,37.5,18.2,7.8,15.6,-100,-8.6,5.7,50,-10.9,-1,1.5,1.3,"Hip.","07","TV","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.4,4.5,25.8,55.6,17.5,15.3,33.3,24.8,3.6,18.7,NA,-9.6,6.7,60,-7.9,-0.3,1.5,0.7,"Hip.","07","TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-1.8,24.1,6.5,86.7,73.9,19.6,24.3,53.3,-12.3,-11.1,NA,-18,10,21.4,-75,-11.9,5,3.9,"Hip.","07","TV","Intermediário","AFN","O","Sala","Curitiba"
-0.9,11.1,2.4,9,25.8,28.6,2.3,11.3,4.3,9.4,NA,-7.4,5.1,3.7,NA,-8.9,1.1,1,"Hip.","07","TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-1.1,3.7,19.2,Inf,18.2,11.5,15.4,16.7,0,11.8,NA,-7.6,5.4,4.3,NA,-5.9,1.3,0,"Hip.","07","TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-2.6,21.8,10.6,75,15.4,11.1,68.3,45.6,-12.5,-17.5,NA,-19,9.7,1.9,NA,-14.9,6.4,1.4,"Hip.","07","TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-2.3,16.3,9.3,26.6,18,23,11.2,19.6,-2.3,9.4,NA,-13.5,5,7.7,NA,-24.9,3.2,1.5,"Hip.","07","TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-1.9,14.7,10.1,27.1,10.8,22.7,11,15.8,0,9.4,NA,-11.6,4.7,5.9,NA,-21.1,2.6,1.5,"Hip.","07","TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-1.6,21.1,6.1,76.7,20,20,8,33.3,-5.7,-20.5,NA,-15.1,5.9,1.5,NA,-27.5,3.9,1.8,"Hip.","07","TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-2.3,16.3,10.1,26.6,11.2,23,18.8,19.6,-2.3,9.4,NA,-13.6,5,7.7,NA,-24.9,3.2,1.5,"Hip.","07","TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
