"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.7,17.4,0.9,4.9,-3.9,-1.3,8.4,8.1,-7.5,1.1,0,-1.4,2,-62.6,2,12.5,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
44.3,8.7,0.7,-7,-3.8,5.3,4.9,-0.6,-8,1.3,0,-1.1,3.7,-48.8,3.7,8.9,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
51.2,24.7,11,7.4,5,7.7,15.3,35.3,-5.9,4,0,-1.1,0,-119.9,0,88.7,"Hip.","07","TV","Cobertura","HVAC","L","Sala","Curitiba"
33.2,22.1,2,11.8,9.3,-0.5,5.8,26.4,-7.9,1.4,0,-1.4,0.5,-75.1,0.5,13.8,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
33.2,22.2,2.2,9.3,8.9,-0.3,12.6,30.4,-7.7,1.4,0,-1.3,0.3,-79.3,0.3,13.4,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
39.5,34.4,13,14.7,10.8,7.2,10.7,43.5,-5.1,4.2,0,-1,0,-129.1,0,89.6,"Hip.","07","TV","Cobertura","HVAC","NE","Sala","Curitiba"
33.2,22,2,11.7,5.7,-0.5,9,25.8,-7.9,1.4,0,-1.3,0.5,-74.6,0.5,13.6,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
33.2,22.4,2.2,9.4,13.1,-0.3,8.9,31.1,-7.7,1.4,0,-1.5,0.3,-80.1,0.3,13.6,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
39.5,34.4,13,14.7,10.8,7.2,10.7,43.5,-5.1,4.2,0,-1,0,-129.1,0,89.6,"Hip.","07","TV","Cobertura","HVAC","NO","Sala","Curitiba"
33.9,10,1.6,-6.1,4.8,6.3,3.8,8.8,-7.8,0.8,0,-1.1,2.5,-48.7,2.5,7.5,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
33.8,10.8,1.7,-4.3,5.4,5.3,7.1,13.5,-7.8,0.8,0,-1,1.9,-53.3,1.9,7.7,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 2","Curitiba"
39.8,16.2,10.1,-0.1,6,8.2,6.1,20.2,-6.2,2.3,0,-0.8,0.2,-82.2,0.2,52.5,"Hip.","07","TV","Cobertura","HVAC","SE","Sala","Curitiba"
33.9,10,1.6,-6.1,3.7,6.3,4.8,8.6,-7.8,0.8,0,-0.9,2.5,-48.5,2.5,7.4,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 1","Curitiba"
33.8,10.8,1.7,-4.3,7.2,5.4,5.6,13.8,-7.8,0.9,0,-1.2,1.9,-53.5,1.9,7.9,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 2","Curitiba"
39.8,16.2,10.1,-0.1,6,8.2,6.1,20.2,-6.2,2.3,0,-0.8,0.2,-82.2,0.2,52.5,"Hip.","07","TV","Cobertura","HVAC","SO","Sala","Curitiba"
43.6,19.1,1.4,6.1,10.1,-0.8,-0.3,15.1,-7.5,1.4,0,-1.6,1.9,-71.5,1.9,19.1,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. N","Curitiba"
44.1,10,1,-6.6,5.9,6.3,0.1,5.8,-8.1,1.5,0,-1.4,3.3,-56,3.3,14.1,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. S","Curitiba"
51.1,34.5,13.4,9.4,20.2,9.6,12.2,51.3,-4.9,5.3,0,-1,0.1,-151.3,0.1,120.4,"Hip.","07","TV","Cobertura","HVAC","O","Sala","Curitiba"
42.5,42.9,22.8,19,24.3,18.7,28.4,90.4,-0.2,4.4,0.1,-0.4,0,-197.4,0,178.2,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. N","Rio de Janeiro"
42.5,30.1,21.4,11.1,22.9,17.7,22,73.7,-1.2,4.3,0.1,-1.2,0,-167.7,0,147.8,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. S","Rio de Janeiro"
50.7,52.4,34.8,17.1,29.6,17.3,36.6,100.6,2.2,8.9,0.1,-0.2,0,-250.3,0,259.2,"Hip.","07","TV","Cobertura","HVAC","L","Sala","Rio de Janeiro"
32.7,46.2,24.3,30.3,23.1,20.1,16.1,89.6,0.1,3.9,0.1,-0.5,0,-193.4,0,178.6,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 1","Rio de Janeiro"
32.7,45.3,24.5,22.6,23.9,13.7,30.9,91.1,0.3,3.9,0.1,-0.4,0,-194.3,0,178.1,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 2","Rio de Janeiro"
39.2,60.4,36.7,29.2,21.1,23.7,20.8,94.8,3,7.8,0.2,-0.3,0,-243.1,0,254.4,"Hip.","07","TV","Cobertura","HVAC","NE","Sala","Rio de Janeiro"
32.7,46.2,24.3,30.3,16.1,20.1,23,89.6,0.1,3.9,0.1,-0.4,0,-193.2,0,178.3,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 1","Rio de Janeiro"
32.7,45.3,24.5,22.6,30.9,13.8,23.9,91.2,0.3,3.9,0.1,-0.5,0,-194.5,0,178.4,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 2","Rio de Janeiro"
39.2,60.4,36.7,29.2,21.1,23.7,20.8,94.8,3,7.8,0.2,-0.3,0,-243.1,0,254.4,"Hip.","07","TV","Cobertura","HVAC","NO","Sala","Rio de Janeiro"
32.7,28.8,22.2,11.7,16.1,21.5,12.2,61.5,-0.5,2.9,0.1,-0.5,0,-146.1,0,125.5,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 1","Rio de Janeiro"
32.7,29.2,22.4,8,17.9,16.3,22,64.2,-0.5,3,0.1,-0.5,0,-149.4,0,127.7,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 2","Rio de Janeiro"
39.3,36,31.6,13.6,14.5,20.3,14.3,62.6,1.2,5.3,0.3,-0.2,0,-176.2,0,177,"Hip.","07","TV","Cobertura","HVAC","SE","Sala","Rio de Janeiro"
32.7,28.8,22.2,11.7,12.2,21.5,16.1,61.6,-0.5,2.9,0.1,-0.4,0,-146.1,0,125.3,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 1","Rio de Janeiro"
32.7,29.2,22.4,8,22,16.3,17.9,64.2,-0.5,3,0.1,-0.5,0,-149.4,0,127.8,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 2","Rio de Janeiro"
39.3,36,31.6,13.6,14.5,20.3,14.3,62.6,1.2,5.3,0.3,-0.2,0,-176.2,0,177,"Hip.","07","TV","Cobertura","HVAC","SO","Sala","Rio de Janeiro"
42.4,43.7,23.6,19.5,29.3,19.5,25.6,93.9,0.1,4.5,0.1,-0.4,0,-202.9,0,184.7,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. N","Rio de Janeiro"
42.5,30.9,22.1,11.9,22.8,18.2,24.1,77.1,-0.9,4.3,0.1,-1.2,0,-173,0,153.5,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. S","Rio de Janeiro"
50.7,58.1,36.5,17.9,38.5,18.1,35.2,109.6,3.6,9.8,0.1,-0.2,0,-269.6,0,279.8,"Hip.","07","TV","Cobertura","HVAC","O","Sala","Rio de Janeiro"
43,25.9,7.4,9.8,7,5.8,15.5,38.2,-4.7,2.2,0,-0.9,0.3,-108.7,0.3,66.9,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. N","São Paulo"
43.4,16.2,6.9,-0.1,6.7,9.6,11.1,27.3,-5.3,2.3,0,-1.5,0.4,-88.8,0.4,55,"Hip.","07","TV","Cobertura","HVAC","L","Dorm. S","São Paulo"
50.8,35.4,18.5,11.2,15.1,11.4,23.7,61.3,-2.6,5.9,0,-0.6,0,-169.3,0,154.9,"Hip.","07","TV","Cobertura","HVAC","L","Sala","São Paulo"
32.9,29.8,8.7,18,13.9,6.9,9.2,48,-4.7,2.2,0,-1,0.1,-114.4,0.1,68.8,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 1","São Paulo"
32.9,29.5,8.9,13.7,13.9,4.8,18.8,51.2,-4.5,2.2,0,-0.9,0.1,-117.7,0.1,69.6,"Hip.","07","TV","Cobertura","HVAC","NE","Dorm. 2","São Paulo"
39.3,42.7,20.1,19.6,14.3,13.3,14.1,61.4,-1.9,5.4,0.1,-0.6,0,-167.1,0,150.4,"Hip.","07","TV","Cobertura","HVAC","NE","Sala","São Paulo"
32.9,29.8,8.7,17.9,9.2,6.9,13.8,47.8,-4.7,2.2,0,-0.9,0.1,-114.2,0.1,68.8,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 1","São Paulo"
32.9,29.6,9,13.8,18.9,4.8,13.9,51.4,-4.5,2.2,0,-1,0.1,-117.9,0.1,69.7,"Hip.","07","TV","Cobertura","HVAC","NO","Dorm. 2","São Paulo"
39.3,42.7,20.1,19.6,14.3,13.3,14.1,61.4,-1.9,5.4,0.1,-0.6,0,-167.1,0,150.4,"Hip.","07","TV","Cobertura","HVAC","NO","Sala","São Paulo"
33.3,16.3,7.8,0.7,8.7,11.6,6.6,27.5,-4.9,1.5,0,-0.9,0.2,-80.4,0.2,47.9,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 1","São Paulo"
33.2,16.9,7.8,0.3,9.6,9.1,12.2,31.2,-4.8,1.6,0,-0.8,0.1,-84.5,0.1,49.8,"Hip.","07","TV","Cobertura","HVAC","SE","Dorm. 2","São Paulo"
39.4,22.9,16.4,5.3,9,12.4,8.9,35.5,-3.2,3.3,0.1,-0.6,0,-114,0,96.4,"Hip.","07","TV","Cobertura","HVAC","SE","Sala","São Paulo"
33.3,16.3,7.8,0.7,6.6,11.6,8.7,27.5,-4.9,1.5,0,-0.8,0.2,-80.5,0.2,47.9,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 1","São Paulo"
33.2,16.9,7.8,0.3,12.2,9.1,9.7,31.3,-4.8,1.6,0,-1,0.1,-84.5,0.1,49.8,"Hip.","07","TV","Cobertura","HVAC","SO","Dorm. 2","São Paulo"
39.4,22.9,16.4,5.3,9,12.4,8.9,35.5,-3.2,3.3,0.1,-0.6,0,-114,0,96.4,"Hip.","07","TV","Cobertura","HVAC","SO","Sala","São Paulo"
42.9,26.7,8,10.3,16.3,6.4,8.4,41.3,-4.5,2.3,0,-0.9,0.3,-113.5,0.3,71.8,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. N","São Paulo"
43.3,16.8,7.4,0.5,11.6,10,8.2,30.3,-5.1,2.4,0,-1.7,0.4,-92.9,0.4,59,"Hip.","07","TV","Cobertura","HVAC","O","Dorm. S","São Paulo"
50.9,39.7,20,11.8,25.3,12,19.4,68.5,-1.7,6.6,0.1,-0.5,0,-184.7,0,170.3,"Hip.","07","TV","Cobertura","HVAC","O","Sala","São Paulo"
