"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.2,15.2,12.4,9.2,8.9,6.4,9.3,33.8,-5.3,5.4,0,-108.9,3.4,0.3,1.3,98.4,32.3,16.3,"Hip.","08","SF","Térreo","AFN","L","Dorm. N","Curitiba"
47.4,16.1,7.8,3.5,6.7,7.7,6.9,24.8,-5.9,4.7,0,-96.5,3.1,0.2,1.8,98,30.7,16.5,"Hip.","08","SF","Térreo","AFN","L","Dorm. S","Curitiba"
50.3,6.2,9.5,4.2,4.4,4.2,9.3,22,-7,2.1,0,-82.3,3,25.9,0,74.1,33.4,16.7,"Hip.","08","SF","Térreo","AFN","L","Sala","Curitiba"
36.3,20.2,14.4,13.8,8.4,7.9,8.6,38.6,-5.3,5.1,0,-109.9,3.4,0.4,0.5,99.1,32.5,16.4,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.3,21.5,14.6,10.7,13.1,5.6,12.3,41.8,-5,4.9,0,-114.1,3.6,0.4,0.4,99.3,32.3,16.3,"Hip.","08","SF","Térreo","AFN","NE","Dorm. 2","Curitiba"
38.8,12.8,13.5,10.2,7.1,5.6,6.9,29.8,-6.1,2.6,0,-91.7,3.3,33,0,67,32.3,17.4,"Hip.","08","SF","Térreo","AFN","NE","Sala","Curitiba"
36.3,19.8,14.5,13.7,8.7,7.9,8.2,38.4,-5.3,5,0,-109.5,3.4,0.4,0.5,99.1,32.4,16.4,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.3,21.9,14.6,10.8,12.7,5.6,12.8,42,-5.1,4.9,0,-114.7,3.6,0.4,0.3,99.3,32.3,16.2,"Hip.","08","SF","Térreo","AFN","NO","Dorm. 2","Curitiba"
38.8,12.8,13.5,10.2,7.1,5.6,6.9,29.8,-6.1,2.6,0,-91.7,3.3,33,0,67,32.3,17.4,"Hip.","08","SF","Térreo","AFN","NO","Sala","Curitiba"
36.5,16.1,9.3,4.3,5.7,9.5,6.1,25.6,-5.5,3.5,0,-86.7,2.9,0.2,1.1,98.7,30.5,16.3,"Hip.","08","SF","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.6,16.7,9.6,3,8.9,7.4,8.4,27.7,-5.2,3.5,0,-89.3,3.1,0.2,1.3,98.6,30.3,16.4,"Hip.","08","SF","Térreo","AFN","SE","Dorm. 2","Curitiba"
39.8,8,7,2.1,3.8,5.7,3.7,15.3,-6.6,1.3,0,-64.4,2.7,18.8,0.1,81.1,31.2,16.4,"Hip.","08","SF","Térreo","AFN","SE","Sala","Curitiba"
36.5,15.8,9.3,4.2,6.1,9.4,5.7,25.4,-5.4,3.5,0,-86.3,2.9,0.2,1.1,98.7,30.5,16.5,"Hip.","08","SF","Térreo","AFN","SO","Dorm. 1","Curitiba"
36.6,17,9.6,3.1,8.5,7.4,8.9,27.8,-5.2,3.5,0,-89.8,3.1,0.2,1.1,98.8,30.4,16.1,"Hip.","08","SF","Térreo","AFN","SO","Dorm. 2","Curitiba"
39.8,8,7,2.1,3.8,5.7,3.7,15.3,-6.6,1.3,0,-64.4,2.7,18.8,0.1,81.1,31.2,16.4,"Hip.","08","SF","Térreo","AFN","SO","Sala","Curitiba"
47.2,14.8,12.9,9.4,9.5,6.5,9.3,34.7,-5.4,5.6,0,-110.5,3.4,0.5,1.2,98.3,33,16.3,"Hip.","08","SF","Térreo","AFN","O","Dorm. N","Curitiba"
47.4,15.9,8.3,3.6,7.1,7.9,7.6,26.2,-6,4.9,0,-98.4,3.2,0.3,1.6,98.1,32,16.4,"Hip.","08","SF","Térreo","AFN","O","Dorm. S","Curitiba"
49.1,9.4,13.2,6.1,14.1,6.1,8.2,34.5,-6.4,3.2,0,-103.3,3.2,39.1,0,60.9,35.4,16.6,"Hip.","08","SF","Térreo","AFN","O","Sala","Curitiba"
