"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47,22.5,3.2,9.1,8.4,5.9,9.2,32.6,-6.7,5.4,0,-103.4,3.1,2,5.6,92.4,34.9,14.9,"Hip.","08","SF","Cobertura","AFN","L","Dorm. N","Curitiba"
47.2,15.1,4.3,2.9,5.8,7.3,6.5,22.5,-7,4.6,0,-88.8,2.8,1.6,7.7,90.7,34.7,14.2,"Hip.","08","SF","Cobertura","AFN","L","Dorm. S","Curitiba"
49.2,19.6,4.5,5.6,6.2,5.6,12.3,29.6,-7.4,2.8,0,-98.2,3.1,38.8,0.3,60.9,35,14,"Hip.","08","SF","Cobertura","AFN","L","Sala","Curitiba"
36.1,26.1,4.2,13.2,8,7.1,8.2,36.6,-6.8,4.9,0,-101.9,3.1,2.3,3.9,93.8,35,15.6,"Hip.","08","SF","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36.2,26.7,4.6,10.2,12.4,5,11.7,39.3,-6.5,4.6,0,-105.3,3.2,2.2,3.7,94.1,35,15.9,"Hip.","08","SF","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.1,28.1,6.6,11.8,8.2,6.4,8,34.4,-6.6,3,0,-105.4,3.3,45.2,0.1,54.7,34.1,14.8,"Hip.","08","SF","Cobertura","AFN","NE","Sala","Curitiba"
36.1,25.9,4.2,13.1,8.3,7,7.9,36.3,-6.8,4.8,0,-102.1,3.1,2.4,3.9,93.8,35.1,15.7,"Hip.","08","SF","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36.2,26.9,4.7,10.3,12.1,5,12.1,39.5,-6.5,4.6,0,-105.3,3.2,2.1,3.7,94.2,34.8,15.9,"Hip.","08","SF","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.1,28.1,6.6,11.8,8.2,6.4,8,34.4,-6.6,3,0,-105.4,3.3,45.2,0.1,54.7,34.1,14.8,"Hip.","08","SF","Cobertura","AFN","NO","Sala","Curitiba"
36.3,16,5.6,3.7,5.5,9.1,5.9,24.3,-6.7,3.5,0,-80.8,2.7,1.5,7.3,91.1,34.4,14.6,"Hip.","08","SF","Cobertura","AFN","SE","Dorm. 1","Curitiba"
36.4,16.6,5.9,2.7,8.5,7.2,8.1,26.4,-6.3,3.4,0,-83.4,2.8,1.4,7.2,91.4,34.3,14.8,"Hip.","08","SF","Cobertura","AFN","SE","Dorm. 2","Curitiba"
39,15.3,6.4,3.1,5.1,7.6,5,20.8,-6.9,1.8,0,-77.4,2.8,30.5,1.8,67.7,33.9,13.7,"Hip.","08","SF","Cobertura","AFN","SE","Sala","Curitiba"
36.3,15.9,5.6,3.7,5.9,9.1,5.5,24.2,-6.7,3.5,0,-80.9,2.7,1.6,7.5,91,34.4,14.7,"Hip.","08","SF","Cobertura","AFN","SO","Dorm. 1","Curitiba"
36.4,16.8,5.9,2.7,8.1,7.1,8.5,26.4,-6.4,3.4,0,-83.4,2.8,1.4,7.2,91.5,34.3,14.8,"Hip.","08","SF","Cobertura","AFN","SO","Dorm. 2","Curitiba"
39,15.3,6.4,3.1,5.1,7.6,5,20.8,-6.9,1.8,0,-77.4,2.8,30.5,1.8,67.7,33.9,13.7,"Hip.","08","SF","Cobertura","AFN","SO","Sala","Curitiba"
