"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","max_op_temp","min_op_temp","typo","simp","wrap","storey","cond","dwel","room","weather"
47.2,14.8,11.2,10.5,3.7,4.8,10.6,29.6,-4.2,5,0,-104.4,3.3,0.4,4.3,95.3,30.8,15.9,"Hip.","09","TV","Térreo","AFN","L","Dorm. N","Curitiba"
47.4,15.2,6.7,-1.6,3.7,9.9,7.4,19.4,-5.1,4.1,0,-89.6,3,0.2,6.6,93.2,29.9,15.3,"Hip.","09","TV","Térreo","AFN","L","Dorm. S","Curitiba"
50.8,6.5,7.8,3.3,0.1,3.5,6.1,13.1,-6,1.7,0,-73.3,2.8,21.6,0.3,78.1,30.9,15.8,"Hip.","09","TV","Térreo","AFN","L","Sala","Curitiba"
36.3,18.1,13.3,11.7,9.2,5.9,10.3,37.2,-3.9,4.9,0,-107,3.3,0.3,1.4,98.4,30.3,16.3,"Hip.","09","TV","Térreo","AFN","NE","Dorm. 1","Curitiba"
36.3,19,13.9,9.1,14.9,4.4,13.7,42.1,-3.7,4.8,0,-113.2,3.5,0.2,0.6,99.2,30,15.3,"Hip.","09","TV","Térreo","AFN","NE","Dorm. 2","Curitiba"
39.3,11.1,11.8,6.1,6,3.6,5.9,21.6,-5.1,2.2,0,-80.8,3.1,22.4,0,77.6,30.7,16.7,"Hip.","09","TV","Térreo","AFN","NE","Sala","Curitiba"
36.3,18,13.3,11.7,10.3,5.9,9.2,37.1,-3.9,4.8,0,-107,3.3,0.3,1.3,98.4,30.3,16.3,"Hip.","09","TV","Térreo","AFN","NO","Dorm. 1","Curitiba"
36.3,19,13.9,9.1,13.7,4.4,14.9,42.2,-3.7,4.8,0,-113.2,3.5,0.2,0.6,99.2,30,16.1,"Hip.","09","TV","Térreo","AFN","NO","Dorm. 2","Curitiba"
39.3,11.1,11.8,6.1,6,3.6,5.9,21.6,-5.1,2.2,0,-80.8,3.1,22.4,0,77.6,30.7,16.7,"Hip.","09","TV","Térreo","AFN","NO","Sala","Curitiba"
36.5,14.7,8.3,-0.4,6.2,10.5,7.3,23.6,-4.5,3.2,0,-83.2,2.9,0.1,5,94.9,28.6,15.8,"Hip.","09","TV","Térreo","AFN","SE","Dorm. 1","Curitiba"
36.6,15.2,8.9,-0.2,10.2,8.3,9.1,27.5,-4.4,3.3,0,-87.9,3,0,3.7,96.2,28.5,15.8,"Hip.","09","TV","Térreo","AFN","SE","Dorm. 2","Curitiba"
40.2,7.5,5.8,-1.9,2.9,4.5,2.9,8.3,-5.9,1,0,-56.6,2.5,12,1.4,86.6,29.9,15.7,"Hip.","09","TV","Térreo","AFN","SE","Sala","Curitiba"
36.5,14.6,8.3,-0.4,7.2,10.5,6.2,23.5,-4.5,3.2,0,-83.1,2.9,0.1,5,95,28.6,15.7,"Hip.","09","TV","Térreo","AFN","SO","Dorm. 1","Curitiba"
