"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.7,5.1,4.2,1.9,-12.7,-5.5,6.1,-10.2,-7.1,0.5,0,-1.4,0.1,-33.8,0.1,0.3,"Hip.","00","C10","Térreo","HVAC","L","Dorm. N","Curitiba"
44.3,9.9,-0.7,-15.7,-10.2,3.8,2.6,-19.6,-7.9,0.7,0,-1.3,0.5,-25.7,0.5,0.1,"Hip.","00","C10","Térreo","HVAC","L","Dorm. S","Curitiba"
51,11.4,7.2,2.5,-3.9,5,7.8,11.4,-6.3,3.1,0,-1.4,0,-77.1,0,23.1,"Hip.","00","C10","Térreo","HVAC","L","Sala","Curitiba"
33.2,3.3,6.7,2.8,3.5,-5.9,3.5,3.9,-7.3,0.9,0,-1.4,0,-38.8,0,0.2,"Hip.","00","C10","Térreo","HVAC","NE","Dorm. 1","Curitiba"
33.1,2.4,7.7,2.2,5,-4.3,7.2,10.1,-7.2,0.9,0,-1.3,0,-45.1,0,0.1,"Hip.","00","C10","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,10,12.7,6,0,2,7.4,21.7,-5.4,3.7,0.1,-1,0,-81.8,0,21.3,"Hip.","00","C10","Térreo","HVAC","NE","Sala","Curitiba"
33.2,3.3,6.9,2.9,3.5,-5.9,4.1,4.7,-7.3,1,0,-1.4,0,-39.8,0,0.2,"Hip.","00","C10","Térreo","HVAC","NO","Dorm. 1","Curitiba"
33.1,2.4,7.7,2.2,7.2,-4.3,4.9,10.1,-7.2,0.9,0,-1.3,0,-45,0,0.1,"Hip.","00","C10","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,10,12.7,6,7.4,2.1,0,21.7,-5.4,3.7,0.1,-1,0,-81.7,0,21.3,"Hip.","00","C10","Térreo","HVAC","NO","Sala","Curitiba"
33.6,8.1,1.3,-16.1,1.7,5.2,2.1,-7.1,-8,0.4,0,-1.2,0,-27.1,0,0,"Hip.","00","C10","Térreo","HVAC","SE","Dorm. 1","Curitiba"
