"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
46.6,28.5,12.5,11.2,10.2,7.4,14.5,43.4,-7.1,3.2,0,-128.4,3.5,2.9,0.9,96.1,35.3,30.5,"Hip.","00","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
47.2,16.9,6.8,3.5,6.4,8.4,8.7,27,-6.8,3.3,0,-98.5,3.1,1.1,4,94.9,32.8,28.5,"Hip.","00","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
49.2,21.8,10.7,5.3,6.6,6.2,10.7,28.8,-8.2,4,0,-103.2,3.2,39.6,0,60.4,35.5,29.8,"Hip.","00","SF","Intermediário","AFN","L","Sala","Curitiba"
35.9,31.7,15.1,16,12.7,9.1,10.3,48,-7,3.2,0,-127.9,3.6,3.1,0.2,96.7,36.1,30.6,"Hip.","00","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
35.9,32.4,15.4,12.4,15.7,6.4,17.6,52.1,-6.7,3.2,0,-133.7,3.8,3.1,0,96.9,36,30.5,"Hip.","00","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
37.9,30.8,15.3,10.6,0,7.2,9.1,35.9,-7.7,4.7,0,-117,3.5,48,0,52,34.7,29.1,"Hip.","00","SF","Intermediário","AFN","NE","Sala","Curitiba"
35.9,31.7,15.1,16,10.5,9.1,12.5,48,-7,3.3,0,-128,3.6,3.1,0.2,96.7,35.9,30.5,"Hip.","00","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
35.9,32.4,15.5,12.4,18,6.4,15.4,52.2,-6.7,3.2,0,-133.8,3.8,3.1,0,96.9,36.1,30.6,"Hip.","00","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
37.9,30.8,15.3,10.6,9.4,7.2,0,36,-7.7,4.7,0,-117.1,3.5,48,0,52,34.7,29.1,"Hip.","00","SF","Intermediário","AFN","NO","Sala","Curitiba"
36.4,18.3,8.7,4.7,7.9,11.6,6.6,30.8,-6.2,2.1,0,-91.7,3,0.7,2.3,97.1,31.8,27.7,"Hip.","00","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
36.4,18.8,9,3.3,9.8,9.1,10.8,33,-6,2.2,0,-95.4,3.1,0.6,1.8,97.6,31.7,27.6,"Hip.","00","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
39.3,15.6,7.2,2.8,0,6.6,4.7,18.9,-7.6,2.5,0,-75.8,2.9,26,0,74,32.4,27.6,"Hip.","00","SF","Intermediário","AFN","SE","Sala","Curitiba"
36.4,18.4,8.7,4.7,6.7,11.7,8,31,-6.2,2.1,0,-92.1,3,0.7,2.2,97.1,31.8,27.7,"Hip.","00","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
36.4,18.8,9,3.3,10.9,9.1,9.8,33,-6,2.2,0,-95.4,3.1,0.6,1.7,97.7,31.7,27.6,"Hip.","00","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
39.3,15.6,7.2,2.9,4.7,6.6,0,18.9,-7.6,2.5,0,-75.8,2.9,26.1,0,73.9,32.4,27.6,"Hip.","00","SF","Intermediário","AFN","SO","Sala","Curitiba"
46.5,29.3,13,11.8,15.3,7.7,10.7,45.6,-7.2,3.6,0,-133,3.6,3.7,1,95.3,36,30.8,"Hip.","00","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
47.1,17.9,7.2,3.8,9.2,9.1,7.5,29.7,-6.8,3.8,0,-103.4,3.1,1.7,3.6,94.7,33.8,28.6,"Hip.","00","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
48,28.2,13.7,6.9,13.9,7.7,10,38.5,-7.9,4.9,0,-122.4,3.4,50.6,0,49.4,37,29.3,"Hip.","00","SF","Intermediário","AFN","O","Sala","Curitiba"
34.1,30.2,13.7,12.4,12.7,8.8,16.1,50,-6.7,3.6,0,-125.2,4,74.6,0,25.4,41.2,36.7,"Hip.","00","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
35.6,18.5,8,4.9,9.2,9.8,10,34,-5.5,4,0,-99.8,3.8,60.2,0,39.8,39.8,34.4,"Hip.","00","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
38,27.4,14.1,6.6,9.5,7.7,13.5,37.2,-7.1,5,0,-111.4,3.3,92.9,0,7.1,41.9,36.4,"Hip.","00","SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
26.4,32.9,16.3,16.9,13.6,10.4,11,51.9,-6.5,3.3,0,-124.4,4,77.1,0,22.9,41.4,36.8,"Hip.","00","SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
26.5,33.6,16.6,13.1,16.6,7.3,19.1,56,-6.2,3.3,0,-130.1,4.3,77.1,0,22.9,41.5,36.8,"Hip.","00","SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
29.7,34.4,17.6,12,0,8.6,10.5,41.2,-6.4,5.5,0,-122.7,3.6,96,0,4,41.4,34.8,"Hip.","00","SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
26.4,32.9,16.3,16.9,11,10.4,13.5,51.8,-6.4,3.3,0,-124.3,4,77.1,0,22.9,41.4,36.7,"Hip.","00","SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
26.5,33.6,16.6,13.1,19.1,7.3,16.6,56,-6.2,3.3,0,-130.1,4.3,77.2,0,22.8,41.5,36.8,"Hip.","00","SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
29.7,34.4,17.6,12,10.6,8.6,0,41.2,-6.4,5.5,0,-122.7,3.6,96,0,4,41.4,34.8,"Hip.","00","SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
27.9,19.5,9.6,5.9,8.8,12.9,7.3,34.8,-4.8,2.2,0,-90.3,3.6,59,0,41,38.5,33.7,"Hip.","00","SF","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
28,19.9,9.9,4.1,10.6,9.9,11.8,36.5,-4.5,2.3,0,-93.4,3.9,58.6,0,41.4,38.3,33.6,"Hip.","00","SF","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
31.8,16.9,8.7,3.8,0,7.5,5.3,22.1,-6,3,0,-76.8,3.2,83.3,0,16.7,38.7,33.2,"Hip.","00","SF","Intermediário","AFN","SE","Sala","Rio de Janeiro"
