"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.200000000000003,2.6,1.6,1.1,5.5,2.2,0.300000000000001,9.2,-0.5,0.5,0,-13.5,0.2,0.7,-2.1,1.39999999999999,0.399999999999999,0.300000000000001,"Hip.",0,"TV","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.200000000000003,1.6,1.2,4.6,2.3,-1.2,0.699999999999999,6.4,-0.4,0.5,0,-9.8,0.2,0.2,-3.7,3.39999999999999,0,0.199999999999999,"Hip.",0,"TV","Intermediário","AFN","L","Dorm. S","Curitiba"
-0.5,1.6,1.2,1.9,4.9,0.8,0.8,8.3,-0.8,0.3,0,-9.40000000000001,0.2,5.5,-2.5,-3,0.600000000000001,0.5,"Hip.",0,"TV","Intermediário","AFN","L","Sala","Curitiba"
-0.200000000000003,2.2,1.4,1.9,1.7,3.1,-0.0999999999999996,6.6,-0.5,0.3,-0.1,-10,0.2,0.7,-2.4,1.8,0.600000000000001,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.100000000000001,1.9,1.2,1.8,0.200000000000003,2.4,0.699999999999999,5,-0.5,0.3,-0.1,-8.39999999999999,0.0999999999999996,0.6,-0.9,0.299999999999997,0.700000000000003,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-0.299999999999997,1.8,1.1,2,0,3.5,0.9,7.9,-0.7,0.3,0,-9.8,0.1,7.6,-0.1,-7.5,0.5,0.400000000000002,"Hip.",0,"TV","Intermediário","AFN","NE","Sala","Curitiba"
-0.100000000000001,2.1,1.3,2,-0.0999999999999996,3.1,1.1,6,-0.5,0.3,-0.1,-9.40000000000001,0.1,0.6,-2.4,1.8,0.599999999999998,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.100000000000001,1.9,1.2,1.8,0.800000000000001,2.4,0.199999999999999,5.1,-0.5,0.4,-0.1,-8.5,0.0999999999999996,0.6,-0.9,0.299999999999997,0.700000000000003,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-0.299999999999997,1.8,1.1,2,1,3.5,0,7.9,-0.7,0.3,0,-9.8,0.1,7.7,-0.1,-7.59999999999999,0.5,0.400000000000002,"Hip.",0,"TV","Intermediário","AFN","NO","Sala","Curitiba"
-0.100000000000001,1.3,0.8,4.8,0.7,-1.6,-0.2,3.7,-0.5,0.2,0,-5.7,0.1,0.1,-2.3,2.2,0.300000000000001,0.300000000000001,"Hip.",0,"TV","Intermediário","AFN","SE","Dorm. 1","Curitiba"
0,1.2,0.7,3.5,0,-1,0.5,3,-0.4,0.3,0,-5.19999999999999,0.1,0.1,-2,1.89999999999999,0.399999999999999,0.400000000000002,"Hip.",0,"TV","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-0.300000000000004,1.1,0.9,4.5,0,-0.3,0.8,5.6,-0.6,0.2,0,-6.7,0.2,4.1,-1.8,-2.3,0.5,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SE","Sala","Curitiba"
-0.100000000000001,1.3,0.7,4.8,-0.2,-1.5,0.199999999999999,3.3,-0.399999999999999,0.2,0,-5.19999999999999,0.1,0.1,-2.5,2.40000000000001,0.300000000000001,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SO","Dorm. 1","Curitiba"
0,1.2,0.7,3.5,0.5,-1,0,3.1,-0.4,0.3,0,-5.2,0.1,0.1,-2,1.89999999999999,0.399999999999999,0.400000000000002,"Hip.",0,"TV","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-0.300000000000004,1.1,0.9,4.5,0.7,-0.3,0,5.6,-0.6,0.2,0,-6.6,0.2,4.2,-1.8,-2.39999999999999,0.5,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SO","Sala","Curitiba"
-0.299999999999997,2.1,1.5,0.6,0.800000000000001,2.7,3.7,7.8,-0.5,0.5,0,-11.8,0.2,0.7,-1.9,1.19999999999999,0,0.200000000000003,"Hip.",0,"TV","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.100000000000001,1.3,1.2,5.1,1.3,-1.6,0.2,5,-0.3,0.5,0,-8.2,0.1,0.2,-2.4,2.10000000000001,-0.399999999999999,0.100000000000001,"Hip.",0,"TV","Intermediário","AFN","O","Dorm. S","Curitiba"
-0.5,1.6,1.2,1.9,1.8,0.899999999999999,3.7,8.4,-0.8,0.3,0,-9.3,0.1,4.3,-1.6,-2.60000000000001,0.400000000000006,0.400000000000002,"Hip.",0,"TV","Intermediário","AFN","O","Sala","Curitiba"
-0.699999999999996,2.5,1.8,0.9,3.5,1.9,0.5,6.8,-0.6,0.6,0,-10.6,0.1,5.10000000000001,0,-5.1,0.400000000000006,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.399999999999999,1.7,1.3,4,-0.3,-1.6,1,3.1,-0.300000000000001,0.6,0,-6.8,0.1,3,0,-3,0,0.0999999999999943,"Hip.",0,"TV","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-0.599999999999994,1.8,1.3,2,3.8,0.899999999999999,1.6,8.3,-0.8,0.4,0,-9.7,0.1,3.3,0,-3.3,0.700000000000003,0.599999999999994,"Hip.",0,"TV","Intermediário","AFN","L","Sala","Rio de Janeiro"
-0.399999999999999,1.9,1.3,2,1.2,2.2,-0.199999999999999,5.2,-0.600000000000001,0.3,0,-7.8,0.1,3.39999999999999,0,-3.4,0.699999999999996,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.299999999999997,1.8,1.2,1.8,0,1.8,0.5,4,-0.6,0.3,0,-6.60000000000001,0.0999999999999996,2.3,0,-2.3,0.799999999999997,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.5,1.9,1.2,2.3,0,2.9,1.1,7.6,-0.7,0.300000000000001,0,-9.8,0.1,1.90000000000001,0,-1.9,0.800000000000004,0.5,"Hip.",0,"TV","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-0.399999999999999,1.9,1.3,1.9,-0.199999999999999,2.1,1.1,5,-0.600000000000001,0.3,0,-7.59999999999999,0.1,3.3,0,-3.3,0.699999999999996,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.299999999999997,1.7,1.2,1.8,0.5,1.8,0,4,-0.6,0.3,0,-6.50000000000001,0.0999999999999996,2.3,0,-2.3,0.700000000000003,0.600000000000001,"Hip.",0,"TV","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.5,1.9,1.2,2.3,1,2.9,0,7.7,-0.7,0.300000000000001,0,-9.89999999999999,0.1,1.90000000000001,0,-1.9,0.800000000000004,0.5,"Hip.",0,"TV","Intermediário","AFN","NO","Sala","Rio de Janeiro"
-0.200000000000003,1.3,0.699999999999999,3.5,0.299999999999999,-2,-0.199999999999999,1.7,-0.3,0.2,0,-3.7,0,1.6,0,-1.6,0.200000000000003,0.299999999999997,"Hip.",0,"TV","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.100000000000001,1.1,0.6,2.6,-0.0999999999999996,-1.4,0.299999999999999,1.2,-0.3,0.2,0,-3,0.1,1.3,0,-1.3,0.399999999999999,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.300000000000004,1.3,0.699999999999999,3.9,0,-0.5,0.6,4.4,-0.5,0.2,0,-5.7,0.1,3.59999999999999,0,-3.6,0.399999999999999,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SE","Sala","Rio de Janeiro"
-0.200000000000003,1.2,0.699999999999999,3.5,-0.199999999999999,-2,0.199999999999999,1.5,-0.4,0.2,0,-3.39999999999999,0,1.5,0,-1.5,0.300000000000004,0.299999999999997,"Hip.",0,"TV","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.100000000000001,1.1,0.6,2.6,0.199999999999999,-1.4,-0.0999999999999996,1.2,-0.3,0.2,0,-3,0.1,1.3,0,-1.3,0.399999999999999,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.300000000000004,1.3,0.699999999999999,3.9,0.7,-0.5,0,4.4,-0.5,0.2,0,-5.7,0.1,3.59999999999999,0,-3.6,0.399999999999999,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","SO","Sala","Rio de Janeiro"
-0.600000000000001,2.2,1.5,0.700000000000001,0.300000000000001,1.6,3.4,6,-0.5,0.5,0,-9.40000000000001,0.1,4.40000000000001,0,-4.4,0.100000000000001,0.299999999999997,"Hip.",0,"TV","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-0.300000000000004,1.3,1.2,3.8,0.9,-1.8,-0.6,2.3,-0.2,0.6,0,-5.5,0.0999999999999996,2.4,0,-2.4,-0.399999999999999,0.100000000000001,"Hip.",0,"TV","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
-0.600000000000001,1.6,1.1,1.9,1.7,0.8,3.1,7.5,-0.7,0.3,0,-8.60000000000001,0.1,2.80000000000001,0,-2.8,0.399999999999999,0.399999999999999,"Hip.",0,"TV","Intermediário","AFN","O","Sala","Rio de Janeiro"
-0.399999999999999,2.5,1.6,0.9,4.1,2,0.5,7.6,-0.5,0.5,0,-11.7,0.0999999999999996,4.6,-1.1,-3.5,0.799999999999997,0.299999999999997,"Hip.",0,"TV","Intermediário","AFN","L","Dorm. N","São Paulo"
