"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1.2,8.6,4.3,4.2,20,11.8,0.0999999999999996,36.2,-3.4,0.5,0,-0.9,-1.6,-40.5,-1.6,5.7,"Hip.",1,"SF","Intermediário","HVAC","L","Dorm. N","Curitiba"
-1.7,4.7,3,14.5,11.6,-1.3,2.3,27,-3,0.4,0,-0.5,-4.1,-24.8,-4.1,1.8,"Hip.",1,"SF","Intermediário","HVAC","L","Dorm. S","Curitiba"
-0.400000000000006,8.1,4.9,4.9,13.2,1.9,5,25,-2,2.2,0,-0.4,0,-38.5,0,34.5,"Hip.",1,"SF","Intermediário","HVAC","L","Sala","Curitiba"
-0.400000000000006,8.2,4.1,3,5.3,15,1,24.4,-3.1,0.1,0,-0.6,0,-31,0,7.3,"Hip.",1,"SF","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.299999999999997,6.8,3.1,1.1,2.4,11.2,1.5,16.2,-2.5,0.1,0,-0.4,0,-21.3,0,6.9,"Hip.",1,"SF","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,7.9,3.7,3.4,0,9.9,1.6,17.9,-1,1.8,0,-0.2,0,-31.9,0,40.9,"Hip.",1,"SF","Intermediário","HVAC","NE","Sala","Curitiba"
-0.400000000000006,7.8,3.9,2.7,1.1,15,4.1,23,-3.1,0.0999999999999999,0,-0.5,0,-29.3,0,7.1,"Hip.",1,"SF","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.299999999999997,6.8,3.1,1.1,1.8,11.2,2.1,16.2,-2.6,0.1,0,-0.4,0,-21.5,0,6.9,"Hip.",1,"SF","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,7.9,3.7,3.3,1.9,9.9,0,17.9,-1,1.9,0,-0.2,0,-31.8,0,41,"Hip.",1,"SF","Intermediário","HVAC","NO","Sala","Curitiba"
-1,4.8,2.9,15.1,2.3,2.6,0.7,20.8,-3,0.2,0,-0.4,-1.7,-21.6,-1.7,1.2,"Hip.",1,"SF","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
-0.799999999999997,4.5,2.6,11.7,2.1,1.6,2.2,17.7,-2.5,0.3,0,-0.3,-0.3,-20.4,-0.3,1.1,"Hip.",1,"SF","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
-0.399999999999999,5.9,3.7,11,0,3.2,1.9,18.9,-1.7,1.3,0,-0.1,0,-27.9,0,21.5,"Hip.",1,"SF","Intermediário","HVAC","SE","Sala","Curitiba"
-1,4.6,2.9,15.4,0.8,2.5,1.4,20,-3,0.2,0,-0.4,-1.6,-20.9,-1.6,1.3,"Hip.",1,"SF","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
