"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-1,-0.0999999999999996,2.2,2.1,14.9,6.8,0,23.8,-2.1,0.4,0,-0.4,-0.1,-22.1,-0.1,-0.2,"Hip.",3,"SF","Térreo","HVAC","L","Dorm. N","Curitiba"
-1.40000000000001,-1.2,2.4,14.7,10.9,-0.4,1.4,26.7,-2.2,0.3,0,-0.3,-0.3,-23.6,-0.3,-0.1,"Hip.",3,"SF","Térreo","HVAC","L","Dorm. S","Curitiba"
-0.200000000000003,2.3,3.3,2.8,9.5,1,3,16.3,-1.7,1.3,0,-0.3,0,-21,0,7.4,"Hip.",3,"SF","Térreo","HVAC","L","Sala","Curitiba"
-0.400000000000006,2.3,1.8,1.2,2.4,8.2,0.7,12.4,-1.8,0.1,0,-0.3,0,-13.4,0,-0.2,"Hip.",3,"SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
-0.200000000000003,3,1.5,0.6,1.6,6,0.8,9,-1.6,0.1,0,-0.3,0,-11,0,-0.1,"Hip.",3,"SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
-0.100000000000001,5.8,3,2.3,0,4.3,0.999999999999999,9.4,-1.2,1,0,-0.1,0,-17.8,0,17.1,"Hip.",3,"SF","Térreo","HVAC","NE","Sala","Curitiba"
-0.400000000000006,2.4,1.7,1,0.8,8.2,1.5,11.4,-1.8,0.1,0,-0.3,0,-12.5,0,-0.2,"Hip.",3,"SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
-0.200000000000003,3,1.5,0.6,1.1,6,1.4,9.1,-1.6,0.2,0,-0.3,0,-11.1,0,-0.1,"Hip.",3,"SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
-0.100000000000001,5.8,3,2.3,1.3,4.3,0,9.5,-1.2,0.9,0,-0.1,0,-17.9,0,17.3,"Hip.",3,"SF","Térreo","HVAC","NO","Sala","Curitiba"
-0.700000000000003,0.4,2.5,15.4,1.8,1.9,0.7,19.9,-2.1,0.2,0,-0.3,0,-19.3,0,0,"Hip.",3,"SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
-0.5,2.1,2.4,11.4,1.8,1.3,1.8,16.4,-1.8,0.4,0,-0.2,0,-18.4,0,0,"Hip.",3,"SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
-0.100000000000001,3.4,3.7,10.9,0,2.9,1.7,17.7,-1.5,1,0,-0.2,0,-23.9,0,11.7,"Hip.",3,"SF","Térreo","HVAC","SE","Sala","Curitiba"
-0.700000000000003,0.5,2.4,15.4,0.7,1.9,1.2,19.2,-2.1,0.2,0,-0.3,0,-18.7,0,0,"Hip.",3,"SF","Térreo","HVAC","SO","Dorm. 1","Curitiba"
-0.5,2.1,2.4,11.4,1.9,1.3,1.7,16.4,-1.8,0.4,0,-0.2,0,-18.4,0,0,"Hip.",3,"SF","Térreo","HVAC","SO","Dorm. 2","Curitiba"
-0.100000000000001,3.4,3.7,11,1.8,2.8,0,17.6,-1.5,1,0,-0.2,0,-23.9,0,11.7,"Hip.",3,"SF","Térreo","HVAC","SO","Sala","Curitiba"
-0.899999999999999,0.2,2,1.1,0.2,7,9.2,17.6,-2,0.1,0,-0.4,0,-15.5,0,-1.3,"Hip.",3,"SF","Térreo","HVAC","O","Dorm. N","Curitiba"
-1.2,-0.600000000000001,2.4,14.8,1.8,-1.2,5.3,20.5,-2.1,0.2,0,-0.3,-0.2,-18,-0.2,-0.8,"Hip.",3,"SF","Térreo","HVAC","O","Dorm. S","Curitiba"
-0.200000000000003,5.1,3.7,3.8,4.8,2,5.3,15.8,-1.2,1.4,0,-0.2,0,-24.7,0,18.1,"Hip.",3,"SF","Térreo","HVAC","O","Sala","Curitiba"
0,-0.5,-2.2,-2.8,-6.8,-7.7,-5,-22.5,-0.6,-0.4,0,0,0,26.1,0,-23.8,"Hip.",3,"SF","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,0.5,-1.1,1.6,-10.4,-4.4,-1.8,-14.9,-0.3,-0.1,0,0,0,15.5,0,-13.8,"Hip.",3,"SF","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,-1.5,-1.8,-1.7,-12.2,-3.9,-5.4,-23.2,-1,-0.5,0,-0.1,0,28.6,0,-20.7,"Hip.",3,"SF","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,-1.8,-2.9,-6.9,-5.5,-8.8,-3.2,-24.4,-0.9,-0.5,0,-0.1,0,31.2,0,-30.7,"Hip.",3,"SF","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,-2.3,-2.6,-4.8,-4.7,-6.4,-6.1,-22,-1,-0.5,0,0,0,29.3,0,-29.7,"Hip.",3,"SF","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
-0.0999999999999943,0,-1,-3.2,0,-10.4,-2.5,-18.7,-0.8,-0.100000000000001,0,-0.1,0,20.1,0,-18,"Hip.",3,"SF","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,-1.9,-2.9,-6.9,-3.4,-8.9,-5.4,-24.5,-0.9,-0.5,0,-0.1,0,31.4,0,-31.2,"Hip.",3,"SF","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,-2.3,-2.7,-4.8,-6.1,-6.4,-4.6,-22,-1,-0.5,0,0,0,29.3,0,-29.7,"Hip.",3,"SF","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
-0.0999999999999943,0,-1,-3.2,-2.3,-10.4,0,-18.5,-0.7,0,0,-0.1,0,20,0,-17.7,"Hip.",3,"SF","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-1.4,-0.9,0.100000000000001,-4.1,-3.7,-2,-9.7,-0.8,-0.2,0,0,0,13.4,0,-11,"Hip.",3,"SF","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-1.4,-0.700000000000001,0,-2.8,-2.5,-3.2,-8.4,-0.9,-0.1,0,0,0,11.9,0,-9.60000000000001,"Hip.",3,"SF","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-0.399999999999999,0.699999999999999,-1.2,0,-1.1,-0.6,-3.7,-0.7,0.2,0,0,0,3.80000000000001,0,3.90000000000001,"Hip.",3,"SF","Térreo","HVAC","SE","Sala","Rio de Janeiro"
0,-1.4,-0.800000000000001,0,-2,-3.7,-4.2,-9.9,-0.8,-0.2,0,0,0,13.7,0,-11.4,"Hip.",3,"SF","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,-1.4,-0.700000000000001,0,-3.1,-2.5,-2.8,-8.4,-0.9,-0.1,0,0,0,11.9,0,-9.60000000000001,"Hip.",3,"SF","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,-0.399999999999999,0.699999999999999,-1.2,-0.5,-1.1,0,-3.6,-0.7,0.2,0,0,0,3.70000000000002,0,4,"Hip.",3,"SF","Térreo","HVAC","SO","Sala","Rio de Janeiro"
0.100000000000001,-1.4,-2.9,-3.6,-6.3,-8.6,-9.5,-27.9,-0.7,-0.6,0,-0.2,0,34.2,0,-32.9,"Hip.",3,"SF","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
