"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.2,12.8,-1.7,6.4,4.8,5.3,12.5,45.2,0,0,NA,4.8,-100,-6.3,-100,14.6,"Hip.","03","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
0,-7.4,100,2.2,3.1,4.3,-4.8,7.6,0,0,NA,16.7,12.5,-3.8,12.5,14.3,"Hip.","03","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
0,5.7,7.5,4.4,41.7,4.3,21.4,14.7,0,-32.6,NA,21.7,NA,-4,NA,15.6,"Hip.","03","TV","Intermediário","HVAC","L","Sala","Curitiba"
-0.3,23.2,16.9,66.7,11.6,13.8,20.3,43.4,-3.4,20,NA,21.1,NA,-19.9,NA,97.1,"Hip.","03","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
-0.3,23.1,21.5,80,20.9,15,19.5,36.3,-2.3,20,NA,16.7,NA,-20.7,NA,108.6,"Hip.","03","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
-0.3,15.3,8.2,56.1,NA,9.5,10.5,24.9,-4.5,-17,-100,15.4,NA,-10.9,NA,23.9,"Hip.","03","TV","Intermediário","HVAC","NE","Sala","Curitiba"
-0.3,23.1,16.7,68,20,17.2,12.7,42.7,-3.4,18.7,NA,21.1,NA,-19.9,NA,94.4,"Hip.","03","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
-0.3,23.1,21.5,80,19.2,15,21.1,36.3,-2.3,20,NA,16.7,NA,-20.6,NA,108.6,"Hip.","03","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
-0.3,15.3,8.2,56.1,10.4,9.5,NA,24.9,-4.5,-18.9,-100,15.4,NA,-10.9,NA,23.9,"Hip.","03","TV","Intermediário","HVAC","NO","Sala","Curitiba"
0.3,-6.2,25.9,4.8,6.9,-31.3,3.4,-30,2.3,0,NA,31.2,Inf,0,Inf,20,"Hip.","03","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
0,-2.3,31.2,4.9,0,-16,3.7,-3.6,1.1,0,NA,26.7,NA,-2.5,NA,25,"Hip.","03","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
0.3,-4.4,18.2,16.7,NA,-4.4,4.3,0,2.6,-34.6,NA,25,NA,1.4,NA,3.4,"Hip.","03","TV","Intermediário","HVAC","SE","Sala","Curitiba"
