"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.699999999999989,-0.200000000000017,-0.200000000000003,1.3,0.5,0.200000000000003,4.09999999999999,6.19999999999999,-0.299999999999997,0.300000000000001,0.1,-4.5,0,0.6,0.600000000000001,-1.09999999999999,0.399999999999999,0.199999999999999,"Hip.","03","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
-0.600000000000023,-1.5,0.699999999999996,1.4,1.5,2,-4.40000000000001,0.5,0.600000000000001,0.5,0,-1.69999999999993,0,0.5,1.2,-1.60000000000001,0.399999999999999,0.100000000000001,"Hip.","03","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
-2.80000000000007,-7.90000000000003,1.10000000000001,-1.4,1.1,0.599999999999994,35.9,36.1,-0.299999999999997,-17.4,0,-9.59999999999991,0,1.9,1,-2.90000000000001,0.600000000000001,0.400000000000002,"Hip.","03","TV","Cobertura","AFN","L","Sala","Curitiba"
-1.09999999999997,0.800000000000011,0,21.6,3.29999999999998,0.799999999999997,5.5,31.1,-1,1.2,-0.6,-24.5999999999999,0,1,0.2,-1.3,0.599999999999994,0.300000000000001,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
-1,-6.39999999999998,0.200000000000003,20.9,7.90000000000001,0.5,7,36.2,-0.899999999999999,1.2,-0.5,-21.8,0,1,0.5,-1.5,0.600000000000001,0.300000000000001,"Hip.","03","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
-3.29999999999995,-4,5.80000000000001,82.8,0,3.5,5.40000000000001,108.4,-1.8,-16.6,-0.4,-75.3999999999999,0,3.2,0.7,-3.9,0.5,0.300000000000001,"Hip.","03","TV","Cobertura","AFN","NE","Sala","Curitiba"
-1,0.800000000000011,0.200000000000003,22.4,5.79999999999998,1,3.20000000000002,32.5,-0.899999999999999,1.2,-0.6,-26.0999999999999,0,1,0.3,-1.40000000000001,0.699999999999996,0.399999999999999,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
-1,-6.39999999999998,0.200000000000003,20.9,7.30000000000001,0.399999999999999,7.80000000000001,36.4000000000001,-0.899999999999999,1.1,-0.5,-22.3000000000002,0,1,0.5,-1.5,0.600000000000001,0.300000000000001,"Hip.","03","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
-3.29999999999995,-4.19999999999993,5.79999999999998,82.8,5.40000000000001,3.5,0,108.4,-1.8,-16.6,-0.4,-75.1999999999998,0,3.3,0.7,-4,0.5,0.300000000000001,"Hip.","03","TV","Cobertura","AFN","NO","Sala","Curitiba"
-0.100000000000023,-8.19999999999999,2.2,3.7,1.10000000000001,-41.5,-2.09999999999999,-38.8,3.3,-0.5,0.1,44.8,0,0.4,2.1,-2.5,0.5,0.100000000000001,"Hip.","03","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
