"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
47.1,21.5,5.8,11.5,-4.2,-0.2,14.4,21.5,-4.7,2.3,0.1,-94.6,2.9,1.6,10.5,87.9,33,28.6,"Hip.","04","C10","Cobertura","AFN","L","Dorm. N","Curitiba"
47.3,12.2,5.9,-7,-1.1,12.5,7.5,12,-5.1,2.3,0.1,-76.6,2.5,1.1,16.9,82.1,32.8,27.9,"Hip.","04","C10","Cobertura","AFN","L","Dorm. S","Curitiba"
50.3,17.3,5.8,1,-5.4,3.7,9.6,8.8,-5.8,1.7,0,-75.6,2.6,30.1,5.6,64.3,33.1,28.1,"Hip.","04","C10","Cobertura","AFN","L","Sala","Curitiba"
36,26.6,7.1,16.1,9.9,-0.2,12.2,38,-4.8,2.6,0,-106.3,3.1,2.1,6.6,91.3,32.7,28.3,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 1","Curitiba"
36,28,7.6,13.3,17.9,-0.4,17.5,48.3,-4.8,2.7,0,-118.2,3.4,2.2,5.5,92.3,32.4,28.2,"Hip.","04","C10","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.7,26.2,6.8,10.4,0,-1.9,6.1,20.6,-5.9,2.5,0,-88.3,3,35.8,2.8,61.5,32.5,27.8,"Hip.","04","C10","Cobertura","AFN","NE","Sala","Curitiba"
36,26.8,7.2,16.3,12.3,-0.3,10.6,38.9,-4.8,2.7,0,-107.4,3.1,2.2,6.6,91.3,32.7,28.3,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 1","Curitiba"
36,28,7.7,13.3,17.7,-0.4,17.7,48.4,-4.8,2.6,0,-118.3,3.4,2.2,5.4,92.4,32.4,28.2,"Hip.","04","C10","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.7,26.2,6.8,10.4,6.1,-1.9,0,20.6,-5.9,2.5,0,-88.3,3,35.7,2.8,61.5,32.5,27.8,"Hip.","04","C10","Cobertura","AFN","NO","Sala","Curitiba"
36.4,14,7.4,-5.6,6.9,10.3,8.3,19.9,-4.6,1.7,0,-75.4,2.5,1,14.1,85,31.9,27.2,"Hip.","04","C10","Cobertura","AFN","SE","Dorm. 1","Curitiba"
