"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
0.2,-6.7,-6.3,-2,-1.8,-1.5,-3.8,-9.1,0.8,0.5,0,0.6,0,19.8,0,-0.3,"Hip.","05","SF","Térreo","HVAC","L","Dorm. N","Curitiba"
0.7,-12.4,-2.7,-1.9,-2.3,-2.6,-3.3,-10.2,1.2,-0.6,0,0.5,0,23.3,0,-0.1,"Hip.","05","SF","Térreo","HVAC","L","Dorm. S","Curitiba"
0.1,-9,-3.9,-1.3,-1.9,-1.8,-1.3,-6.1,0.9,-2.5,0,0.6,0,20.6,0,-9.8,"Hip.","05","SF","Térreo","HVAC","L","Sala","Curitiba"
0.1,-5.4,-6.8,-1.8,-3.1,-1.4,-1.6,-8,0.6,0.7,0,0.3,0,18.4,0,-0.3,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 1","Curitiba"
0,-2.8,-6.2,-0.8,-1.7,-0.6,-3.2,-6.4,0.5,0.7,0,0.1,0,14,0,-0.2,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 2","Curitiba"
0,-2.9,-4.4,0.6,8,-0.8,-1.1,-2.2,0.3,-2.1,0,0,0,12.3,0,-14.6,"Hip.","05","SF","Térreo","HVAC","NE","Sala","Curitiba"
0.1,-5.5,-6.8,-1.9,-1.7,-1.4,-3,-8,0.6,0.6,0,0.3,0,18.5,0,-0.3,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 1","Curitiba"
0,-2.8,-6.2,-0.8,-3.3,-0.6,-1.7,-6.5,0.5,0.7,0,0.1,0,14,0,-0.2,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 2","Curitiba"
0,-2.9,-4.4,0.6,-1.2,-0.8,7.8,-2.3,0.2,-2.1,0,0,0,12.4,0,-14.7,"Hip.","05","SF","Térreo","HVAC","NO","Sala","Curitiba"
0.6,-13,-3.7,-2.5,-3.1,-4.2,-2.3,-12.1,1.4,-0.4,0,0.4,0,26.7,0,0,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 1","Curitiba"
0.4,-12.1,-3.7,-1.6,-3.4,-3,-4.3,-12.2,1.2,-0.5,0,0.1,0,26.5,0,0,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 2","Curitiba"
0,-13,-2.9,-1.5,3.1,-2.2,-2.2,-7.9,1.4,-1.9,0,0.2,0,24.4,0,-11.1,"Hip.","05","SF","Térreo","HVAC","SE","Sala","Curitiba"
0.6,-13,-3.7,-2.5,-2.4,-4.2,-3.1,-12.2,1.4,-0.4,0,0.4,0,26.9,0,0,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 1","Curitiba"
0.4,-12.1,-3.7,-1.6,-4.2,-3,-3.3,-12.2,1.2,-0.5,0,0.1,0,26.5,0,0,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 2","Curitiba"
0,-13,-2.9,-1.6,-2.1,-2.2,3,-8,1.4,-1.9,0,0.2,0,24.5,0,-11.2,"Hip.","05","SF","Térreo","HVAC","SO","Sala","Curitiba"
0.2,-6.5,-6.4,-2,-3.9,-1.5,-1.7,-9.1,0.7,0.7,0,0.4,0,19.5,0,-0.4,"Hip.","05","SF","Térreo","HVAC","O","Dorm. N","Curitiba"
0.6,-12.2,-2.8,-2,-3.4,-2.6,-2.3,-10.3,1.2,-0.5,0,0.3,0,23.6,0,-0.2,"Hip.","05","SF","Térreo","HVAC","O","Dorm. S","Curitiba"
0,-7.4,-4.2,-0.9,0.2,-1.4,-1.7,-3.9,0.7,-2.7,0,0.1,0,17.9,0,-12.5,"Hip.","05","SF","Térreo","HVAC","O","Sala","Curitiba"
0.1,1.4,-3.6,-0.1,0,0,-4.1,-4.2,0.4,3.9,0,0,0,1.1,0,-5.8,"Hip.","05","SF","Térreo","HVAC","L","Dorm. N","Rio de Janeiro"
0,-9.3,-0.1,-0.9,-1,-1.5,-4.1,-7.6,0.4,2,0,0.4,0,14.3,0,-16.1,"Hip.","05","SF","Térreo","HVAC","L","Dorm. S","Rio de Janeiro"
0,-0.6,-2,0.1,-0.2,-0.6,3,2.3,0.1,-3.3,0.1,0,0,6.8,0,-16.4,"Hip.","05","SF","Térreo","HVAC","L","Sala","Rio de Janeiro"
0,1.1,-4.1,-0.2,-3.5,-0.2,-0.2,-4.2,0.3,2.9,0,0,0,3.1,0,-6,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 1","Rio de Janeiro"
0,3.2,-3.2,0.4,0.2,0.1,-2.9,-2.2,0.2,3,0,-0.1,0,-1.8,0,-1.6,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 2","Rio de Janeiro"
0,2.6,-1.9,2.7,13.7,0,-0.2,2.8,-0.1,-2.7,0.1,0.1,0,2.3,0,-3.3,"Hip.","05","SF","Térreo","HVAC","NE","Sala","Rio de Janeiro"
0,1.1,-4.1,-0.2,-0.3,-0.2,-3.4,-4.1,0.4,2.9,0,0,0,3,0,-6,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 1","Rio de Janeiro"
0,3.2,-3.2,0.4,-3,0.1,0.2,-2.2,0.2,3,0,-0.1,0,-1.8,0,-1.6,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 2","Rio de Janeiro"
0,2.6,-2,2.7,-0.2,0,13.6,2.7,-0.1,-2.7,0.1,0.1,0,2.4,0,-3.4,"Hip.","05","SF","Térreo","HVAC","NO","Sala","Rio de Janeiro"
0,-14,-1.1,-1.9,-4.3,-4,-2,-12.1,0.5,1.2,0,0.3,0,25,0,-25.7,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 1","Rio de Janeiro"
0,-13.5,-0.8,-1.1,-2.6,-2.8,-4.8,-11.4,0.5,1.3,0,0.3,0,23.5,0,-25.3,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 2","Rio de Janeiro"
0,-12.6,-0.1,-0.9,8.3,-0.5,-1.3,-3.9,0.8,-2.5,-0.2,0.1,0,20.5,0,-34,"Hip.","05","SF","Térreo","HVAC","SE","Sala","Rio de Janeiro"
0,-14,-1.1,-1.9,-1.9,-4,-4.2,-12.1,0.5,1.2,0,0.3,0,25,0,-25.8,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 1","Rio de Janeiro"
0,-13.5,-0.8,-1.1,-4.8,-2.8,-2.6,-11.4,0.5,1.3,0,0.3,0,23.5,0,-25.2,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 2","Rio de Janeiro"
0,-12.6,-0.1,-0.9,-1.2,-0.5,8.2,-3.9,0.8,-2.5,-0.2,0.1,0,20.6,0,-34.1,"Hip.","05","SF","Térreo","HVAC","SO","Sala","Rio de Janeiro"
0.1,-0.3,-3.7,-0.3,-4.5,-0.3,-0.2,-5.3,0.4,3.7,0,-0.1,0,3.8,0,-8.1,"Hip.","05","SF","Térreo","HVAC","O","Dorm. N","Rio de Janeiro"
0,-11.1,-0.2,-1.1,-4.5,-1.8,-1.2,-8.6,0.4,1.9,0,0.4,0,17,0,-18.1,"Hip.","05","SF","Térreo","HVAC","O","Dorm. S","Rio de Janeiro"
0,-2.7,-1.5,0,3.1,-0.6,-0.5,2.1,0.1,-3.8,0.1,0,0,8.9,0,-15.6,"Hip.","05","SF","Térreo","HVAC","O","Sala","Rio de Janeiro"
0.1,-5.6,-5.8,-1.7,-1.4,-1.2,-4.3,-8.6,0.6,1.5,0,0.2,0,16.9,0,-9.7,"Hip.","05","SF","Térreo","HVAC","L","Dorm. N","São Paulo"
0.1,-12.8,-2.7,-2.1,-2.4,-2.7,-4.2,-11.3,0.7,0.1,0,0.7,0,25.2,0,-9.6,"Hip.","05","SF","Térreo","HVAC","L","Dorm. S","São Paulo"
0,-6.7,-3.6,-0.8,-1.3,-1.4,0.4,-3.1,0.6,-2.9,0.1,0.2,0,16.9,0,-16.3,"Hip.","05","SF","Térreo","HVAC","L","Sala","São Paulo"
0,-4.9,-6.2,-1.7,-3.6,-1.2,-1.4,-7.9,0.6,1.3,0,0,0,16.6,0,-10.7,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 1","São Paulo"
0,-2.1,-5.4,-0.6,-1.4,-0.5,-3.5,-6,0.5,1.4,0,0,0,11.4,0,-10.5,"Hip.","05","SF","Térreo","HVAC","NE","Dorm. 2","São Paulo"
0,-2,-3.8,1.2,10,-0.6,-1,-0.9,0.2,-2.4,0,0,0,10.5,0,-16.8,"Hip.","05","SF","Térreo","HVAC","NE","Sala","São Paulo"
0,-4.9,-6.2,-1.7,-1.4,-1.2,-3.4,-7.9,0.6,1.2,0,0,0,16.5,0,-10.7,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 1","São Paulo"
0,-2.1,-5.4,-0.6,-3.5,-0.5,-1.4,-6.1,0.5,1.4,0,0,0,11.4,0,-10.5,"Hip.","05","SF","Térreo","HVAC","NO","Dorm. 2","São Paulo"
0,-2,-3.8,1.2,-0.9,-0.6,9.8,-1,0.2,-2.4,0,0,0,10.6,0,-16.9,"Hip.","05","SF","Térreo","HVAC","NO","Sala","São Paulo"
0.1,-15.1,-3.6,-2.8,-4,-4.7,-2.7,-14.1,0.8,0,0,0.7,0,31.1,0,-11.8,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 1","São Paulo"
0.1,-14,-3.2,-1.7,-3.6,-3.2,-4.9,-13.4,0.7,0,0,0.6,0,29.2,0,-11.9,"Hip.","05","SF","Térreo","HVAC","SE","Dorm. 2","São Paulo"
0.1,-13.6,-2.1,-1.4,5.1,-1.6,-1.9,-6.9,1.1,-2.2,0,0.4,0,23.7,0,-23.1,"Hip.","05","SF","Térreo","HVAC","SE","Sala","São Paulo"
0.1,-15.1,-3.6,-2.8,-2.7,-4.7,-4,-14.1,0.8,0,0,0.7,0,31.2,0,-11.9,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 1","São Paulo"
0.1,-14,-3.2,-1.7,-4.9,-3.2,-3.5,-13.4,0.7,0,0,0.6,0,29.2,0,-11.8,"Hip.","05","SF","Térreo","HVAC","SO","Dorm. 2","São Paulo"
0.1,-13.6,-2.1,-1.4,-1.9,-1.6,5.1,-6.9,1.1,-2.2,0,0.4,0,23.8,0,-23.1,"Hip.","05","SF","Térreo","HVAC","SO","Sala","São Paulo"
0.1,-6.5,-5.8,-1.9,-4.5,-1.3,-1.5,-9.2,0.6,1.5,0,0,0,18.5,0,-10.6,"Hip.","05","SF","Térreo","HVAC","O","Dorm. N","São Paulo"
0.1,-13.8,-2.7,-2.1,-4.4,-2.9,-2.5,-11.9,0.7,0.1,0,0.6,0,26.7,0,-10.2,"Hip.","05","SF","Térreo","HVAC","O","Dorm. S","São Paulo"
0,-8.1,-3.4,-0.8,0.6,-1.4,-1.5,-3.3,0.7,-3.2,0,-0.1,0,19,0,-20.8,"Hip.","05","SF","Térreo","HVAC","O","Sala","São Paulo"
