"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.4,-0.3,2.5,2.1,-6.1,-2.9,3.4,-3.4,-7.4,1.4,0,-1.2,0,-33.8,0,0.3,"Hip.","05","TV","Térreo","HVAC","L","Dorm. N","Curitiba"
44.4,-1.8,-0.1,-8.4,-5,1.7,0.7,-11.1,-7.7,0.5,0,-1,0.2,-23.4,0.2,0.1,"Hip.","05","TV","Térreo","HVAC","L","Dorm. S","Curitiba"
51,5.4,6.3,4.3,1.2,4.3,8.8,18.7,-6.3,2.2,0,-1,0,-76.7,0,28.6,"Hip.","05","TV","Térreo","HVAC","L","Sala","Curitiba"
33,0.9,4.7,5.7,3.5,-2.2,3,10,-7.7,1.7,0,-1.3,0,-40.6,0,0.2,"Hip.","05","TV","Térreo","HVAC","NE","Dorm. 1","Curitiba"
32.9,3.1,5.8,5.3,5.4,-1.3,6,15.4,-7.6,1.9,0,-1.4,0,-49.4,0,0.1,"Hip.","05","TV","Térreo","HVAC","NE","Dorm. 2","Curitiba"
39.4,12.1,11,10.4,7.6,4.4,7.5,29.9,-5.8,2.9,0,-1.1,0,-88.6,0,20.8,"Hip.","05","TV","Térreo","HVAC","NE","Sala","Curitiba"
33,0.9,4.7,5.7,3,-2.2,3.5,10,-7.7,1.7,0,-1.3,0,-40.6,0,0.2,"Hip.","05","TV","Térreo","HVAC","NO","Dorm. 1","Curitiba"
32.9,3.1,5.8,5.3,6.1,-1.3,5.2,15.4,-7.6,1.9,0,-1.4,0,-49.4,0,0.1,"Hip.","05","TV","Térreo","HVAC","NO","Dorm. 2","Curitiba"
39.4,12.1,11,10.4,7.6,4.4,7.5,29.9,-5.8,2.9,0,-1.1,0,-88.6,0,20.8,"Hip.","05","TV","Térreo","HVAC","NO","Sala","Curitiba"
34,-2.1,0.5,-7.8,0.8,1.1,0.8,-5.1,-7.4,0.3,0,-1,0,-19.3,0,0,"Hip.","05","TV","Térreo","HVAC","SE","Dorm. 1","Curitiba"
33.8,-1.6,0.8,-5.6,1.2,1.2,1.1,-2.1,-7.5,0.3,0,-1.1,0,-22.4,0,0,"Hip.","05","TV","Térreo","HVAC","SE","Dorm. 2","Curitiba"
39.6,1.8,2.7,-2.6,2.3,3.3,2.2,5.2,-6.5,0.8,0,-0.8,0,-42.9,0,4.2,"Hip.","05","TV","Térreo","HVAC","SE","Sala","Curitiba"
34,-2.1,0.5,-7.8,0.8,1.1,0.8,-5.1,-7.4,0.3,0,-1,0,-19.3,0,0,"Hip.","05","TV","Térreo","HVAC","SO","Dorm. 1","Curitiba"
33.8,-1.6,0.8,-5.6,1.1,1.2,1.1,-2.1,-7.5,0.3,0,-1.1,0,-22.4,0,0,"Hip.","05","TV","Térreo","HVAC","SO","Dorm. 2","Curitiba"
39.6,1.8,2.7,-2.6,2.3,3.3,2.2,5.2,-6.5,0.8,0,-0.8,0,-42.9,0,4.2,"Hip.","05","TV","Térreo","HVAC","SO","Sala","Curitiba"
43.3,0.4,3.2,3.1,4.1,-2.7,-2.3,2.3,-7.5,1.9,0,-1.4,0,-41,0,1.1,"Hip.","05","TV","Térreo","HVAC","O","Dorm. N","Curitiba"
