"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
43.1,17.3,6.1,5.2,-4.5,-2,7.8,6.5,-8,3.1,0,-1.5,0,-65.3,0,5.7,"Hip.","06","TV","Intermediário","HVAC","L","Dorm. N","Curitiba"
43.8,6.7,2.3,-8.1,-4.9,5.1,3.5,-4.4,-8.3,2.1,0,-1.2,0.3,-41.5,0.3,2.1,"Hip.","06","TV","Intermediário","HVAC","L","Dorm. S","Curitiba"
50.9,23.2,10.7,6.8,2.9,7.2,14.5,31.4,-6.9,3.6,0,-1.3,0,-111.9,0,72.1,"Hip.","06","TV","Intermediário","HVAC","L","Sala","Curitiba"
32.9,23.6,10.2,13.2,7.5,-0.7,6.7,26.7,-8.4,3.5,0,-1.5,0,-86,0,8.2,"Hip.","06","TV","Intermediário","HVAC","NE","Dorm. 1","Curitiba"
32.8,24.6,11.3,10.9,10.8,-0.4,12.1,33.4,-8.2,3.7,0,-1.5,0,-94.8,0,7.4,"Hip.","06","TV","Intermediário","HVAC","NE","Dorm. 2","Curitiba"
39.3,35.9,16.1,15.6,11.2,6.2,11.1,44.1,-6.3,4.3,0,-1.2,0,-132.6,0,80.7,"Hip.","06","TV","Intermediário","HVAC","NE","Sala","Curitiba"
32.9,23.6,10.2,13.2,6.6,-0.7,7.5,26.6,-8.4,3.4,0,-1.5,0,-85.7,0,8.2,"Hip.","06","TV","Intermediário","HVAC","NO","Dorm. 1","Curitiba"
32.8,24.6,11.3,10.9,12.2,-0.4,10.8,33.5,-8.2,3.8,0,-1.5,0,-95.1,0,7.4,"Hip.","06","TV","Intermediário","HVAC","NO","Dorm. 2","Curitiba"
39.3,35.9,16.1,15.6,11.2,6.2,11.1,44.1,-6.3,4.3,0,-1.2,0,-132.6,0,80.7,"Hip.","06","TV","Intermediário","HVAC","NO","Sala","Curitiba"
33.5,7.5,3.5,-7.5,3,4.8,3.2,3.5,-8.3,1.5,0,-1.1,0,-40.2,0,0.7,"Hip.","06","TV","Intermediário","HVAC","SE","Dorm. 1","Curitiba"
33.3,8.6,4.3,-5.3,4.7,4.3,5,8.6,-8.3,1.6,0,-1.2,0,-46.7,0,0.6,"Hip.","06","TV","Intermediário","HVAC","SE","Dorm. 2","Curitiba"
39.5,12.8,6.4,-2.1,4.8,6.5,4.8,14,-7.2,1.8,0,-0.9,0,-66.5,0,26.2,"Hip.","06","TV","Intermediário","HVAC","SE","Sala","Curitiba"
33.5,7.5,3.5,-7.5,3,4.7,3.1,3.4,-8.2,1.4,0,-1.1,0,-40,0,0.7,"Hip.","06","TV","Intermediário","HVAC","SO","Dorm. 1","Curitiba"
