"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","hvac_sens_he","hvac_sens_ce","hvac_total_he","hvac_total_ce","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,2.1,-0.1,1.7,6.8,2.9,0.2,11.6,-0.6,0.4,0,-0.0999999999999999,-1.7,-10.9,-1.7,4.8,"Hip.",6,"TV","Cobertura","HVAC","L","Dorm. N","Curitiba"
-0.400000000000006,1.5,-0.3,6,3.8,-0.7,0.5,9.8,-0.5,0.4,0,-0.0999999999999999,-2.3,-7.8,-2.3,3.4,"Hip.",6,"TV","Cobertura","HVAC","L","Dorm. S","Curitiba"
-0.0999999999999943,1.4,0.0999999999999996,0.7,4.8,0.4,1.2,7,-0.300000000000001,0.4,0,-0.1,-0.1,-8.30000000000001,-0.1,8.2,"Hip.",6,"TV","Cobertura","HVAC","L","Sala","Curitiba"
-0.100000000000001,1.8,0,0.9,0.8,4.6,0.9,7.2,-0.5,0.3,0,0,-0.5,-7.8,-0.5,4.4,"Hip.",6,"TV","Cobertura","HVAC","NE","Dorm. 1","Curitiba"
-0.0999999999999943,1.5,-0.1,0.4,1.1,3.3,0.699999999999999,5.6,-0.4,0.2,0,-0.0999999999999999,-0.3,-6.2,-0.3,4.1,"Hip.",6,"TV","Cobertura","HVAC","NE","Dorm. 2","Curitiba"
0,1.2,0.300000000000001,0.899999999999999,0.700000000000001,2.8,0.5,5,-0.0999999999999996,0.3,0,0,0,-6.69999999999999,0,7.8,"Hip.",6,"TV","Cobertura","HVAC","NE","Sala","Curitiba"
-0.100000000000001,1.8,0,0.9,1,4.6,0.6,7.2,-0.5,0.2,0,0,-0.5,-7.89999999999999,-0.5,4.4,"Hip.",6,"TV","Cobertura","HVAC","NO","Dorm. 1","Curitiba"
-0.0999999999999943,1.5,-0.1,0.5,0.9,3.3,0.9,5.5,-0.4,0.2,0,-0.0999999999999999,-0.3,-6.2,-0.3,4.1,"Hip.",6,"TV","Cobertura","HVAC","NO","Dorm. 2","Curitiba"
0,1.2,0.300000000000001,0.899999999999999,0.700000000000001,2.8,0.5,5,-0.0999999999999996,0.3,0,0,0,-6.69999999999999,0,7.8,"Hip.",6,"TV","Cobertura","HVAC","NO","Sala","Curitiba"
-0.300000000000004,1.5,-0.3,6.2,0.4,0.899999999999999,0.2,7.8,-0.5,0.3,0,-0.1,-1.3,-6.9,-1.3,3.1,"Hip.",6,"TV","Cobertura","HVAC","SE","Dorm. 1","Curitiba"
