"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
-0.5,7.9,3.7,0.4,11.8,4.7,1.5,18.3,-2.5,1.3,0,-28.4,0.5,2.4,-5.9,3.5,3.4,2.4,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. N","Curitiba"
-0.299999999999997,4.3,2.3,9.4,4.8,-5,0.5,9.6,-1.6,1.3,0,-16.8,0.3,0.8,-9.1,8.3,1.6,1.3,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. S","Curitiba"
-1.5,6.8,4,3.1,12.4,2.2,3.9,21.5,-2.3,1,0,-29.1,0.5,14.1,-1.8,-12.3,4.6,2.4,"Hip.",7,"SF","Intermediário","AFN","L","Sala","Curitiba"
-0.299999999999997,5.5,2.1,-1.1,-0.800000000000001,7.3,-2.2,3.2,-2.1,0.8,0,-9.59999999999999,0.0999999999999996,2.6,-1,-1.59999999999999,4.8,2.8,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
-0.199999999999996,4.8,1.5,-1.3,-2.6,4.9,-1.8,-0.899999999999999,-2,0.6,0,-4.20000000000002,0,2.5,-0.7,-1.8,5.1,2.8,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
-1,7.2,3.8,2.8,3.7,8.1,3.2,17.9,-1.6,0.8,0,-27.3,0.4,15.8,0,-15.8,4.5,1.8,"Hip.",7,"SF","Intermediário","AFN","NE","Sala","Curitiba"
-0.299999999999997,5.7,2.2,-0.900000000000002,-1.7,7.2,-0.700000000000001,3.9,-2.2,0.8,0,-10.7,0.0999999999999996,2.7,-1,-1.7,4.5,2.7,"Hip.",7,"SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
-0.199999999999996,4.5,1.3,-1.6,-2,5.1,-3.5,-2,-2,0.5,0,-2.59999999999999,0,2.3,-0.6,-1.7,5.2,2.8,"Hip.",7,"SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
-1,7.2,3.8,2.8,3.7,8.1,3.2,17.9,-1.6,0.8,0,-27.3,0.4,15.8,0,-15.8,4.5,1.8,"Hip.",7,"SF","Intermediário","AFN","NO","Sala","Curitiba"
-0.200000000000003,4.5,2.2,8.4,0.4,0.5,-2,7.4,-1.6,0.8,0,-13.7,0.2,0.6,-7.2,6.59999999999999,2.3,1.8,"Hip.",7,"SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
-0.100000000000001,3.8,1.8,6.1,-1.9,-0.100000000000001,-0.0999999999999996,4,-1.4,0.6,0,-9,0.2,0.5,-5.3,4.89999999999999,2.5,1.7,"Hip.",7,"SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
-1,4.8,3.1,8.4,2.1,2.3,1.6,14.4,-1.6,0.4,0,-19.9,0.4,12,-4.3,-7.80000000000001,2,1.5,"Hip.",7,"SF","Intermediário","AFN","SE","Sala","Curitiba"
-0.200000000000003,4.6,2.3,8.3,-1.6,0.699999999999999,0.5,7.9,-1.6,0.8,0,-14.4,0.3,0.6,-7.3,6.7,2.4,1.8,"Hip.",7,"SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
-0.100000000000001,3.6,1.6,6.2,-0.200000000000001,-0.199999999999999,-2.6,3.2,-1.3,0.6,0,-7.8,0.2,0.5,-5.1,4.69999999999999,2.3,1.6,"Hip.",7,"SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
-1,4.8,3.1,8.4,2.1,2.3,1.6,14.4,-1.6,0.4,0,-19.9,0.4,12,-4.3,-7.80000000000001,2,1.5,"Hip.",7,"SF","Intermediário","AFN","SO","Sala","Curitiba"
-0.300000000000004,6.3,3,-1.7,0.100000000000001,5.4,7.2,11.2,-2.4,1.1,0,-19.5,0.3,1.4,-5.4,4,2.59999999999999,2.2,"Hip.",7,"SF","Intermediário","AFN","O","Dorm. N","Curitiba"
-0.100000000000001,3.1,2,10,-0.4,-7,-0.0999999999999996,2.4,-1.4,1.2,0,-8.60000000000001,0.2,-0.2,-6.9,7.10000000000001,0.600000000000001,0.899999999999999,"Hip.",7,"SF","Intermediário","AFN","O","Dorm. S","Curitiba"
-1.7,7.7,4.4,4.2,5.2,3.1,11.2,23.6,-2,1.2,0,-33.4,0.4,15.3,-1.9,-13.4,3.1,1.7,"Hip.",7,"SF","Intermediário","AFN","O","Sala","Curitiba"
-1.2,7,3,-0.0999999999999996,8.4,4.7,0.399999999999999,13.4,-2.4,1.1,0,-20.8,0.2,8.80000000000001,0,-8.8,3.5,2.3,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
-0.5,3.3,1.6,8.6,0,-6.1,-0.5,2.1,-1.1,1.3,0,-8.5,0.1,3.9,0,-3.9,1.2,0.900000000000006,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
-1.59999999999999,7.1,3.7,3.3,10.4,2.1,3.3,19.1,-2.2,1.1,0,-27.4,0.2,6,0,-6,4.1,2.8,"Hip.",7,"SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
-0.400000000000002,5.2,2,-1.3,-1,6.8,-1.6,2.8,-2.2,0.6,0,-8,0.100000000000001,1.5,0,-1.5,3.9,3,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
-0.199999999999999,4.5,1.5,-1.7,-2.5,4.8,-2,-1.4,-2.1,0.5,0,-2.60000000000002,0,-0.299999999999997,0,0.300000000000001,4.1,2.9,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
-0.900000000000002,6.7,3.5,2.5,2.9,6.5,2.8,14.6,-1.4,0.8,0,-23.7,0.3,1.39999999999999,0,-1.4,4,1.90000000000001,"Hip.",7,"SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
-0.400000000000002,5.3,2,-1.3,-1.7,6.8,-0.900000000000002,3,-2.2,0.6,0,-8.19999999999999,0.100000000000001,1.60000000000001,0,-1.6,3.8,3,"Hip.",7,"SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
-0.199999999999999,4.5,1.4,-1.7,-2.1,4.8,-2.5,-1.6,-2,0.5,0,-2.19999999999999,0,-0.400000000000006,0,0.399999999999999,4.1,2.9,"Hip.",7,"SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
-0.900000000000002,6.7,3.5,2.5,2.9,6.5,2.8,14.6,-1.4,0.8,0,-23.7,0.3,1.39999999999999,0,-1.4,4,1.90000000000001,"Hip.",7,"SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
-0.399999999999999,3.8,1.7,5.7,0,-0.0999999999999996,-2.1,3.5,-1.4,0.6,0,-8.5,0.1,3.8,0,-3.8,2,1.7,"Hip.",7,"SF","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
-0.199999999999999,3,1.1,4.3,-2.9,-0.700000000000001,-0.799999999999999,-0.200000000000003,-1.2,0.4,0,-3.40000000000001,0,2.1,0,-2.1,2.1,1.5,"Hip.",7,"SF","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
-0.800000000000004,4.4,2.6,6.6,1.4,1.8,1.4,11.2,-1.2,0.3,0,-16.2,0.3,9.2,0,-9.2,1.7,1.1,"Hip.",7,"SF","Intermediário","AFN","SE","Sala","Rio de Janeiro"
-0.399999999999999,3.9,1.7,5.7,-2.1,-0.0999999999999996,0,3.5,-1.4,0.6,0,-8.59999999999999,0.1,3.8,0,-3.8,2,1.7,"Hip.",7,"SF","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
-0.199999999999999,2.9,1.1,4.3,-0.9,-0.700000000000001,-2.9,-0.200000000000003,-1.2,0.4,0,-3.3,0,2,0,-2,2.2,1.4,"Hip.",7,"SF","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
-0.800000000000004,4.4,2.6,6.6,1.4,1.8,1.4,11.2,-1.2,0.3,0,-16.2,0.3,9.2,0,-9.2,1.7,1.1,"Hip.",7,"SF","Intermediário","AFN","SO","Sala","Rio de Janeiro"
-0.899999999999999,6,2.7,-0.800000000000001,-0.300000000000001,4,7.1,10,-2.4,0.9,0,-16,0.100000000000001,7.3,0,-7.3,3.5,2.3,"Hip.",7,"SF","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
-0.200000000000003,2.6,1.4,7.9,-1.1,-6.9,-1.3,-1.4,-1,1.1,0,-3.8,0,2.2,0,-2.2,1,1.1,"Hip.",7,"SF","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
-1.7,7,3.8,4,5,2.8,8.7,20.4,-1.8,1.2,0,-30.2,0.3,5,0,-5,2.9,1.40000000000001,"Hip.",7,"SF","Intermediário","AFN","O","Sala","Rio de Janeiro"
-0.899999999999999,7.5,3.3,-0.299999999999999,9.5,5,0.799999999999999,15.1,-2.5,1.2,0,-24.1,0.3,7.4,-1.4,-6,5.7,2.3,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. N","São Paulo"
-0.399999999999999,4.1,1.9,9.1,2.4,-5.6,0.0999999999999996,5.9,-1.4,1.4,0,-13.4,0.2,3.9,-2.1,-1.8,1.6,1.3,"Hip.",7,"SF","Intermediário","AFN","L","Dorm. S","São Paulo"
-1.8,7.1,4,3.3,11.9,2.2,3.7,21.1,-2.4,1,0,-29.2,0.4,10.5,-0.3,-10.2,4,2.8,"Hip.",7,"SF","Intermediário","AFN","L","Sala","São Paulo"
-0.399999999999999,5.6,2.1,-1.1,-0.899999999999999,7.1,-2,3.09999999999999,-2.3,0.7,0,-9.30000000000001,0.100000000000001,4.3,-0.4,-3.90000000000001,5.6,3,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 1","São Paulo"
-0.299999999999997,4.8,1.5,-1.5,-2.8,4.9,-1.9,-1.1,-2,0.6,0,-3.60000000000002,0,2,-0.1,-1.90000000000001,5.7,2.9,"Hip.",7,"SF","Intermediário","AFN","NE","Dorm. 2","São Paulo"
-1.1,7.1,3.8,2.7,3.3,7.9,3.2,17,-1.7,0.8,0,-26,0.4,8.3,-0.1,-8.3,5.3,1.9,"Hip.",7,"SF","Intermediário","AFN","NE","Sala","São Paulo"
