"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
46.6,26,8.1,12.8,3.9,4.8,15.2,36.7,-4.7,3,0,-117.4,3.4,4.4,7.5,88.1,33.8,29.8,"Hip.","07","TV","Cobertura","AFN","L","Dorm. N","Curitiba"
46.9,16.1,8,-1,3.8,12.8,10.9,26.5,-5.4,3.1,0,-98.2,3,3.2,12,84.8,34,29,"Hip.","07","TV","Cobertura","AFN","L","Dorm. S","Curitiba"
49.4,20.1,7.5,4.7,1,5,11.9,22.6,-6.6,2.5,0,-94.8,3,37.9,3.4,58.6,34.9,29.4,"Hip.","07","TV","Cobertura","AFN","L","Sala","Curitiba"
35.7,31.2,9.5,18.9,14.6,5.9,12.7,52.1,-4.8,3,0,-128.1,3.6,5.2,4.9,89.9,34.1,29.5,"Hip.","07","TV","Cobertura","AFN","NE","Dorm. 1","Curitiba"
35.7,31.5,10,14.7,18.2,4.2,20,57.2,-4.6,3,0,-133.9,3.8,5.1,4.6,90.3,33.8,29.4,"Hip.","07","TV","Cobertura","AFN","NE","Dorm. 2","Curitiba"
38.1,29.4,9.5,12.2,7.5,4.3,7.5,31.5,-5.8,2.9,0,-105.6,3.4,44.5,1.4,54.1,33.4,28.6,"Hip.","07","TV","Cobertura","AFN","NE","Sala","Curitiba"
35.7,31,9.4,18.8,12.5,5.8,14.2,51.4,-4.8,3.1,0,-127.4,3.5,5.2,4.9,89.9,34,29.5,"Hip.","07","TV","Cobertura","AFN","NO","Dorm. 1","Curitiba"
35.7,31.6,10,14.8,20.5,4.2,18.3,57.9,-4.6,3,0,-134.6,3.8,5.2,4.4,90.4,33.8,29.4,"Hip.","07","TV","Cobertura","AFN","NO","Dorm. 2","Curitiba"
38.1,29.4,9.5,12.2,7.5,4.3,7.5,31.5,-5.8,2.9,0,-105.6,3.4,44.5,1.4,54.1,33.4,28.6,"Hip.","07","TV","Cobertura","AFN","NO","Sala","Curitiba"
36.1,17.4,9.4,0.1,9.3,12.4,9.4,31.2,-5,2.2,0,-93.2,2.9,3,10.2,86.8,33.3,28.3,"Hip.","07","TV","Cobertura","AFN","SE","Dorm. 1","Curitiba"
