"int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_walls","conv_hge_windows","conv_hge_doors","afn_inf_sens_hge","afn_inf_sens_hle","afn_air_change","uncomf_hot","uncomf_cold","comf","temp_max","temp_95","typo","simp","wrap","storey","cond","dwel","room","weather"
419.4,256.9,112.9,102.2,91.9,67.2,132.5,393.7,-64.4,29.7,0.1,-1162.3,3.6,3.1,0.9,96,35.4,30.6,"Hip.","01","SF","Intermediário","AFN","L","Dorm. N","Curitiba"
424.4,151.8,61,31.1,57.5,75.9,77.6,242.1,-61.1,30.9,0.1,-888.4,3.1,1.2,4.1,94.7,33,28.5,"Hip.","01","SF","Intermediário","AFN","L","Dorm. S","Curitiba"
733.4,336,164.7,81.6,101.9,94.7,204.8,483.1,-125.7,41,0,-1594.2,3.2,42.4,0,57.6,36.4,30.2,"Hip.","01","SF","Intermediário","AFN","L","Sala","Curitiba"
429.7,390.3,185.2,203.6,154.7,111.8,127.2,597.3,-86.5,39.4,0,-1566.8,3.6,3.9,0.1,95.9,37,31,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 1","Curitiba"
430.5,398,189.6,157.9,193.8,78.5,216.1,646.4,-82.9,40,0,-1636.3,3.8,3.8,0,96.2,36.8,30.9,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 2","Curitiba"
754.2,634.1,316.5,282.3,0,150.3,189.7,815.6,-157.9,74.4,0,-2435.4,3.6,50.2,0,49.8,36,29.5,"Hip.","01","SF","Intermediário","AFN","NE","Sala","Curitiba"
429.7,390.3,185.5,203.7,128.9,111.9,152.4,596.9,-86.4,40.4,0,-1568.1,3.6,4,0.1,95.9,36.8,31,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 1","Curitiba"
430.5,398.3,189.6,158,220.8,78.6,189.8,647.2,-82.9,39.9,0,-1637,3.8,3.8,0,96.2,36.8,30.9,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 2","Curitiba"
754.2,634.4,316.6,282.4,194.7,150.4,0,817,-157.9,73.9,0,-2436.5,3.6,50.3,0,49.7,36,29.5,"Hip.","01","SF","Intermediário","AFN","NO","Sala","Curitiba"
436.7,213.7,100.9,53.1,91.9,119.5,76.8,341.3,-74,24.6,0.2,-1061.8,2.9,0.7,2.6,96.7,32,27.7,"Hip.","01","SF","Intermediário","AFN","SE","Dorm. 1","Curitiba"
437.4,220.9,105.9,38,114.4,93.7,125.9,372,-70.8,25.5,0.2,-1110.7,3.1,0.6,2.1,97.3,31.8,27.6,"Hip.","01","SF","Intermediário","AFN","SE","Dorm. 2","Curitiba"
785.9,312.9,143.1,57.5,0,146,92.7,391.7,-148.6,29.9,0.1,-1499.2,2.9,26.5,0,73.5,32.7,27.7,"Hip.","01","SF","Intermediário","AFN","SE","Sala","Curitiba"
436.7,215,101.6,53.6,77.5,120.2,92.9,344.2,-74,24.6,0.2,-1066.9,2.9,0.8,2.6,96.7,32,27.7,"Hip.","01","SF","Intermediário","AFN","SO","Dorm. 1","Curitiba"
437.3,221,105.9,38,126.3,93.7,114.2,372.2,-70.8,25.5,0.2,-1111.1,3.1,0.6,2,97.3,31.8,27.6,"Hip.","01","SF","Intermediário","AFN","SO","Dorm. 2","Curitiba"
785.8,313.4,143.4,57.7,93.8,146.3,0,392.7,-148.6,30,0.1,-1500.9,2.9,26.6,0,73.4,32.7,27.7,"Hip.","01","SF","Intermediário","AFN","SO","Sala","Curitiba"
418.2,264.8,117.6,108.1,139.6,69.9,97,414.5,-65.2,33.5,0.1,-1204.5,3.6,3.9,1,95.1,36.2,30.8,"Hip.","01","SF","Intermediário","AFN","O","Dorm. N","Curitiba"
423.4,161.1,65.1,34.4,82.5,82.6,67.9,267.4,-61.5,35.2,0.1,-933.7,3.1,1.8,3.6,94.6,34,28.7,"Hip.","01","SF","Intermediário","AFN","O","Dorm. S","Curitiba"
715.9,435.4,213,107.1,276.4,119.5,156.1,659,-121.2,49.7,0.1,-1905.9,3.4,52.2,0,47.8,37.7,29.7,"Hip.","01","SF","Intermediário","AFN","O","Sala","Curitiba"
306.1,272.6,123.8,112.8,114.3,79.7,147.3,454.1,-60.9,33.2,0,-1134.8,4,74.9,0,25.1,41.3,36.7,"Hip.","01","SF","Intermediário","AFN","L","Dorm. N","Rio de Janeiro"
320.5,166.5,71.5,44.1,82.8,89.3,89,305.1,-49.8,37.6,0,-900.5,3.8,60.3,0,39.7,40,34.5,"Hip.","01","SF","Intermediário","AFN","L","Dorm. S","Rio de Janeiro"
567.6,428.5,220.1,103.2,148.4,119.2,267.2,638.1,-109.9,51.2,0,-1745.7,3.4,92.7,0,7.3,43,36.9,"Hip.","01","SF","Intermediário","AFN","L","Sala","Rio de Janeiro"
315.4,405.1,199.9,217.5,165.9,127.9,135.6,646.9,-80.8,41,0,-1527.9,4,78,0,22,42.1,37.3,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 1","Rio de Janeiro"
317,412.2,203.3,167.8,203.2,89.5,233.9,694.3,-76.9,40.4,0,-1593.3,4.3,78,0,22,42,37.2,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 2","Rio de Janeiro"
592,711.1,364.1,315.4,0,178.9,217.4,929.5,-131.6,87.8,0,-2570.3,3.7,96.1,0,3.9,42.4,35.2,"Hip.","01","SF","Intermediário","AFN","NE","Sala","Rio de Janeiro"
315.5,404.4,199.8,217.2,135.3,127.8,164.6,644.8,-80.5,41.1,0,-1525.9,4,77.9,0,22.1,42,37.2,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 1","Rio de Janeiro"
317,412.2,203.3,167.8,233.9,89.5,203.4,694.5,-76.9,40.3,0,-1593.4,4.3,78,0,22,42,37.2,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 2","Rio de Janeiro"
592,711.1,364.1,315.5,220.4,178.9,0,930.2,-131.6,87.3,0,-2570.4,3.7,96.1,0,3.9,42.4,35.2,"Hip.","01","SF","Intermediário","AFN","NO","Sala","Rio de Janeiro"
336.1,228.8,112.6,68.2,102.8,131.4,84,386.4,-55.7,25.9,0,-1043.6,3.6,57.4,0,42.6,38.7,33.7,"Hip.","01","SF","Intermediário","AFN","SE","Dorm. 1","Rio de Janeiro"
337.5,234.4,116.2,47.9,123.3,101.4,137.1,409.7,-52.5,26.9,0,-1084,3.8,57.1,0,42.9,38.5,33.7,"Hip.","01","SF","Intermediário","AFN","SE","Dorm. 2","Rio de Janeiro"
636.4,335.4,170.5,74,0,160.9,103.7,445,-116.6,34.6,0,-1492.7,3.1,82.4,0,17.6,39,33.3,"Hip.","01","SF","Intermediário","AFN","SE","Sala","Rio de Janeiro"
336.2,228.6,112.6,68.2,83.9,131.2,101.6,384.9,-55.4,26,0,-1042.7,3.6,57.4,0,42.6,38.6,33.7,"Hip.","01","SF","Intermediário","AFN","SO","Dorm. 1","Rio de Janeiro"
337.5,234.4,116.2,47.9,137,101.4,123.5,409.7,-52.5,26.8,0,-1084.1,3.8,57.1,0,42.9,38.5,33.7,"Hip.","01","SF","Intermediário","AFN","SO","Dorm. 2","Rio de Janeiro"
636.3,335.6,170.5,74.1,104.5,161,0,445.3,-116.5,34.4,0,-1493,3.1,82.4,0,17.6,39,33.3,"Hip.","01","SF","Intermediário","AFN","SO","Sala","Rio de Janeiro"
305.7,273.8,128.8,112.4,149.9,81.8,111.7,455.8,-58.6,32.5,0,-1142.9,4.1,75,0,25,41.3,36.6,"Hip.","01","SF","Intermediário","AFN","O","Dorm. N","Rio de Janeiro"
320.1,168.9,76.5,45.9,91.5,89.5,82.6,309.5,-47.2,36.8,0,-907.8,3.8,60.5,0,39.5,39.8,34.1,"Hip.","01","SF","Intermediário","AFN","O","Dorm. S","Rio de Janeiro"
556.1,472.4,234.9,118.6,304.1,134.4,180.2,737.3,-98.9,59,0,-1920.7,3.5,93.9,0,6.1,42.3,34.7,"Hip.","01","SF","Intermediário","AFN","O","Sala","Rio de Janeiro"
376.9,262.1,116.8,108.9,102.8,72.1,139.9,423.6,-62.5,32.6,0,-1168.7,4,29,0.1,70.9,40.4,33.6,"Hip.","01","SF","Intermediário","AFN","L","Dorm. N","São Paulo"
386.5,165.8,68.4,40.1,73.6,86.6,87.5,287.8,-54.5,36,0.1,-928.2,3.6,22.2,0.2,77.6,35.9,31.5,"Hip.","01","SF","Intermediário","AFN","L","Dorm. S","São Paulo"
661.4,383,192.2,92.3,124,106,239.1,561.4,-120.2,44.4,0,-1665.3,3.4,66.6,0,33.4,38.7,33.7,"Hip.","01","SF","Intermediário","AFN","L","Sala","São Paulo"
387.5,393.6,189.3,209.8,159.9,117.8,132.1,619.7,-82.7,41.2,0,-1554.8,4,30.2,0.1,69.7,42.2,34,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 1","São Paulo"
388.8,401.2,193.1,162.4,198.6,82.6,224.9,668.5,-78.9,40.9,0,-1622.3,4.2,29.8,0,70.2,42.2,33.9,"Hip.","01","SF","Intermediário","AFN","NE","Dorm. 2","São Paulo"
686.3,645,325.8,288.7,0,155.3,195.6,836.6,-150,76.5,0,-2421.1,3.6,73.6,0,26.4,41.9,32.5,"Hip.","01","SF","Intermediário","AFN","NE","Sala","São Paulo"
387.6,393.1,189.3,209.6,132.2,117.7,158.2,617.7,-82.4,41.5,0,-1553.1,4,30.2,0.1,69.8,42.1,34,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 1","São Paulo"
388.8,401.3,193.1,162.4,225.9,82.6,197.9,668.8,-78.9,40.8,0,-1622.5,4.2,29.8,0,70.2,42.2,33.9,"Hip.","01","SF","Intermediário","AFN","NO","Dorm. 2","São Paulo"
686.3,645.1,325.8,288.8,198.5,155.3,0,837.5,-150,76.1,0,-2421.5,3.6,73.6,0,26.4,41.9,32.5,"Hip.","01","SF","Intermediário","AFN","NO","Sala","São Paulo"
